"question","answer","explanation","difficulty"
"Citez trois situations cliniques qui doivent faire rechercher une protéinurie.","Examen systématique, prise de poids anormale avec œdèmes, présence d'hématurie, hypertension artérielle (HTA).","Document: 'QUAND RECHERCHER UNE PROTEINURIE?'","Easy"
"Quels sont les trois signes cliniques du purpura rhumatoïde permettant le diagnostic ?","Purpura vasculaire, douleurs articulaires, douleurs abdominales.","Document: 'Diagnostic clinique : 1. Purpura vasculaire ; 2. Douleurs articulaires ; 3. Douleurs abdominales'","Easy"
"Quelles sont les trois anomalies biologiques du syndrome néphrotique ?","Protéinurie > 50 mg/kg/j, hypoalbuminémie < 30 g/l, hypoprotidémie < 50 g/l.","Document: 'Syndrome néphrotique : 1. Protéinurie > 50 mg/kg/j ; 2. Hypoalbuminémie < 30 g/j ; 3. Hypoprotidémie < 50g/l'","Easy"
"Quelle est la différence entre protéinurie glomérulaire et protéinurie tubulaire ?","Glomérulaire : augmentation de l'albumine. Tubulaire : augmentation des protéines de bas poids moléculaire (a1, b2 microglobulines) avec <60% d'albumine.","Document: 'Protéinurie glomérulaire : albumine élevée ; Protéinurie tubulaire : protéines de bas poids moléculaire élevées, <60% d’albumine'","Medium"
"Comment confirme-t-on une protéinurie orthostatique ?","Par deux prélèvements : un prélèvement 1 heure après le coucher (urines de nuit) et un prélèvement diurne. La protéinurie est absente la nuit et présente le jour.","Document: 'Pour confirmer : 2 prélèvements : 1h après le coucher et un prélèvement diurne'","Medium"
"Quelles sont les quatre étiologies de protéinurie associée à une hématurie citées ?","Infection urinaire, glomérulonéphrite aiguë, purpura rhumatoïde, syndrome d'Alport.","Document: 'PROTEINURIE ET HEMATURIE'","Medium"
"Quel est le tableau clinique et biologique de la glomérulonéphrite aiguë post-streptococcique ?","Antécédent d'angine ou impétigo, urine bouillon sale, œdème discret, HTA, créatinine et urée peu augmentées, baisse du C3, anticorps antistreptococciques positifs.","Document: description de la glomérulonéphrite aiguë","Medium"
"Quels sont les trois syndromes extra-rénaux associés à une protéinurie cités ?","Syndrome inflammatoire (lupus, tubulo-interstitielle, sarcoïdose), retard de croissance et polyurie (IRC, tubulopathie), anémie (SHU).","Document: 'PROTEINURIE ET SYNDROMES EXTRA-RENAUX'","Medium"
"Quelles sont les deux formes de protéinurie isolée ?","Protéinurie orthostatique (intermittente, <1g/24h, apparaît en position debout) et protéinurie permanente (tubulaire ou glomérulaire).","Document: 'PROTEINURIE ISOLEE'","Medium"
"Un enfant de 6 ans présente une protéinurie à 0,3 g/l, des œdèmes des membres inférieurs et des paupières. Quel diagnostic suspectez-vous et quel traitement ?","Syndrome néphrotique (néphrose lipoïdique). Traitement : corticothérapie.","Document: 'Néphrose lipoïdique : 3 à 10 ans, syndrome néphrotique, traitement corticothérapie'","Medium"
"Un enfant de 4 ans a une protéinurie à 1 g/l, une hématurie microscopique, une HTA modérée, et des œdèmes discrets. Il a eu une angine 2 semaines auparavant. Quel diagnostic et quel bilan ?","Glomérulonéphrite aiguë post-streptococcique. Bilan : C3, anticorps antistreptococciques (ASLO), créatininémie, ECBU.","Document: 'Angine les semaines précédentes, urine bouillon sale, HTA, C3 bas, Ac antistreptococciques positifs'","Medium"
"Un enfant a une protéinurie isolée, intermittente, apparaissant uniquement en position debout, inférieure à 1 g/24h. Quel est le diagnostic et comment le confirmer ?","Protéinurie orthostatique. Confirmation : prélèvement urinaire 1h après le coucher (négatif) et prélèvement diurne (positif).","Document: 'Protéinurie orthostatique : < 1g/24h, intermittente ; pour confirmer : 2 prélèvements'","Medium"
"Un enfant de 10 ans présente un purpura des membres inférieurs, des douleurs articulaires, des douleurs abdominales, et une protéinurie à la bandelette. Quel diagnostic et quelle surveillance ?","Purpura rhumatoïde (vascularite à IgA). Surveillance : bandelette urinaire systématique pour dépister une atteinte rénale (néphropathie à IgA).","Document: 'Purpura rhumatoïde ; BU systématiques à la recherche de complications rénales'","Medium"
"Un enfant de 8 ans a une protéinurie tubulaire, une hypercalciurie et une glycosurie. Quelle orientation étiologique ?","Tubulopathie (syndrome de Fanconi ou autre tubulopathie proximale).","Document: 'Protéinurie tubulaire : hypercalciurie, glycosurie'","Difficult"
"Un enfant présente une protéinurie à 2 g/l, une hématurie, une HTA, une anémie hémolytique et une thrombopénie. Quel diagnostic ?","Syndrome hémolytique et urémique (SHU).","Document: 'SHU : anémie hémolytique, thrombopénie, insuffisance rénale'","Difficult"
"Un enfant de 5 ans a une protéinurie massive, une hypoalbuminémie, un œdème généralisé. La corticothérapie est débutée. Quelle est l'évolution probable ?","Favorable dans 85% des cas (rémission).","Document: 'Évolution favorable dans 85% des cas'","Medium"
"Quelle est la particularité de la protéinurie dans l'infection urinaire ?","Elle est due à la lyse des leucocytes et à la sécrétion de l'épithélium urinaire, non à une atteinte glomérulaire primitive.","Document: 'Protéines <- lyse de leucocytes, sécrétion de l’épithélium urinaire'","Difficult"
"Un enfant a une protéinurie glomérulaire persistante sans œdème ni hématurie. Quelle est la conduite à tenir ?","Surveillance régulière (contrôles réguliers) et recherche étiologique (néphropathie à IgA, glomérulonéphrite chronique).","Document: 'Protéinurie glomérulaire : nécessite des contrôles réguliers'","Difficult"
"Quel est le seuil de protéinurie pathologique chez l'enfant en mg/m2/j ?","> 100 mg/m2/j.","Document: 'Enfant : < 100 mg/m2/j' donc pathologique si supérieur","Easy"
"Quelle est la valeur de la bandelette urinaire correspondant à +++ ?","3 g/l.","Document: '+++ : 3 g/l'","Easy"
"Un enfant a une protéinurie à 0,4 g/l, des œdèmes, une hypoalbuminémie à 25 g/l. Quel est le diagnostic ?","Syndrome néphrotique (car hypoalbuminémie <30 g/l et protéinurie).","Document: 'Hypoalbuminémie < 30 g/l'","Medium"
"Quels sont les deux types de protéinurie permanente ?","Protéinurie tubulaire et protéinurie glomérulaire.","Document: 'Protéinurie permanente : 1. Protéinurie tubulaire ; 2. Protéinurie glomérulaire'","Medium"
"Un enfant de 12 ans a une protéinurie orthostatique confirmée. Faut-il un traitement ?","Non, c'est une forme bénigne ; simple surveillance et rassurer.","Document: 'Protéinurie orthostatique' (bénigne, non traitée)","Difficult"
