"question","answer","explanation","difficulty"
"Quels sont les 4 groupes à risque de formes sévères de varicelle ?","Enfants de moins de 1 an, adultes, femmes enceintes, immunodéprimés.","Document: 'Formes sévères chez <1 an, Adulte, Femmes enceintes, Immunodéprimés'","Easy"
"Quelle est la période de contagiosité de la varicelle ?","De 1 à 2 jours avant l'apparition des vésicules jusqu'au 7ème jour de l'éruption.","Document: 'Contagiosité : 1à 2 j avant l'apparition des vésicules jusqu'à J7'","Easy"
"Décrivez l'éruption cutanée de la varicelle.","Vésicules devenant croûteuses, prurigineuses, survenant en 2 à 3 poussées successives (éléments d'âge différent), siège diffus y compris le cuir chevelu.","Document: 'Vésicules devenant croûteuses et prurigineuses ; 2 à 3 poussées successives (éléments d'âge différent) ; Siège diffus, y compris le cuir chevelu'","Medium"
"Quelles sont les complications neurologiques possibles de la varicelle ?","Crises fébriles, cérébellite.","Document: 'Neurologique : Crises fébriles, Cérébellite'","Medium"
"Pourquoi les AINS sont-ils contre-indiqués dans la varicelle ?","Risque de surinfection cutanée sévère ou de complications (non détaillé, mais classique : risque de nécrose cutanée). Le document dit simplement 'Contre-indication des AINS'.","Document: 'Contre-indication des AINS'","Medium"
"Quel est le traitement local des lésions cutanées de varicelle ?","Antiseptique à base de chlorhexidine 2 fois par jour, non alcoolique, non coloré ; couper les ongles ; antihistaminique si prurit.","Document: 'Antiseptique (non alcool, non de couleur rouge, mais à base de chlorhexidine 2 fois par jour) ; Ongles coupés ; Antihistaminique'","Medium"
"Quel est le risque de la prise d'aspirine lors de la varicelle ?","Syndrome de Reye (atteinte hépatique et cérébrale).","Document: 'Syndrome de Reye (si aspirine :-> lésion and peau, atteinte hépatique)'","Medium"
"Quels sont les deux examens de confirmation de la varicelle chez les immunodéprimés ?","PCR spécifique VZV et IgM spécifiques sériques en phase aiguë.","Document: 'PCR spécifique VZV, IgM spécifiques sériques en phase aiguë'","Medium"
"Un enfant de 5 ans a une varicelle avec une surinfection bactérienne des vésicules. Quel traitement ?","Antibiotique adapté (antistaphylococcique).","Document: 'Antibiotique si surinfections bactériennes'","Medium"
"Quelle est la conduite à tenir concernant l'éviction scolaire en cas de varicelle ?","Pas d'éviction scolaire obligatoire, mais éviter le contact avec les sujets à risque.","Document: 'Pas d'éviction scolaire obligatoire ; Éviter le contact avec les sujets à risque'","Difficult"
"Un enfant a une varicelle. Sa sœur est immunodéprimée. Que faire ?","Isolement de l'enfant malade, éviter tout contact, éventuellement hospitalisation de l'immunodéprimé.","Document: 'Éviter le contact avec les sujets à risque'","Difficult"
"Quelle est la particularité des lésions de varicelle au niveau du cuir chevelu ?","Elles sont fréquentes, nécessitent une hygiène locale et évitent le grattage.","Document: 'Siège diffus, y compris le cuir chevelu'","Medium"
"Quelle est la durée de la phase d'invasion de la varicelle ?","2 jours.","Document: 'Invasion (2jours)'","Easy"
"Quel est l'énanthème possible lors de la varicelle ?","Énanthème buccal érosif.","Document: 'Énanthème buccal érosif'","Medium"
