"front","back","cognitive_level"
"Quel pourcentage des causes d'insuffisance rénale représentent les néphropathies glomérulaires ?","30 à 40% des causes d'insuffisance rénale.","Recall"
"Quels sont les cinq signes rénaux « obligatoires » des syndromes glomérulaires ?","Protéinurie, hématurie, HTA, œdèmes, insuffisance rénale.","Recall"
"Pourquoi l'hématurie macroscopique d'origine glomérulaire est-elle sans caillot ?","Parce que le parenchyme rénal contient de l'urokinase, une enzyme thrombolytique qui empêche la formation de caillots.","Recall"
"Citez cinq signes extra-rénaux possibles au cours des néphropathies glomérulaires.","Fièvre, asthénie, arthralgies/myalgies, douleurs abdominales, signes cutanés (éruption, purpura, livedo), signes pulmonaires/ORL (dyspnée, hémorragie intra-alvéolaire), signes neurologiques.","Recall"
"Quels sont les trois paramètres du bilan immunologique à doser devant une néphropathie glomérulaire ?","Compléments (C3, C4, C1q), ANCA, Ac anti-MBG, cryoglobulinémie, Ac anti-nucléaire/Ac anti-DNA natifs, immunoélectrophorèse, dosage pondéral des Ig, sérologies (VIH, VHB, VHC, bilharziose, paludisme).","Recall"
"Quels sont les cinq grands syndromes glomérulaires ?","1) Syndrome néphrotique ; 2) Syndrome néphritique aigu ; 3) Syndrome de GNRP ; 4) Syndrome hématurique ; 5) Syndrome de glomérulonéphrite chronique.","Recall"
"Quels sont les trois signes du syndrome néphrotique ?","1) Protéinurie massive >3g/24h ou 50 mg/kg/24h ; 2) Albuminémie <30 g/L ; 3) Hypoprotidémie et hypoalbuminémie.","Recall"
"Citez quatre causes de syndrome néphrotique.","LGM (lésion glomérulaire minime), HSF (hyalinose segmentaire et focale), GEM (glomérulonéphrite extra-membraneuse), amylose.","Recall"
"Quelles sont les trois particularités du syndrome néphrotique ?","Œdèmes, thrombose, insuffisance rénale aiguë fonctionnelle.","Recall"
"Quels sont les cinq signes du syndrome néphritique aigu ?","Brutal, oligurie, hématurie macroscopique, HTA, œdèmes, IRA modéré (six signes énumérés).","Recall"
"Quelle est la principale cause de syndrome néphritique aigu ?","GN proliférative endocapillaire (GNA post-streptococcique).","Recall"
"Quelles sont les trois particularités du syndrome néphritique aigu ?","1) Survient surtout chez l'enfant après carie dentaire ou angine ; 2) Baisse du complément ; 3) Pas de PBR (ponction biopsie rénale).","Recall"
"Quel est le délai d'installation de l'insuffisance rénale dans le syndrome de GNRP ?","2 à 8 semaines.","Recall"
"Quelles sont les trois causes de GNRP citées ?","GN proliférative extracapillaire : Wegener, Goodpasture, polyangéite microscopique (PAM).","Recall"
"Quelles sont les trois particularités du syndrome de GNRP ?","1) Urgence ; 2) PBR absolument nécessaire ; 3) L'insuffisance rénale détermine le pronostic.","Recall"
"Quelles sont les quatre causes de syndrome hématurique isolé ?","Néphropathie à IgA, syndrome d'Alport, maladie de Berger, purpura rhumatoïde de l'enfant.","Recall"
"Quelle est la particularité du syndrome d'Alport ?","Hématurie associée à une surdité ; maladie génétique et héréditaire.","Recall"
"Quels sont les quatre signes du syndrome de glomérulonéphrite chronique ?","Protéinurie, hématurie, HTA, insuffisance rénale chronique.","Recall"
"Expliquez pourquoi une protéinurie massive entraîne un syndrome néphrotique.","La protéinurie massive (>3g/24h) entraîne une perte importante d'albumine dans les urines, responsable d'une hypoalbuminémie (<30g/L) et d'une hypoprotidémie, ce qui diminue la pression oncotique et favorise la formation d'œdèmes.","Understanding"
"Pourquoi le syndrome de GNRP est-il une urgence diagnostique et thérapeutique ?","Car l'insuffisance rénale s'installe en 2 à 8 semaines et l'IR détermine le pronostic. Sans traitement immunosuppresseur urgent (corticothérapie), le risque est une perte définitive et irréversible de la fonction rénale.","Understanding"
"Un enfant de 8 ans présente une oligurie brutale, une hématurie macroscopique, une HTA et des œdèmes, 2 semaines après une angine. Le complément C3 est bas. Quel est le syndrome glomérulaire et quelle est la cause probable ?","Syndrome néphritique aigu, sur GN proliférative endocapillaire (GNA post-streptococcique). Particularités : enfant, après angine, baisse du complément. Pas de PBR nécessaire.","Application"
"Un patient adulte présente une protéinurie à 4 g/24h, une albuminémie à 25 g/L, des œdèmes des membres inférieurs. La créatinine est normale. Quel est le syndrome glomérulaire ?","Syndrome néphrotique (protéinurie >3g/24h, albuminémie <30g/L, œdèmes).","Application"
"Comparez le syndrome néphrotique et le syndrome néphritique aigu sur le plan de la protéinurie et de l'HTA.","Syndrome néphrotique : protéinurie massive (>3g/24h), HTA possible mais non constante. Syndrome néphritique aigu : protéinurie moins abondante (non spécifiée), HTA quasi-constante, oligurie, hématurie macroscopique.","Analysis"
