"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Que signifie le terme atrésie ?","Inflammation d’un organe","Interruption de continuité d’un organe creux","Dilatatation d’un organe","Infection d’un organe","2","Le document définit l’atrésie comme une interruption de continuité d’un organe creux.","Easy"
"Quelle structure est interrompue dans l’atrésie de l’œsophage ?","Trachée","Œsophage","Estomac","Bronche","2","L’atrésie concerne la lumière œsophagienne selon l’introduction.","Easy"
"Quelle anomalie peut accompagner l’atrésie de l’œsophage ?","Fistule avec les voies respiratoires","Occlusion intestinale","Calcul rénal","Hernie diaphragmatique","1","Le document indique que les culs-de-sac peuvent se fistuliser dans les voies respiratoires.","Easy"
"Quelle est la cause embryologique de l’atrésie de l’œsophage ?","Trouble de l’embryogenèse entre 4e et 6e SA","Mutation génétique tardive","Infection fœtale","Traumatisme de naissance","1","Le texte précise que l’anomalie résulte d’un trouble entre la 4e et la 6e semaine.","Medium"
"Quel signe peut faire suspecter une atrésie de l’œsophage pendant la grossesse ?","Oligohydramnios","Hydramnios","Hypoglycémie maternelle","Bradycardie fœtale","2","Le bébé n’avale pas le liquide amniotique ce qui provoque un hydramnios.","Medium"
"Pourquoi observe-t-on un hydramnios ?","Le bébé avale trop","Le bébé n’avale pas le liquide amniotique","Le placenta fuit","Les reins produisent trop d’urine","2","L’absence de déglutition entraîne accumulation du liquide amniotique.","Medium"
"Quel symptôme apparaît dès la naissance ?","Hypersialorrhée","Hyperglycémie","Hypotension","Diarrhée","1","La salive stagne dans le cul-de-sac proximal provoquant hypersialorrhée.","Easy"
"Quel risque majeur est associé à l’atrésie ?","Insuffisance cardiaque","Fausse route","Occlusion intestinale","Anémie","2","La stagnation de salive provoque risque d’inhalation.","Medium"
"Que se passe-t-il lors de la première tétée ?","Alimentation normale","Fausse route immédiate","Vomissement isolé","Absence de salive","2","Le document indique des fausses routes dès la première tétée.","Medium"
"À quelle distance la sonde bute-t-elle lors du diagnostic ?","5 cm","10-12 cm","20 cm","30 cm","2","La sonde gastro-œsophagienne bute à 10-12 cm de l’arcade alvéolaire.","Medium"
"Quel examen d’imagerie confirme le diagnostic ?","Radiographie thoracique","IRM cérébrale","Scanner abdominal","Échographie cardiaque","1","La radiographie du thorax avec sonde en place est décrite.","Medium"
"Pourquoi l’opacification du cul-de-sac supérieur est-elle interdite ?","Risque de perforation","Risque d’inondation broncho-alvéolaire","Risque d’hémorragie","Risque d’arrêt cardiaque","2","Le texte précise que cela provoquerait une inondation broncho-alvéolaire.","Difficult"
"Quel signe radiologique indique une fistule distale ?","Absence d’air digestif","Aération digestive","Calcification intestinale","Ascite","2","L’aération digestive indique communication avec voies aériennes.","Medium"
"Quelle position doit être donnée au nouveau-né ?","Décubitus dorsal","Position demi-assise","Décubitus ventral","Position latérale gauche","2","La position demi-assise évite le reflux vers la trachée.","Easy"
"Quelle mesure est indispensable après diagnostic ?","Alimentation orale","Arrêt de toute alimentation orale","Hydratation orale","Massage abdominal","2","L’alimentation orale doit être arrêtée immédiatement.","Easy"
"Quel dispositif est utilisé pour aspirer les sécrétions ?","Sonde naso-œsophagienne","Sonde urinaire","Sonde rectale","Drain thoracique","1","Une sonde naso-œsophagienne d’aspiration est mise en place.","Medium"
"Quel type de chirurgie est réalisé ?","Thoracotomie droite","Laparotomie médiane","Thoracoscopie gauche","Césarienne","1","La voie d’abord décrite est la thoracotomie droite extrapleurale.","Medium"
"Quel est l’objectif de la chirurgie ?","Supprimer la trachée","Rétablir la continuité œsophagienne","Retirer l’estomac","Supprimer les bronches","2","La chirurgie vise l’anastomose et fermeture des fistules.","Easy"
"Que faire si l’anastomose est impossible ?","Attendre réparation secondaire","Résection pulmonaire","Radiothérapie","Antibiothérapie seule","1","Le texte indique une réparation différée avec gastrostomie.","Difficult"
"Quel syndrome malformatif est souvent associé ?","Syndrome de VACTERL","Syndrome de Down","Syndrome de Turner","Syndrome de Marfan","1","Le document mentionne VACTERL.","Easy"
"Que signifie le V de VACTERL ?","Vessie","Vertébral","Vasculaire","Viscéral","2","La liste inclut anomalies vertébrales.","Easy"
"Quel est le pronostic d’une atrésie isolée ?","Très mauvais","Excellent dans 90%","Toujours mortel","Variable","2","Le texte indique un pronostic excellent dans 90%.","Easy"
"Quelle complication respiratoire peut persister ?","Trachéomalacie","Asthme","Bronchectasie","Pneumothorax","1","La trachéomalacie est mentionnée dans l’évolution.","Medium"
"Quelle anomalie digestive peut apparaître après chirurgie ?","Reflux gastro-œsophagien","Ulcère gastrique","Pancréatite","Appendicite","1","Le RGO peut apparaître après traction de l’œsophage.","Medium"
"Quel trouble moteur peut persister ?","Dyskinésie œsophagienne","Paralysie diaphragmatique","Atrophie gastrique","Hypertonie pylorique","1","Le document mentionne dyskinésie œsophagienne.","Medium"
"Quel signe clinique peut évoquer l’atrésie à la naissance ?","Détresse respiratoire inexpliquée","Hyperthermie","Bradycardie","Cyanose isolée","1","La détresse respiratoire inexpliquée est citée.","Medium"
"Quel signe abdominal indique fistule distale ?","Abdomen opaque","Abdomen trop aéré","Ascite","Météorisme absent","2","L’air passe vers estomac et intestin.","Medium"
"Quel est le risque majeur en position allongée ?","Reflux gastrique vers trachée","Occlusion intestinale","Hémorragie digestive","Torsion gastrique","1","Le texte décrit passage du suc gastrique vers la trachée.","Difficult"
