"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la glomérulonéphrite à dépôts mésangiaux d'immunoglobuline A selon le document ?","Glomérulonéphrite proliférative avec dépôt d'IgG","Glomérulonéphrite non proliférative avec dépôt d'IgA sur le mésangium","Glomérulonéphrite extra-membraneuse à IgA","Glomérulonéphrite membrano-proliférative à IgA","2","Le document définit : ''Glomérulonéphrite (GN) 'non-proliférative' avec dépôt d'Immunoglobuline A sur le mésangium''.","Easy"
"Quel est le pourcentage des néphropathies chez l'adulte représenté par la glomérulonéphrite à IgA selon le document ?","15%","20%","25%","30%","3","Le document indique : ''25% des néphropathies chez l'adulte''.","Easy"
"Quelle est l'incidence annuelle de la glomérulonéphrite à IgA selon le document ?","15/million","20/million","25/million","30/million","3","Le document précise : ''Incidence : 25/million et par an''.","Easy"
"Quel est le profil démographique typique de la glomérulonéphrite à IgA selon le document ?","Adulte jeune, genre féminin","Adulte jeune, genre masculin","Sujet âgé, genre masculin","Enfant, genre féminin","2","Le document indique : ''Adulte jeune, Genre masculin''.","Easy"
"Quel type d'infection précède habituellement les manifestations de la glomérulonéphrite à IgA ?","Infection urinaire","Infection ORL (rhino-pharyngite, angine) ou digestive","Infection cutanée","Infection pulmonaire","2","Le document précise : ''Quelques heures ou jours avant : il y a eu une infection ORL : rhino-pharyngite, Digestive, Angine''.","Easy"
"Quelle est l'anomalie histologique caractéristique de la glomérulonéphrite à IgA en immunofluorescence ?","Dépôt d'IgG linéaire","Dépôt d'IgA mésangial","Dépôt de C3 granuleux","Dépôt d'IgM segmentaire","2","Le document indique : ''Dépôt mésangial d'Ig A (Immunofluorescence)''.","Easy"
"Quel est le pourcentage de patients évoluant vers l'IRCT après 25 ans selon le document ?","25%","50%","75%","90%","2","Le document précise : ''50% des patients seront en IRCT après 25 ans''.","Easy"
"Quels sont les deux syndromes cliniques associés à un traitement spécifique mentionné dans le document ?","Syndrome néphrotique et syndrome de GNRP","HTA isolée et œdèmes","Hématurie et protéinurie","Infections ORL et digestives","1","Le document mentionne : ''Syndrome néphrotique'' et ''Syndrome de GNRP (ctc en bolus)''.","Easy"
"Quelle est la cible tensionnelle dans le traitement de la glomérulonéphrite à IgA selon le document ?","TA < 120/70 mmHg","TA < 130/80 mmHg","TA < 140/90 mmHg","TA < 150/95 mmHg","2","Le document indique : ''Contrôle TA 130/80mmHg''.","Medium"
"Quels sont les trois facteurs de mauvais pronostic de la glomérulonéphrite à IgA cités dans le document ?","Protéinurie néphrotique, HTA, insuffisance rénale","Âge, sexe féminin, obésité","Diabète, tabagisme, dyslipidémie","Fièvre, rash, arthralgies","1","Le document liste : ''Protéinurie néphrotique, HTA, Insuffisance rénale, Genre masculin, Fibrose interstitielle, Lésions vasculaires''.","Medium"
"Quelles sont les trois maladies associées à la glomérulonéphrite à IgA citées dans le document ?","Purpura rhumatoïde, cirrhose alcoolique, maladie cœliaque","Lupus, polyarthrite rhumatoïde, sclérodermie","Diabète, goutte, amylose","Sarcoïdose, bérylliose, aspergillose","1","Le document liste : ''Purpura rhumatoïde, Cirrhose alcoolique, Maladie chronique du foie, VIH/VHB, Maladie cœliaque, Colites inflammatoires, Spondylarthrite ankylosante, Dermatite herpétiforme''.","Medium"
"Quel traitement chirurgical est mentionné sans bénéfice démontré dans la glomérulonéphrite à IgA ?","Néphrectomie","Amygdalectomie","Pose de dialyse péritonéale","Transplantation rénale","2","Le document indique : ''Amygdalectomie - Sans bénéfice''.","Medium"
