"question","answer","explanation","difficulty"
"L'hyponatrémie est définie par une natrémie < 135 mmol/l sans hypo-osmolalité.","False","Le document précise : ''Natrémie < 135 mmol/l, + hypo-osmolalité plasmatique''.","Easy"
"Une hyponatrémie sévère est définie par une natrémie < 125 mmol/l ou symptomatique.","True","Le document le confirme.","Easy"
"Le sodium est l'ion principal responsable de l'osmolalité intracellulaire.","False","Le potassium est responsable de l'osmolalité intracellulaire, le sodium de l'osmolalité plasmatique.","Easy"
"L'hypo-osmolalité plasmatique entraîne un mouvement d'eau du compartiment extracellulaire vers le compartiment intracellulaire.","True","Le document explique : ''mouvement d'eau = hyperhydratation intracellulaire''.","Easy"
"La symptomatologie de l'hyponatrémie est corrélée à la valeur absolue de la natrémie.","False","Le document indique : ''non en rapport avec la valeur absolue de natrémie, mais de la vitesse d'installation''.","Easy"
"La formule de l'osmolalité plasmatique est (Na x 2) + Glycémie (mmol/l) = 275 à 290 mosm/l.","True","Le document donne cette formule.","Easy"
"Les hyponatrémies isotoniques (pseudohyponatrémies) entraînent une hyperhydratation intracellulaire.","False","Le document précise : ''Pas de trouble de l'hydratation intracellulaire (hyperprotidémie, hyperlipidémie)''.","Easy"
"Les hyponatrémies hypertoniques (fausses hyponatrémies) sont dues à une hyperglycémie.","True","Le document mentionne : ''Déshydratation intracellulaire (hyperglycémie)''.","Easy"
"Le SSIADH est une cause d'hyponatrémie avec VEC augmenté.","False","Le SSIADH est dans VEC normal.","Easy"
"La restriction hydrique est le traitement de première intention en cas d'hyponatrémie avec VEC augmenté.","True","Le document le confirme.","Easy"
"La correction trop rapide de l'hyponatrémie expose à un risque d'œdème cérébral.","False","Le risque est une myélinolyse centropontine (trop rapide) ; trop lente = œdème cérébral.","Easy"
"La surveillance de l'hyponatrémie nécessite des ionogrammes répétés.","True","Le document le précise.","Easy"
"Les diurétiques thiazidiques sont classés dans les causes d'hyponatrémie avec VEC normal.","True","Le document les classe dans VEC normal.","Medium"
"Le Cerebral Salt Waisting Syndrome est caractérisé par une natriurèse basse (< 20 mmol/l).","False","Le document indique natriurèse > 20 mmol/l.","Medium"
"L'insuffisance surrénalienne peut être une cause d'hyponatrémie avec VEC normal ou VEC diminué.","True","Le document la classe à la fois dans VEC normal (endocrinienne) et VEC diminué (natriurèse > 20 mmol/l).","Medium"
"L'objectif de correction d'une hyponatrémie sévère symptomatique en 2-4h est de 2 à 4 mmol/l.","True","Le document le confirme.","Medium"
"La myélinolyse centropontine est due à une correction trop lente de l'hyponatrémie.","False","Le document indique : ''Trop rapide : risque de myélinolyse centropontine''.","Medium"
"Les hyponatrémies avec VEC diminué et natriurèse > 20 mmol/l peuvent être dues à des pertes gastro-intestinales.","False","Les pertes gastro-intestinales donnent une natriurèse < 20 mmol/l.","Medium"
"L'hypothyroïdie est une cause endocrinienne d'hyponatrémie.","True","Le document la cite.","Medium"
"La potomanie est une cause d'hyponatrémie avec VEC normal.","True","Le document la classe dans VEC normal.","Medium"
"La correction de l'hyponatrémie doit toujours viser une normalisation complète en 24h.","False","Le document fixe des limites : <10 mmol/l en 24h, <18 en 48h.","Difficult"
"Une hyponatrémie sur VEC augmenté avec natriurèse < 20 mmol/l oriente vers une origine rénale primitive.","False","Une natriurèse basse dans VEC augmenté oriente vers des causes non rénales (œdèmes généralisés, iatrogènes, dénutrition, grossesse).","Difficult"
"Les convulsions sont un signe possible de l'hyponatrémie sévère.","True","Le document liste les convulsions dans la symptomatologie.","Difficult"
