"question","answer","explanation","difficulty"
"L'hyperkaliémie est définie par un potassium plasmatique > 5 mmol/l.","True","Le document donne cette définition.","Easy"
"Le seuil théorique létal du potassium est de 6 mmol/l.","False","Le document indique : ''en théorie : K 8mmol/l = létal''.","Easy"
"Une hyperleucocytose majeure (> 100 000/mm3) peut faussement augmenter la kaliémie.","True","Le document cite l'hyperleucocytose comme cause de fausse hyperkaliémie.","Easy"
"Le chlorure de calcium à 10% agit en 30 à 60 minutes.","False","Le document indique : ''Agit en 1 à 3 minutes''.","Easy"
"L'insuline dans le traitement de l'hyperkaliémie agit en 1 à 2 heures.","True","Le document le confirme.","Easy"
"Le salbutamol est contre-indiqué chez les sujets coronariens.","True","Le document précise cette contre-indication.","Easy"
"La dose de salbutamol en nébulisation pour l'hyperkaliémie est de 5 mg.","False","La dose est de 20 mg (4 fois celle de l'asthme).","Easy"
"Le Kayexalate échange un ion potassium contre un ion calcium.","False","Le document précise que le Kayexalate échange K+ contre Na+, tandis que le Resikali échange contre Ca++.","Easy"
"Les diurétiques de l'anse augmentent l'élimination urinaire de potassium.","True","Le document explique : ''Augmentation de l'action de la pompe Na-K -> augmentation de l'élimination de K''.","Easy"
"L'hémodialyse est le moyen le plus efficace pour éliminer le potassium mais nécessite des préparations.","True","Le document le confirme.","Easy"
"L'hyperkaliémie sévère est définie par un potassium > 6 mmol/L.","False","Le document définit l'hyperkaliémie sévère > 7 mmol/L.","Easy"
"La maladie d'Addison est une cause d'hyperkaliémie par excès d'aldostérone.","False","La maladie d'Addison est une insuffisance surrénalienne avec manque d'aldostérone, d'où l'hyperkaliémie.","Easy"
"Une hémorragie digestive sévère peut provoquer une hyperkaliémie par catabolisme cellulaire.","True","Le document cite l'hémorragie digestive sévère dans le catabolisme cellulaire accrue.","Medium"
"Les β-bloquants non sélectifs sont une cause médicamenteuse d'hyperkaliémie.","True","Le document les cite dans les causes médicamenteuses et toxiques.","Medium"
"L'alcalinisation par soluté bicarbonaté isotonique agit en 1 à 2 heures.","False","Le délai d'action est de 30 à 60 minutes.","Medium"
"Les IEC et ARA2 bloquent l'action de l'aldostérone, ce qui peut provoquer une hyperkaliémie.","True","Le document l'explique clairement.","Medium"
"L'hyperkaliémie modérée est traitée en première intention par calcium IV.","False","Le calcium IV est réservé à l'hyperkaliémie sévère >7 mmol/L.","Medium"
"Le Resikali est une résine échangeuse d'ions à base de sulfonate de calcium.","True","Le document précise : ''Resikali : sulfonate de calcium''.","Medium"
"Une hypothermie peut être responsable d'une hyperkaliémie.","True","Le document cite ''Hypothermie'' dans le catabolisme cellulaire accrue.","Medium"
"L'héparine et les HBPM sont citées comme causes d'hyperkaliémie.","True","Le document les liste dans les causes médicamenteuses.","Medium"
"Le bicarbonate per os dans l'hyperkaliémie modérée avec acidose est prescrit à la dose de 10 g par jour.","False","La dose est de 2 à 4 g de bicarbonate de Na par jour selon le document.","Difficult"
"Le soluté bicarbonaté isotonique est dosé à 1,4 g% selon le document.","True","Le document le précise.","Difficult"
"Une nouvelle injection de calcium peut être réalisée après 5 minutes en cas d'inefficacité.","True","Le document indique : ''Nouvelle injection en cas d'inefficacité après 5 minutes''.","Difficult"
