"question","answer","explanation","difficulty"
"La varicelle est due au virus Herpès simplex.","False","Document: 'Herpès virus type 3 ou VZV'","Easy"
"La varicelle touche 90% des enfants avant 10 ans.","True","Document: 'Maladie fréquente, 90% avant 10 ans'","Easy"
"La période d'incubation de la varicelle est de 14 jours.","True","Document: 'Incubation : 14 j'","Easy"
"La contagiosité débute 1 à 2 jours avant l'apparition des vésicules.","True","Document: 'Contagiosité : 1à 2 j avant l'apparition des vésicules'","Easy"
"La varicelle est plus sévère chez l'enfant de moins de 1 an.","True","Document: 'Formes sévères chez <1 an'","Easy"
"L'éruption de la varicelle est caractérisée par des éléments tous au même stade.","False","Document: 'éléments d'âge différent' (plusieurs poussées)","Easy"
"Les AINS sont recommandés pour traiter la fièvre de la varicelle.","False","Document: 'Contre-indication des AINS'","Easy"
"La cérébellite est une complication neurologique possible de la varicelle.","True","Document: 'Cérébellite'","Medium"
"Le syndrome de Reye est associé à la prise de paracétamol lors de la varicelle.","False","Document: 'Syndrome de Reye (si aspirine)'","Medium"
"La vaccination contre la varicelle est systématique dans le calendrier vaccinal français.","False","Document: 'Vaccination non recommandée systématiquement'","Medium"
"Les surinfections bactériennes des lésions de varicelle sont dues au staphylocoque et au streptocoque.","True","Document: 'Staphylococcus aureus, Streptococcus pyogenes'","Medium"
"La varicelle est une maladie à déclaration obligatoire.","False","Document: non mentionné, mais généralement non obligatoire","Medium"
"L'éviction scolaire est obligatoire en cas de varicelle.","False","Document: 'Pas d'éviction scolaire obligatoire'","Difficult"
"Le diagnostic de varicelle est généralement clinique.","True","Document: 'Diagnostic clinique +++'","Easy"
