question,answer,explanation,difficulty
"La paralysie faciale périphérique est une atteinte du motoneurone central.",False,"Le document indique : Périphérique : paralysie globale, complète, intéresse le motoneurone.","Easy"
"Le nerf facial assure quatre fonctions : sensitive, sensorielle, sécrétoire et motrice.",True,"Le document précise : quatre fonctions du Nerf facial : sensitif, sensoriel, sécrétoire, moteur.","Easy"
"Le signe de Charles Bell est l’impossibilité de fermer les paupières avec fuite du globe oculaire en haut et en dehors.",True,"Le document décrit : Signe de CHARLES BELL : impossibilité de fermer les paupières, globe oculaire fuit en haut et en dehors.","Easy"
"Dans la PFP, le patient peut siffler normalement.",False,"Le document indique : Ni siffler, ni souffler.","Easy"
"Le signe de Souques correspond à des sourcils plus longs du côté atteint.",True,"Le document précise : Signe de SOUQUES (les sourcils du côté atteint paraissent plus longs que le côté sain).","Medium"
"Le ganglion géniculé contrôle la sécrétion lacrymale.",True,"Le document mentionne : Ganglion géniculé (sécrétion lacrymale).","Medium"
"Le muscle de l’étrier est responsable du réflexe stapédien.",True,"Le document indique : Muscle de l’étrier (réflexe stapédien).","Medium"
"La corde du tympan transmet les sensations gustatives.",True,"Le document précise : Corde du tympan (goût).","Medium"
"Le test de Schirmer évalue la sécrétion salivaire.",False,"Le document indique : Test de Schirmer : pour évaluer la sécrétion lacrymale.","Medium"
"Le testing musculaire de Freyss évalue 5 muscles du visage.",False,"Le document précise : Dix muscles sont testés.","Medium"
"Le grade I de House et Brackmann correspond à une fonction normale.",True,"Le document mentionne : Récupération ad integrum (grade I-II). Grade I = normale.","Medium"
"Le syndrome de Melkersson-Rosenthal associe PFP récidivante, œdème facial et langue plicaturée.",True,"Le document décrit : PF récidivante ou à bascule, Œdème face ou lèvres, Langue plicaturée.","Medium"
"Le syndrome des larmes de crocodile est une complication de la PFP.",True,"Le document cite : Syndrome des larmes de crocodile.","Medium"
"La kinésithérapie faciale n’a pas d’indication dans la PFP.",False,"Le document cite : Kinésithérapie faciale dans les moyens.","Medium"
"La paralysie faciale a frigore est la plus fréquente.",True,"Le document indique : PF A FRIGORE : la plus fréquente, sans cause évidente.","Easy"
"Dans la paralysie faciale centrale, le signe de Charles Bell est présent.",False,"Le document précise : PF CENTRALE : pas de signe de Charles Bell.","Medium"
"Le traitement de la PFP a frigore repose sur la corticothérapie.",True,"Le document indique : A frigore : corticothérapie +/- antiviraux.","Easy"
"La toxine botulique est indiquée dans le traitement du spasme facial post-paralytique.",True,"Le document précise : Séquelles : toxine botulique (surtout pour le spasme facial).","Medium"
"Le syndrome de Moebius est une cause de paralysie faciale bilatérale.",True,"Le document cite : Sd de Moebius dans les PF bilatérales.","Medium"
"La paralysie faciale chez le nouveau-né est diagnostiquée au repos.",False,"Le document indique : Diagnostic lors des pleurs.","Medium"
"La manœuvre de Pierre-Marie-Fox s’utilise chez le patient conscient.",False,"Le document précise : Manoeuvre de PIERRE-MARIE-FOX : pour stimuler le nerf facial chez le patient comateux.","Medium"
"La syncinésie est une complication de la PFP.",True,"Le document cite : Syncinésies comme complication.","Medium"
"L’hémispasme post-paralytique est une complication de la PFP.",True,"Le document mentionne : Hémispasme post-paralytique.","Medium"
"L’atteinte infra-cordale respecte le goût.",True,"Le document indique : Infra-cordal : goût normal.","Medium"
"L’atteinte supra-stapédienne respecte le réflexe stapédien.",False,"Le document précise : Supra-stapédien : réflexe stapédien absent.","Difficult"
"Une paralysie faciale périphérique peut être due à une parotidite.",True,"Le document cite : Infectieuses : parotidite.","Medium"
"Le traitement de la PFP doit être précoce.",True,"Le document indique : Intérêt du traitement précoce.","Easy"
