"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Que sont les neuroblastomes ?","Tumeurs bénignes du tissu nerveux","Tumeurs embryonnaires malignes du tissu sympathique","Tumeurs rénales de l'enfant","Tumeurs hépatiques congénitales","2","Le document : ''Ce sont des tumeurs embryonnaires malignes du tissu sympathique, se développant aux dépens de la crête neural''.","Easy"
"Quelle est la localisation la plus fréquente des neuroblastomes ?","Cervicale","Thoracique","Abdominale","Pelvienne","3","Le document : ''La localisation abdominale est la plus fréquente''.","Easy"
"Quelle est la fréquence des neuroblastomes ?","1/1 000 naissances","1/10 000 naissances","1/100 000 naissances","1/500 naissances","2","Le document : ''1/10.000 naissances''.","Easy"
"Avant quel âge voit-on 95% des neuroblastomes ?","2 ans","5 ans","8 ans","10 ans","3","Le document : ''95% se voient avant l'âge de 8 ans''.","Easy"
"Quel est l'âge médian de survenue des neuroblastomes ?","1 an","2 ans","3 ans","4 ans","2","Le document : ''50% autour de l'âge de 2 ans''.","Easy"
"Quel pourcentage de neuroblastomes sont métastatiques au moment du diagnostic ?","30%","45%","60%","80%","3","Le document : ''Près de 60% sont métastatiques au moment du diagnostic''.","Easy"
"Quel est l'aspect macroscopique habituel de la tumeur principale du neuroblastome ?","Bien limitée, encapsulée","Mal limitée, infiltrante","Kystique","Nodulaire","2","Le document : ''Habituellement, la tumeur principale est mal limitée, infiltrante''.","Easy"
"Quelle est la lésion bénigne du tissu sympathique ?","Ganglioneuroblastome","Ganglioneurome","Neuroblastome","Phéochromocytome","2","Le document : ''Ganglioneurome (lésion bénigne)''.","Easy"
"À partir de quelle semaine de gestation peut-on détecter un neuroblastome en anténatal ?","12 SA","20 SA","29 SA","35 SA","3","Le document : ''La période anténatale : à partir de la 29SA''.","Easy"
"Quelle est la fréquence des calcifications dans les neuroblastomes à l'imagerie ?","5 fois sur 10","6 fois sur 10","8 fois sur 10","9 fois sur 10","3","Le document : ''La tumeur présente des calcifications 8 fois sur 10''.","Easy"
"Dans quel pourcentage des neuroblastomes observe-t-on une élévation des catécholamines urinaires (VMA-HVA, Dopamine) ?","75%","85%","95%","99%","3","Le document : ''L'élévation des catécholamine urinaires, VMA-HVA et Dopamine, se voient dans 95% des neuroblastomes''.","Easy"
"Quelle est la valeur diagnostique de l'élévation des catécholamines urinaires dans le neuroblastome ?","Évocatrice","Pathognomonique","Non spécifique","Sans intérêt","2","Le document : ''PATHOGNOMONIQUE''.","Easy"
"Quel examen permet la détection des métastases dans les cas douteux ?","TDM","IRM","Scintigraphie à la MIBG","ASP","3","Le document : ''la scintigraphie à la MIBG (métastases)''.","Easy"
"Quel est le pronostic des neuroblastomes chez l'enfant de moins de 1 an ?","Réservé","Grave","Le meilleur pronostic","Identique aux autres âges","3","Le document : ''Chez l'enfant moins de 1 an : chirurgie d'emblée, le meilleur pronostic''.","Medium"
"Où peut siéger le neuroblastome ?","De la région cervicale au petit bassin","Uniquement au niveau abdominal","Uniquement au niveau thoracique","Uniquement au niveau surrénalien","1","Le document : ''pouvant siéger de la région cervicale au petit bassin''.","Medium"
"Quelle est la localisation latérale du neuroblastome ?","Péri vasculaire","Dans la loge surrénalienne, ganglions latéro-aortiques ou latéro-caves","Au contact de l'AMS","Au contact du tronc cœliaque","2","Le document : ''Latérale : la tumeur peut siéger dans la loge surrénalienne, les ganglions sont latéro-aortiques ou latéro-caves''.","Medium"
"Quelle est la localisation centrale du neuroblastome ?","Dans la loge surrénalienne","Péri vasculaire, développée aux dépens du sympathique péri-aortique","Latéro-vertébrale","Cervicale","2","Le document : ''Centrale : péri vasculaire, développée aux dépens du sympathique péri-aortique, au contact de l'AMS, du tronc cœliaque et de l'origine de la veine porte''.","Medium"
"Quel syndrome peut révéler un neuroblastome ?","Syndrome de Cushing","Syndrome oculo-cérébello-myoclonique","Syndrome de Conn","Syndrome de Waterhouse-Friderichsen","2","Le document : ''Un syndrome Occulo-cérébello-myoclonique''.","Medium"
