"term","definition","contextual_explanation"
"Développement psychomoteur (DPM)","Processus d'acquisition des compétences motrices, cognitives et sociales chez l'enfant.","Le document traite de l'évaluation régulière du DPM et des anomalies (retard, stagnation, régression) révélatrices de troubles."
"Retard","Absence d'acquisition d'une compétence à l'âge attendu.","Dans le DPM, le retard est une anomalie à évaluer, ex : retard de la marche à 18 mois, retard de langage à 2 ans (absence d'association de 2 mots)."
"Stagnation","Arrêt des acquisitions sans perte des acquis antérieurs.","Anomalie du DPM à rechercher, au même titre que le retard ou la régression."
"Régression","Perte des compétences précédemment acquises.","Anomalie grave du DPM, oriente vers un bilan métabolique selon le document."
"Microcéphalie","Périmètre crânien (PC) inférieur à -3 écarts-types (DS).","Inquiétude sur les courbes de PC : 'Microcéphalie <-3DS'."
"Macrocéphalie","Périmètre crânien supérieur à +3 écarts-types (DS).","Inquiétude sur les courbes de PC : 'Macrocéphalie > +3DS'."
"Dysmorphie","Anomalie de la morphologie (visage, silhouette, extrémités).","Recherchée à l'examen clinique complet : 'morphologie (dysmorphie) : visage, silhouette et extrémités'."
"Tripode","Position assise avec appui sur les membres supérieurs.","Repère de motricité globale à 6 mois : 'assis avec appui ; en tripode'."
"Latéralisation précoce","Préférence manuelle droite ou gauche anormalement précoce (avant 6 mois).","À 6 mois, l'enfant attrape sans préférence ; une préférence D ou G est une latéralisation précoce anormale."
"Pince pouce-index","Préhension fine opposant le pouce et l'index.","Acquise vers 9-10 mois : 'pince pouce-index'."
"Babillage","Production de syllabes répétitives (ex: ba-ba, da-da).","Apparaît à 6 mois ; son absence à 12 mois est un signe d'alerte (tableau : '12 mois - Babillage' en retard)."
"Réflexes archaïques","Réflexes primitifs présents à la naissance, normalement inhibés progressivement.","Liste donnée : succion, points cardinaux, grasping (mains et pieds), MORO, allongement croisé, marche automatique."
"Grasping","Réflexe de préhension palmaire et plantaire.","Réflexe archaïque présent à la naissance, au niveau des mains et des plantes des pieds."
"MORO","Réflexe de sursaut ou d'extension-abduction des membres.","Réflexe archaïque présent à la naissance."
"Pointage du doigt","Utilisation de l'index pour montrer un objet ou une personne.","Signe d'alerte : absence à 12 mois. À 24 mois, absence de l'index pour désigner quelqu'un est aussi anormal."
"Gestes sociaux","Comportements non verbaux comme coucou, bye bye.","Absence à 12 mois est un signe d'alerte."
"Jeu 'faire semblant'","Jeu symbolique imitant des actions réelles (ex: vroum vroum voiture).","Absence à 24 mois est un signe d'alerte comportemental."
"Audiogramme","Examen de mesure de l'acuité auditive.","Recommandé en cas de trouble suspecté : 'acuité auditive (audiogramme+++)'."
"Caryotype","Analyse des chromosomes.","Indiqué en cas de dysmorphie pour confirmer une maladie chromosomique."
"Asphyxie périnatale","Défaut d'oxygénation autour de la naissance.","Cause périnatale du retard de DPM."
"Pathologie constitutionnelle du fœtus","Maladie génétique ou métabolique présente dès la conception.","Évoquée si souffrance aiguë survient en dehors de tout contexte périnatal."
"Infection materno-fœtale","Infection transmise de la mère au fœtus (ex: toxoplasmose).","Cause prénatale du retard de DPM."
"Sévices majeurs","Maltraitance physique ou psychologique sévère.","Cause post-natale du retard de DPM."
"Signe de Gowers","Manière de se lever en utilisant les mains pour grimper le long des jambes.","Positif indique un problème neuromusculaire : l'enfant n'arrive pas à se lever d'un coup."
