"term","definition","contextual_explanation"
"RCH (rectocolite ulcéro-hémorragique)","Maladie inflammatoire chronique de l’intestin (MICI), auto-inflammation, atteignant constamment le rectum, pouvant s’étendre au côlon sans atteindre le grêle.","Pathologie rare à Madagascar, prédominance masculine (3H/1F), pic chez le sujet jeune, gradient Nord-Sud."
"Atteinte rectale constante","Principe fondamental : il n’y a pas de RCH sans atteinte du rectum. Le diagnostic repose sur la rectoscopie.","Élément clé du diagnostic."
"Poussées et rémissions","Mode évolutif chronique de la RCH, alternant des phases aiguës symptomatiques et des phases asymptomatiques.","La gravité des poussées varie."
"Facteurs protecteurs","Tabac et appendicectomie réduisent le risque de RCH.","Contrairement à la maladie de Crohn où le tabac est un facteur de risque."
"Rectorragie","Émission de sang rouge par l’anus, signe d’atteinte rectale.","Principal signe digestif de la RCH."
"Syndrome dysentérique","Selles glairo-sanguinolentes, avec épreintes et ténesme.","Dans la RCH, les selles sont liquides ou pâteuses, glairo-sanguinolentes."
"Érythème noueux","Lésion cutanée inflammatoire nodulaire, douloureuse, siégeant surtout aux membres inférieurs.","Manifestation extra-digestive de la RCH."
"Oligo-arthrite périphérique","Atteinte inflammatoire de quelques articulations (moins de 5), non destructrice.","Manifestation articulaire fréquente."
"Sacro-iliite","Inflammation des articulations sacro-iliaques.","Manifestation extra-digestive."
"Spondylarthrite ankylosante","Rhumatisme inflammatoire chronique de la colonne vertébrale et des sacro-iliaques.","Peut être associée à la RCH."
"Uvéite","Inflammation de l’uvée, pouvant entraîner une cécité sans traitement rapide.","Manifestation oculaire extra-digestive."
"Cholangite sclérosante primitive","Atteinte inflammatoire et fibrosante des voies biliaires, pouvant donner un ictère.","Complication hépato-biliaire de la RCH."
"Rectoscopie","Examen endoscopique du rectum, clé pour le diagnostic de RCH.","Montre une muqueuse congestive, fragile (« pleure le sang »), granitée, avec ulcérations superficielles continues."
"Muqueuse qui pleure le sang","Aspect endoscopique très évocateur : la muqueuse rectale est extrêmement fragile, saignant au simple contact de l’endoscope.","Signe de gravité potentiel."
"Intervalle de muqueuse saine","Zone de muqueuse normale entre deux lésions. Absent dans la RCH (lésions continues), présent dans la maladie de Crohn.","Critère de distinction endoscopique."
"Limite supérieure nette","Frontière abrupte entre la zone ulcérée et la muqueuse saine plus haut dans le côlon.","Caractéristique de la RCH."
"Pancolite","Extension de la RCH à l’ensemble du côlon (jusqu’au caecum), sans intervalle sain.","Forme étendue (15% des cas)."
"Plasmocytose basale","Infiltrat de plasmocytes à la base de la muqueuse colique, lésion histologique évocatrice de RCH.","Visible en microscopie."
"Colectasie aiguë (mégacôlon toxique)","Dilatation du côlon (>6 cm de diamètre transverse) lors d’une poussée sévère, avec risque de perforation.","Complication redoutable, urgence médico-chirurgicale."
"Index de Truelove et Witts","Score clinico-biologique évaluant la sévérité d’une poussée de RCH (critères : selles/j, température, FC, VS, hémoglobine).","Formes modérées vs sévères."
"Indice de Lichtiger","Version modifiée de Truelove et Witts, sur 8 paramètres (selles, selles nocturnes, saignement, incontinence, douleurs, état général, douleur palpatoire, anti-diarrhéique). Seuil de gravité ≥10/21.","Utilisé pour définir la colite aiguë grave."
"Maladie de Crohn","Diagnostic différentiel principal de la RCH, avec atteinte discontinue, granulomes épithélioïdes, possible atteinte de l’iléon et lésions ano-périnéales.","À distinguer par endoscopie et histologie."
"Granulome épithélioïde","Amas de cellules épithélioïdes sans nécrose caséeuse, caractéristique de la maladie de Crohn, absent dans la RCH.","Critère histologique différentiel."
