"question","answer","explanation","difficulty"
"Les malformations ano-rectales sont plus fréquentes chez les filles que chez les garçons.","False","Le document : ''Garçon+++'' (plus fréquent chez les garçons).","Easy"
"Le sphincter externe de l'anus est composé de muscles lisses.","False","Le document : ''Sphincter externe : muscle strié''.","Easy"
"La classification des MAR utilise la ligne pubo-coccygienne de Stephens.","True","Le document : ''Classification : Ligne pubo-coccygienne de Stephens''.","Easy"
"Les MAR basses sont associées à des malformations dans la majorité des cas.","False","Le document : ''MAR basse : Périnée superficiel et souvent isolé'' (donc souvent isolées).","Easy"
"La présence de méconiurie oriente vers une MAR basse.","False","Le document : ''Méconiurie: MAR haute''.","Easy"
"L'incidence de Wegenstein et Rice est utilisée pour le diagnostic des MAR.","True","Le document : ''Incidence de Wegenstein et Rice''.","Easy"
"Dans les MAR hautes, le cul-de-sac rectal se situe au-dessous de la ligne de Stephens.","False","Le document : ''Cul de sac au dessus de la ligne de Stephens''.","Easy"
"Dans les MAR basses, la distance cul-de-sac-anus est inférieure à 1 cm de la ligne de Stephens.","True","Le document : ''Distance cul de sac-anus inf à 1cm de la ligne de Stephens''.","Easy"
"L'absence de plancher pelvien dans les MAR hautes permet une continence anale normale.","False","Le document : ''pas de continence anale''.","Easy"
"40% des MAR sont associées à des malformations vertébro-médullaires.","True","Le document : ''Malformation vertébro-médullaires : 40%''.","Easy"
"La fistulographie est indiquée en présence d'une fistule.","True","Le document : ''En présence de fistule : fistulographie''.","Easy"
"Pour les formes sans fistule, les examens sont réalisés immédiatement après la naissance.","False","Le document : ''3 à 5 heures après la naissance'' pour permettre la déglutition d'air.","Easy"
"La position proclive permet de faire remonter l'air dans le tube digestif.","True","Le document : ''Mise en position proclive pour faire remonter l'air dans le tube digestif''.","Easy"
"Les MAR hautes sont traitées par proctoplastie d'emblée en période néonatale.","False","Le document : ''MAR haute : colostomie de décharge''.","Easy"
"Les MAR basses sont traitées par colostomie.","False","Le document : ''MAR basse : Proctoplastie''.","Easy"
"L'incision en ''mercedes'' est utilisée pour la proctoplastie.","True","Le document : ''Incision en 'mercedes'''',''","Easy"
"Après proctoplastie, on obtient un anus en étoile.","True","Le document : ''Obtention d'un anus en étoile''.","Easy"
"La canule post-opératoire est maintenue pendant 3 mois.","False","Le document : ''pendant un mois''.","Easy"
