"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition d’une kératite ulcéreuse selon le document ?","Inflammation de la conjonctive","Perte tissulaire de l’épaisseur superficielle de la cornée","Œdème cornéen diffus","Infection du stroma sans perte tissulaire","2","Le document définit : « Perte tissulaire de l’épaisseur superficielle de la cornée ».","Easy"
"Quel examen permet le diagnostic de kératite ulcéreuse ?","Test à la fluorescéine positif","Test de Schirmer","Gonioscopie","OCT","1","Le document indique : « Diagnostic : test à la fluorescéine positif ».","Easy"
"Quel est le nerf responsable de l’innervation cornéenne ?","Nerf facial (VII)","Nerf trijumeau V1 (nerf ophtalmique de Willis)","Nerf optique (II)","Nerf oculomoteur (III)","2","Le document précise : « 1ère branche du nerf trijumeau V1 : Nerf ophtalmique de Willis ».","Easy"
"Combien de fois la cornée est-elle plus innervée que la pulpe dentaire ?","3 fois","5 fois","7 fois","10 fois","3","Le document indique : « Richement innervée (7 fois plus innervée que la pulpe dentaire) ».","Easy"
"Quelle est la couche cornéenne qui ne se renouvelle pas ?","Épithélium","Membrane de Bowman","Stroma","Endothélium","4","Le document précise : « Endothélium : une seule couche, ne se renouvelle pas ».","Easy"
"Quel est le signe fonctionnel cardinal des kératites ulcéreuses ?","Baisse d’acuité visuelle progressive","Douleur brutale et importante +++","Diplopie","Nystagmus","2","Le document liste : « Douleur : brutale et importante +++ » comme premier signe fonctionnel.","Easy"
"Quel signe clinique à la lampe à fente est caractéristique d’une kératite ulcéreuse ?","Hyphéma","Test à la fluorescéine positif","Dépôts rétro-descemetiques","Cataracte","2","Le document précise : « Ulcération cornéenne : test à la fluorescéine positif ».","Easy"
"Quel est le résultat du test à la fluorescéine dans une kératite interstitielle ?","Positif","Négatif","Variable","Non réalisable","2","Le document indique : « A différencier des kératites interstitielles : test à la fluorescéine négatif ».","Easy"
"Quelle structure cornéenne représente les 2/3 de l’épaisseur de la cornée ?","Épithélium","Membrane de Bowman","Stroma cornéen","Endothélium","3","Le document précise : « Stroma cornéen : 2/3 de l’épaisseur de la cornée ».","Easy"
"Quelle est la complication possible d’une kératite ulcéreuse profonde non traitée ?","Cataracte","Glaucome","Taie cornéenne (cicatrice, opacité)","Décollement de rétine","3","Le document indique : « Lésion profonde : atteinte de Bowman et stromale → Cicatrice cornéenne, opacité : taie cornéenne ».","Easy"
"Quel signe clinique oriente vers une kératite herpétique ?","Ulcère dendritique ou en feuille de fougère","Ulcère arrondi unique","Ulcère avec hypopion","Ulcère avec infiltration satellite","1","Le document décrit : « Ulcère dendritique ou en feuille de fougère » pour la kératite herpétique.","Easy"
"Quel traitement local est indiqué en première intention dans la kératite herpétique épithéliale ?","Antibiotique collyre","Aciclovir pommade 3%","Antifongique","Corticoïde local","2","Le document indique : « Aciclovir pommade 3 % : Une application 5x/j pendant 7 j ».","Easy"
"Quelle est la posologie de l’Aciclovir pommade 3% dans la kératite herpétique épithéliale ?","1x/j pendant 15 jours","3x/j pendant 7 jours","5x/j pendant 7 jours puis 3x/j jusqu’à cicatrisation","2x/j pendant 10 jours","3","Le document précise : « Une application 5x/j pendant 7 j, puis 3x/j jusqu’au 3ème jour après la cicatrisation ».","Easy"
"Quelle complication peut donner une kératite ulcéreuse surinfectée ?","Abcès cornéen avec hypopion","Cataracte","Décollement de rétine","Uvéite postérieure","1","Le document mentionne : « Surinfection bactérienne ou mycosique : infiltration de pus dans le stroma, perforation avec hypopion ».","Easy"
"Quel est le diagnostic différentiel d’une rougeur oculaire sans douleur ni baisse de vision, avec cornée claire et test fluo négatif ?","Kératite ulcéreuse","Conjonctivite","Uvéite antérieure aiguë","Glaucome aigu","2","Le document indique : « Conjonctivites : Pas de douleur ni baisse de la vision, Cornée claire, Test à la fluorescéine négatif ».","Easy"
"Quel examen évalue la quantité du film lacrymal ?","Test à la fluorescéine","Test de Schirmer","Break Up Time (BUT)","Gonioscopie","2","Le document précise : « Film lacrymal : quantité : test de Schirmer ».","Easy"
"Quelle est la particularité de l’ulcère mycosique ?","Ulcère dendritique","Ulcère torpide avec des infiltrats satellites","Ulcère arrondi avec hypopion stérile","Ulcère neurotrophique","2","Le document décrit : « Ulcère torpide, avec des infiltrats satellites (grande lésion principale avec petites ulcères tout autour) ».","Medium"
"Quel germe est responsable des kératites amibiennes et dans quel contexte ?","Candida albicans – corticothérapie","Aspergillus – traumatisme végétal","Acanthamoeba – port de lentilles de contact","Herpès simplex – récidive","3","Le document indique : « Amibienne : Port de lentille de contact ».","Medium"
"Quel examen clinique spécifique évalue la qualité du film lacrymal ?","Test de Schirmer","Break Up Time (BUT)","Test à la fluorescéine","Gonioscopie","2","Le document précise : « Qualité : temps de rupture lacrymal = Break Up Time (BUT) ».","Medium"
"Quel est le traitement antiviral par voie générale de la kératite zostérienne selon le document ?","Aciclovir 200mg 5x/j 7-10j","Valaciclovir 500mg 2x/j 7j","Valaciclovir 3g par jour pendant 10 jours","Aciclovir 800mg 3x/j 5j","3","Le document indique : « Ou Valaciclovir 3g par jour pendant 10 jours » pour la kératite zostérienne.","Medium"
"Quelle est la conséquence d’une lésion ulcéreuse atteignant la membrane de Bowman et le stroma ?","Cicatrisation complète sans séquelle","Opacité cornéenne (taie)","Perforation systématique","Hypertonie oculaire","2","Le document précise : « Atteinte de la membrane de Bowman, stromale : cicatrisation, opacité : taie cornéenne ».","Medium"
"Quelle pathologie des annexes est définie par l’impossibilité de fermeture de la fente palpébrale ?","Entropion","Ectropion","Lagophtalmie","Blépharite","3","Le document définit : « Lagophtalmie : impossibilité de fermeture de la fente palpébrale ».","Medium"
"Quelle est la cause de l’entropion dans la survenue des kératites ulcéreuses ?","Sécheresse oculaire","Les cils grattent la surface cornéenne","Déficit lacrymal","Anesthésie cornéenne","2","Le document indique : « Entropion (inversion de la paupière : cils vont gratter la surface oculaire et celle de la cornée -> K.U) ».","Medium"
"Quelle est la différence entre l’entropion et l’ectropion en termes de mécanisme lésionnel cornéen ?","Entropion : cils qui grattent ; Ectropion : trouble d’étalement du film lacrymal → sécheresse","Entropion : sécheresse ; Ectropion : grattement","Entropion : œdème ; Ectropion : infection","Entropion : douleur ; Ectropion : indolore","1","Le document explique les deux mécanismes distincts.","Medium"
"Quelle est la posologie de l’Aciclovir per os dans les kératites herpétiques épithéliales ?","500mg 2x/j 7j","200mg 5x/j pendant 7-10 jours","800mg 3x/j 5j","400mg 3x/j 14j","2","Le document indique : « Aciclovir cp 200mg 5x/j pendant 7-10 jours ».","Medium"
"Quelle est l’alternative au traitement local par Aciclovir pommade dans la kératite zostérienne ?","Ganciclovir","Valaciclovir 3g/j 10j","Foscarnet","Corticothérapie","2","Le document indique : « Ou Valaciclovir 3g par jour pendant 10 jours ».","Medium"
"Quel est le critère de cicatrisation d’une kératite ulcéreuse ?","Disparition de la douleur","Test à la fluorescéine négatif","Normalisation de la PIO","Disparition du cercle péri-kératique","2","Le document indique : « Cicatrisation = test fluo négatif ».","Medium"
"Quel est l’intérêt du débridement épithélial dans le traitement des kératites ulcéreuses ?","Retirer un corps étranger","Induire la cicatrisation (ex: plaque d’ulcération du KC printannière)","Appliquer un traitement local","Réaliser un prélèvement","2","Le document mentionne : « Débridement épithélial pour induire la cicatrisation (plaque d’ulcération lors du KC printannière) ».","Medium"
"Quel collyre antiseptique est cité dans le document ?","Aciclovir","Desomédine","Amphotéricine B","Timoptol","2","Le document mentionne : « Desomédine* : Une goutte 5x/j pendant 7 jours ».","Medium"
"Quelle est la particularité de l’ulcère bactérien grave ?","Infiltration de pus dans l’épaisseur stromale","Ulcère dendritique","Infarctus satellite","Test fluo négatif","1","Le document indique : « Infiltration de pus dans l’épaisseur stromale » pour l’origine bactérienne grave.","Medium"
"Quel est le traitement de l’ulcère traumatique simple selon le document ?","Aciclovir pommade","Cicatrisant collyre + antiseptique ou antibiotique collyre","Amphotéricine B","Corticostéroïdes","2","Le document indique : « Cicatrisant collyre, Antiseptique collyre, ou antibiotique collyre ».","Medium"
"Quelle est la différence de pronostic entre une atteinte épithéliale isolée et une atteinte stromale ?","Atteinte épithéliale : opacité ; stromale : pas d’opacité","Atteinte épithéliale : pas d’opacité ; stromale : taie cornéenne","Les deux donnent une opacité","Les deux guérissent sans séquelle","2","Le document précise : « Atteinte épithéliale : pas d’opacité cornéenne ; Atteinte de Bowman, stromale : opacité : taie cornéenne ».","Medium"
"Un patient porteur de lentilles de contact présente une kératite avec infiltrats satellites autour de l’ulcère principal. Quel diagnostic étiologique suspectez-vous ?","Kératite herpétique","Kératite bactérienne","Kératite mycosique","Kératite amibienne","4","L’ulcère avec infiltrats satellites est typique de la kératite amibienne chez le porteur de lentilles.","Difficult"
"Un patient avec zona ophtalmique et éruption vésiculeuse sur l’aile du nez présente une kératite ulcéreuse. Pourquoi cette localisation nasale est-elle importante ?","Car elle signe une atteinte de la branche nasale du V1, avec risque de kératite neurotrophique","Car elle est associée à une conjonctivite","Car elle nécessite un traitement antibiotique","Car elle est sans gravité","1","Le document précise : « Zona ophtalmique, atteinte de la branche nasale du V1 : Eruption cutanée vésiculeuse, au niveau de la racine et de l’aile du nez ».","Difficult"
"Pourquoi la corticothérapie locale est-elle dangereuse en cas de kératite ulcéreuse non diagnostiquée ?","Elle retarde la cicatrisation","Elle favorise les surinfections mycosiques ou virales","Elle masque les signes inflammatoires","Toutes les raisons ci-dessus","4","Le document mentionne que les ulcères mycosiques sont secondaires à la corticothérapie locale, et les antiviraux sont nécessaires.","Difficult"
"Un patient a une kératite ulcéreuse avec hypopion. Quel est le diagnostic le plus probable et quelle est l’urgence ?","Kératite herpétique – Aciclovir","Ulcère bactérien compliqué – prélèvement et antibiothérapie large spectre en urgence","Kératite mycosique – amphotéricine B","Kératite amibienne – débridement","2","Hypopion = infection grave, souvent bactérienne, risque de perforation et panophtalmie.","Difficult"
"Quel est le risque d’une kératite ulcéreuse mycosique non traitée ?","Guérison spontanée","Cicatrice sans conséquence","Perforation, panophtalmie","Glaucome chronique","3","Les mycosiques sont torpides mais graves.","Difficult"
