"question","answer","explanation","difficulty"
"Expliquez brièvement le métabolisme du glucose en période de jeûne court (4-16h) et de jeûne long.","Jeûne court : glycogénolyse hépatique. Jeûne long : néoglucogenèse hépatique (à partir d’AA, lactate, lipolyse) et cétogenèse.","Document.","Easy"
"Citez quatre signes cliniques d’hypoglycémie chez le nouveau-né.","Pâleur, hypothermie, difficultés d’alimentation, polypnée, trémulations, hypotonie, somnolence, convulsions (quatre au choix).","Liste des signes nouveau-né.","Easy"
"Quels sont les seuils glycémiques définissant l’hypoglycémie chez l’enfant et chez le nouveau-né à terme symptomatique ?","Enfant : < 2,8 mmol/l ; nouveau-né à terme symptomatique : < 2,2 mmol/l.","Document.","Easy"
"Quel est le traitement d’urgence de l’hypoglycémie chez un enfant inconscient sans accès veineux ?","Glucagon IM : 0,5 mg si poids <20 kg, 1 mg si poids >20 kg.","Document.","Easy"
"Citez trois causes d’hypoglycémie chez le nouveau-né.","Prématurité/hypotrophie, nouveau-né de mère diabétique, détresses néonatales, syndrome de Wiedemann-Beckwith, hypopituitarisme congénital.","Étiologies nouveau-né.","Easy"
"Quels sont les deux grands groupes de causes d’hypoglycémie chez le nourrisson et l’enfant ?","Déficits métaboliques (néoglucogenèse, glycogénolyse, cétogenèse, hypoglycémie récurrente avec cétose) et déficits endocriniens (hyperinsulinisme, déficit en GH, insuffisance surrénale).","Conclusion.","Easy"
"Pourquoi la prématurité est-elle un facteur de risque d’hypoglycémie ?","Parce que les réserves de glycogène se constituent pendant les 2 derniers mois de grossesse ; le prématuré n’a pas eu le temps de constituer ces réserves.","Document : ''Prématurité -> pas de réserve''.","Medium"
"Expliquez le mécanisme de l’hypoglycémie chez le nouveau-né de mère diabétique.","Le bébé s’est habitué à l’insulinothérapie maternelle (hyperinsulinisme foetal) et présente un déficit énergétique à la naissance après la section du cordon.","Document.","Medium"
"Quels sont les signes de l’hypoglycémie chez l’enfant ?","Faim impérieuse, vomissements, douleur abdominale, pâleur, sueurs, regard vide, troubles du comportement, irritabilité, céphalée, confusion, coma, convulsions.","Liste enfant.","Medium"
"Quelle est la conduite à tenir devant un enfant conscient présentant une hypoglycémie légère ?","Administrer 1 morceau de sucre (5g) pour 20 kg ou 100 ml de boisson sucrée, répéter toutes les 5 minutes jusqu’à normalisation.","Document.","Medium"
"Décrivez le traitement d’urgence de l’hypoglycémie chez le nouveau-né.","Bolus de SGH 10% 2 ml/kg IV, puis perfusion polyionique à base de SGH 10% 80 ml/kg/24h, maintenir si possible alimentation entérale, contrôler glycémie après 30 min puis toutes les 3 heures.","Document.","Medium"
"Qu’est-ce que le syndrome de Wiedemann-Beckwith et pourquoi expose-t-il à l’hypoglycémie ?","C’est une maladie génétique avec hyperplasie des îlots de Langerhans, entraînant un hyperinsulinisme et donc des hypoglycémies.","Document : ''hyperplasie des îlots de Langherhans''.","Medium"
"Quelle est la particularité de l’hypoglycémie récurrente avec cétose chez l’enfant ?","Elle débute entre 1 et 5 ans, survient lors des jeûnes prolongés, et disparaît spontanément entre 7 et 8 ans.","Document.","Medium"
"Pourquoi le contrôle de la glycémie par glucomètre doit-il être confirmé par une technique enzymatique ?","Pour éviter les erreurs de mesure et confirmer le diagnostic biologique.","Document : ''Confirmation : techniques enzymatiques (glucose oxydase)''.","Medium"
"Quels sont les trois types de déficits métaboliques responsables d’hypoglycémie chez l’enfant ?","Déficit de la néoglucogenèse, déficit de la glycogénolyse, déficit de la cétogenèse.","Document.","Medium"
"Citez trois causes endocriniennes d’hypoglycémie chez le nourrisson et l’enfant.","Hyperinsulinisme, déficit en GH isolé ou associé, insuffisance surrénale.","Document.","Medium"
"Quel est le rôle du glucagon dans le traitement de l’hypoglycémie ?","Il provoque une glycogénolyse hépatique, libérant du glucose dans le sang.","Mécanisme non détaillé mais implicite.","Medium"
"Pourquoi l’hypothermie est-elle un signe d’hypoglycémie chez le nouveau-né ?","Parce que le défaut énergétique lié à l’hypoglycémie perturbe la thermorégulation.","Document : ''toute dysrégulation glucidique peut entraîner une dysrégulation thermique par défaut énergétique''.","Medium"
"Quel est le devenir habituel de l’hypoglycémie récurrente avec cétose ?","Disparition spontanée entre 7 et 8 ans.","Document.","Difficult"
"Expliquez le mécanisme de l’hypoglycémie dans l’hypopituitarisme congénital.","Le déficit combiné en GH et ACTH entraîne une insuffisance surrénale (manque de cortisol) et un déficit en hormone de croissance, tous deux participant à la régulation glycémique.","Document : ''déficit en GH e ACTH combiné''.","Difficult"
"Pourquoi la surveillance glycémique après traitement d’une hypoglycémie néonatale est-elle toutes les 3 heures ?","Pour prévenir les récidives et adapter la perfusion.","Document.","Difficult"
"Quelle est la différence entre la consommation cérébrale de glucose chez l’enfant et chez l’adulte ?","Chez l’enfant, le cerveau consomme 60% du glucose total ; chez l’adulte, seulement 25%.","Document.","Difficult"
"Quels sont les risques de l’hypoglycémie prolongée sur le plan neurologique ?","Séquelles neurologiques irréversibles, pouvant aller jusqu’au coma ou aux convulsions.","Document.","Difficult"
"Comment distingue-t-on cliniquement une hypoglycémie d’autres causes de convulsions chez l’enfant ?","L’hypoglycémie s’accompagne souvent de signes neurovégétatifs (sueurs, pâleur, faim) et répond rapidement à l’apport de glucose.","Non explicitement dans le document, mais déductible.","Difficult"
"Pourquoi le nouveau-né est-il particulièrement vulnérable à l’hypoglycémie ?","En raison de faibles réserves de glycogène (surtout si prématuré), d’une consommation cérébrale élevée (60%), et d’une homéostasie glucidique immature.","Synthèse des données du document.","Difficult"
