"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la pancréatite aiguë selon le document ?","Inflammation chronique du pancréas","Inflammation aiguë allant d'un simple œdème à une nécrose hémorragique","Infection bactérienne du pancréas","Tumeur pancréatique","2","Document : 'Inflammation aiguë : allant d’un simple œdème à une nécrose hémorragique'.","Easy"
"Quel est le mécanisme principal de la pancréatite aiguë ?","Infection bactérienne","Activation anormale des enzymes pancréatiques entraînant une autodestruction du parenchyme","Obstruction du canal pancréatique par un calcul","Ischémie pancréatique","2","Document : 'autodestruction du parenchyme pancréatique par une activation anormale des enzymes pancréatiques'.","Easy"
"Quel est le pic d'âge de la pancréatite aiguë chez l'homme ?","20-30 ans","30-40 ans","40-50 ans","50-60 ans","2","Document : 'surtout les hommes : pic 30-40 ans'.","Easy"
"Quelle est la mortalité de la pancréatite aiguë selon le document ?","1-5%","3-17%","10-25%","20-30%","2","Document : 'Mortalité : 3-17%'.","Easy"
"Quelles sont les deux principales étiologies de la pancréatite aiguë ?","Alcoolisme et lithiase biliaire","Médicaments et infections","Traumatismes et hyperlipidémie","Idiopathique et génétique","1","Document : 'Etiologies : surtout alcoolisme, lithiase biliaire'.","Easy"
"Dans l'état normal, où sont activées les pro-enzymes pancréatiques ?","Dans les canaux pancréatiques","Dans le duodénum par l'entérokinase","Dans les cellules acinaires","Dans la circulation sanguine","2","Document : 'Au niveau du duodénum : entérokinase qui active les proenzymes pancréatiques'.","Easy"
"Quel est le rôle de la cathepsine D ?","Activer le trypsinogène","Dégrader les protéines","Inhiber la trypsine","Activer le chymotrypsinogène","1","Document : 'Cathepsine D : Peut activer le trypsinogène'.","Easy"
"À l'état physiologique, quel mécanisme empêche l'activation intrapancréatique du trypsinogène ?","Absence de fusion entre granules zymogènes et lysosomes","Présence d'inhibiteurs","pH intra-cellulaire élevé","Sécrétion rapide","1","Document : 'Pas de fusion entre les granules zymogènes et les granules lysosomiaux au sein des cellules acinaires'.","Medium"
"Quel est le type de pancréatite aiguë le plus fréquent et le moins grave ?","Pancréatite nécrotico-hémorragique","Pancréatite œdémateuse","Pancréatite chronique","Abcès pancréatique","2","Document : 'Pancréatite aiguë œdémateuse : la plus fréquente et la moins grave'.","Easy"
"Quelle est la triade de Dieulafoy ?","Homme de la trentaine, bon vivant, gros, gros mangeur, après repas copieux ou alcool","Femme âgée, amaigrie, après repas léger","Enfant, vomissements, fièvre","Adulte, douleur, ictère","1","Document : 'Triade de DIEULAFOY : Homme de la trentaine, Bon vivant, gros, gros mangeur, Après un repas copieux ou une prise d’alcool'.","Easy"
"Quelle est la position antalgique typique de la pancréatite aiguë ?","Décubitus dorsal","En chien de fusil","En position assise penché en avant","En décubitus latéral gauche","2","Document : 'Position antalgique : “en chien de fusil”'.","Easy"
"Quel signe clinique est spécifique de la pancréatite aiguë (douleur provoquée à l'angle costo-vertébral gauche) ?","Signe de Murphy","Signe de Mayo-Robson","Signe de Blumberg","Signe de Grey Turner","2","Document : 'Douleur provoquée à la palpation de l’angle costo-vertébral gauche : signe de Mayo-Robson'.","Easy"
"Quel est le signe de Mallet-Guy ?","Douleur spontanée localisée en sous-costal gauche (HCG en dehors du grand droit)","Douleur à la palpation de l'angle costo-vertébral gauche","Contracture abdominale","Défense épigastrique","1","Document : 'Signe de Mallet Guy : douleur spontanée localisée en sous-costal gauche (HCG en dehors du grand droit)'.","Easy"
"Quel est le seuil diagnostique biologique de l'amylasémie ?","> 2N","> 3N","> 4N","> 5N","2","Document : 'Amylasémie : > 3N'.","Easy"
"Quelle enzyme pancréatique a une augmentation tardive mais plus persistante que l'amylasémie ?","Lipasémie","Trypsinogène","Amylasurie","Cathepsine","3","Document : 'Amylasurie : augmentation tardive mais persistante'.","Medium"
"Quel est le seuil diagnostique de la lipasémie ?","> 2N","> 3N","> 4N","> 5N","2","Document : 'Diagnostic posé si Lipasémie > 3N'.","Easy"
"Quel examen d'imagerie a une valeur diagnostique et pronostique importante dans la pancréatite aiguë ?","ASP","Échographie abdominale","Tomodensitométrie abdominale avec injection","IRM","3","Document : 'Tomodensitométrie abdominale : +++ Valeur diagnostique et pronostique importante'.","Easy"
"Quel est le score de gravité à l'imagerie de la pancréatite aiguë ?","Score de Ranson","Score de Balthazar","Score de Child-Pugh","Score de Glasgow","2","Document : 'Score de BALTHAZAR : score de gravité à l’imagerie'.","Easy"
"Selon le score de Balthazar, le grade A correspond à :","Parenchyme augmenté de volume","Parenchyme normal (point 0)","Infiltration de la graisse","Coulée de nécrose","2","Document : 'Grade A : Parenchyme pancréatique normal (point 0)'.","Easy"
"Selon le score de Balthazar, le grade C correspond à :","Parenchyme augmenté de volume","Infiltration de la graisse péri-pancréatique (2 points)","Coulée de nécrose","Plusieurs coulées avec bulles","2","Document : 'Grade C : infiltration de la graisse péri-pancréatique (2 points)'.","Medium"
"Quel est l'index de Balthazar correspondant à une mortalité de 17% ?","Index < 3","Index 4-6","Index 7-10","Index > 10","3","Document : 'Index 7-10 : mortalité à 17%'.","Medium"
"Quel est le pourcentage de décès imputable à l'infection de la nécrose pancréatique ?","50%","60%","70%","80%","4","Document : 'Infection de la nécrose pancréatique : responsable de 80% de décès'.","Medium"
"Quel est le score de Ranson évalué à l'admission ? (un critère)","Calcémie < 2 mmol/l","Glycémie > 10 mmol/l","Leucocytes > 16 000","PaO2 < 60 mmHg","3","Document : 'Admission : Leucocytes à prédominance PNN> 16.000' (parmi d'autres).","Medium"
"Quel est le seuil de CRP évoquant une pancréatite grave ou une complication locale ?","> 50","> 100","> 150","> 200","3","Document : 'CRP > 150 : PA grave, complication locale type surinfection et coulée de nécrose'.","Medium"
"Quelle est la principale complication locale infectieuse de la pancréatite aiguë ?","Pseudo-kyste","Abcès pancréatique","Nécrose stérile","Ascite pancréatique","2","Document : 'Abcès pancréatique : possible pseudo-kyste surinfecté ou nécrose infecté'.","Medium"
"Quel examen permet de confirmer l'infection d'une nécrose pancréatique ?","Ponction sous TDM (microbiologie)","Prélèvement sanguin","Échographie","IRM","1","Document : 'Certitude : ponction sous-TDM : microbiologie'.","Medium"
"Quel est le signe radiologique à l'ASP évocateur de pancréatite aiguë ?","Niveau hydro-aérique","Distension gazeuse duodénale : anse sentinelle","Pneumopéritoine","Calcifications pancréatiques","2","Document : 'Distension gazeuse au niveau duodénale : anse sentinelle'.","Medium"
"Quel est le signe échographique d'une nécrose pancréatique ?","Pancréas hyperéchogène","Coulées de nécrose","Pancréas atrophique","Dilatation du canal de Wirsung","2","Document : 'Nécrose (coulées de nécrose)'.","Medium"
"Quel est le pourcentage de nécrose pancréatique correspondant à 4 points dans le score de Balthazar ?","< 30%","30-50%","> 50%","Absence de nécrose","2","Document : 'Nécrose 30 - 50 % (4 points)'.","Medium"
"Quelle est la principale étiologie non alcoolique et non biliaire de pancréatite aiguë ?","Hypertriglycéridémie","Médicaments","Infections (ascaris)","Traumatismes","1","Document : 'Métabolique : Hypertriglycéridémie > 10g/l' (parmi d'autres).","Medium"
"Un patient de 35 ans, alcoolique, présente une douleur épigastrique transfixiante, des vomissements, une position en chien de fusil. Quelle est la triade de Dieulafoy ?","Homme de la trentaine, bon vivant, gros mangeur, après repas copieux ou alcool","Femme de 40 ans, douleur, fièvre","Adulte, ictère, fièvre","Enfant, vomissements, diarrhée","1","Document.","Easy"
"Un patient a une amylasémie à 5N, une lipasémie à 6N. Quel diagnostic ?","Pancréatite aiguë","Ulcère perforé","Infarctus du myocarde","Cholécystite","1","Document : 'Augmentation de l’amylasémie et lipasémie 3N' pour le diagnostic.","Easy"
"Un patient a une douleur abdominale, une contracture généralisée, une disparition de la matité pré-hépatique. Quel diagnostic différentiel chirurgical ?","Pancréatite aiguë","Perforation d'organe creux","Occlusion intestinale","Appendicite","2","Document : 'Perforation d’organe creux avec péritonite aiguë (contracture généralisée)'.","Medium"
"Quel est le pronostic d'une pancréatite aiguë avec un index de Balthazar à 5 ?","Mortalité 3%","Mortalité 6%","Mortalité 17%","Mortalité 30%","2","Document : 'Index 4-6 : mortalité à 6 %'.","Medium"
"Quelle complication locale apparaît dans les mois suivant une pancréatite aiguë ?","Abcès pancréatique","Pseudo-kyste pancréatique","Nécrose pancréatique","Fibrose pancréatique","2","Document : 'Pseudo kyste pancréatique : N’apparaissent pas d’emblée au cours de la PA, complication à court terme, apparaît dans les mois'.","Medium"
"Quel est le mécanisme de formation du pseudo-kyste ?","Collection liquidienne organisée en intra ou extra-pancréatique avec paroi fibreuse, sans épithélium","Nécrose infectée","Dilatation du canal pancréatique","Hématome rétropéritonéal","1","Document : 'Collection liquidienne organisée en intra ou extra-pancréatique... Paroi : fibreuse, granuleuse, pas d’épithélium propre'.","Medium"
"Quel est le mécanisme de l'abcès pancréatique ?","Pseudo-kyste surinfecté ou nécrose infecté","Nécrose stérile","Hémorragie intrapancréatique","Obstruction du canal de Wirsung","1","Document : 'Possible pseudo-kyste surinfecté ou nécrose infecté -> abcès'.","Medium"
