"front","back","cognitive_level"
"Quel est l'agent responsable de la rougeole ?","Un paramyxovirus.","Recall"
"Quelle est la durée d'incubation de la rougeole ?","10 à 12 jours.","Recall"
"Quelle est la période de contagiosité de la rougeole ?","5 jours avant le début de l'éruption et 5 jours après.","Recall"
"Quels sont les 3 éléments de l'anamnèse évoquant une rougeole ?","Absence d'antécédent de rougeole, absence de vaccination antirougeoleuse, contage dans l'entourage dans les 2 dernières semaines.","Recall"
"Quels sont les signes de la phase d'invasion (catarrhale ou pré-éruptive) de la rougeole ?","Fièvre élevée, catarrhe oculo-respiratoire (larmoiement, conjonctivite, rhinorrhée, toux), énanthème pathognomonique : signe de Köplik.","Recall"
"Qu'est-ce que le signe de Köplik ?","Tâches punctiformes blanches bleutées sur une muqueuse jugale inflammatoire. C'est un énanthème pathognomonique de la rougeole.","Recall"
"Quelle est la durée de la phase d'invasion de la rougeole ?","2 à 4 jours.","Recall"
"Quand débute la phase éruptive de la rougeole ?","Environ 2 semaines après le contage.","Recall"
"Quel est l'aspect de l'éruption de la rougeole ?","Exanthème maculopapuleux, non prurigineux.","Recall"
"Quelle est la topographie de début de l'éruption rougeoleuse ?","Derrière les oreilles, puis extension descendante (face, puis descend) en une seule poussée en 24-48h.","Recall"
"Quelle est la durée de régression de l'éruption rougeoleuse ?","5 à 6 jours.","Recall"
"Citez 3 complications infectieuses de la rougeole.","Bronchite, pneumopathie (diffusion virale), surinfections pulmonaires bactériennes, otite moyenne aiguë purulente.","Recall"
"Quelles sont les 2 complications neurologiques de la rougeole ?","Encéphalite aiguë morbilleuse précoce post-éruptive (1/1000) : convulsion, état comateux ; Panencéphalite sclérosante subaiguë de survenue retardée (5 à 10 ans après la rougeole).","Recall"
"Quelle est la fréquence de l'encéphalite aiguë morbilleuse ?","1/1000.","Recall"
"Quel est le délai de survenue de la panencéphalite sclérosante subaiguë après la rougeole ?","5 à 10 ans.","Recall"
"Quels examens paracliniques sont réalisés pour la rougeole ?","Rougeole typique : diagnostic clinique. Diagnostic direct par PCR. Confirmation biologique pour déclaration obligatoire (non systématique).","Recall"
"Quel est le traitement de la rougeole ?","Paracétamol (fièvre), désobstruction rhino-pharyngée (DRP), vitamine A (évite les complications), apport hydrique suffisant, antibiothérapie si surinfections bactériennes, hospitalisation si signes de gravité.","Recall"
"Quelle est la posologie de la vitamine A dans la rougeole ?","<12 mois : 100.000 UI ; >12 mois : 200.000 UI.","Recall"
"Quel est le schéma vaccinal contre la rougeole ?","2 doses de VAR (vaccin anti-rougeoleux) avant 2 ans (immunité à vie).","Recall"
"Quelle est la durée d'éviction scolaire pour un cas confirmé de rougeole ?","5 jours après le début de l'éruption.","Recall"
"Quelles sont les mesures de prévention autour d'un cas de rougeole ?","Déclaration obligatoire, recherche systématique d'autres cas, vérification du statut vaccinal des sujets contacts, éviction scolaire.","Recall"
"Pourquoi la rougeole est-elle particulièrement contagieuse pendant la phase d'invasion ?","Car le patient est déjà contagieux pendant cette phase (5 jours avant l'éruption).","Understanding"
"Comparez l'encéphalite aiguë morbilleuse et la panencéphalite sclérosante subaiguë.","Encéphalite aiguë : précoce (post-éruptive), fréquence 1/1000, manifestations convulsions/coma. Panencéphalite : retardée (5-10 ans après), rare, progressive, mortelle.","Analysis"
"Quel est le signe pathognomonique de la rougeole ?","Le signe de Köplik (tâches punctiformes blanches bleutées sur la muqueuse jugale inflammatoire).","Recall"
