"term","definition","contextual_explanation"
"diarrhée chronique","Émission de selles molles à liquides, trop fréquente (≥3x/jour ou >10g/kg/jour chez le nourrisson ou >200g/jour chez le grand enfant), depuis plus de 14 jours.","Relativement rare en pédiatrie, risque élevé de retentissement nutritionnel et de malabsorption."
"fausse diarrhée du constipé","Fermentation des selles restées trop longtemps dans le côlon, qui deviennent liquides.","À éliminer avant de conclure à une diarrhée chronique."
"colopathie fonctionnelle","Désordre du fonctionnement intestinal sans lésion organique.","Première cause de diarrhée chronique sans retentissement nutritionnel chez le nourrisson (âge >6 mois, souvent 2ème année). Selles molles/liquides hétérogènes avec glaires et aliments non digérés, douleurs abdominales, parfait état général, croissance normale."
"entéropathie post-infectieuse","L’intestin n’a pas retrouvé sa fonction normale au bout de 14 jours après un épisode infectieux ayant abîmé la muqueuse intestinale.","Se manifeste par une intolérance au lactose (acquise) ou une allergie aux protéines de lait de vache (PLV)."
"entérocolite ulcéro-nécrosante (ECUN)","Maladie intestinale grave du nouveau-né associant lésions infectieuses, altération de l’apport sanguin et ralentissement de la motricité intestinale.","Cause la plus grave de diarrhée chronique débutant en période néonatale (0-28 jours). Peut conduire à une perforation intestinale nécessitant une résection chirurgicale."
"syndrome du grêle courte","Conséquence d’une résection intestinale étendue.","Complication post-chirurgicale digestive pouvant causer une diarrhée chronique."
"maldigestion","Déficit de la digestion des aliments.","Se manifeste par des selles volumineuses, pâteuses ou molles, décolorées, nauséabondes, aspect graisseux (stéatorrhée massive : 20-30 g/j de graisse). Élastase fécale effondrée. Causes : déficit en lipase, colipase, sels biliaires, mucoviscidose."
"stéatorrhée","Présence de graisses en excès dans les selles.","Massive (20-30 g/j) dans la maldigestion ; modérée (5-10 g/j) dans la malabsorption intestinale."
"élastase fécale","Enzyme pancréatique dosée dans les selles, reflet de la fonction exocrine du pancréas.","Effondrée dans les maldigestions (insuffisance pancréatique)."
"mucoviscidose","Maladie génétique atteignant les glandes exocrines, notamment le pancréas et les poumons.","Diagnostiquée par le test de la sueur positif. Cause de maldigestion par insuffisance pancréatique."
"malabsorption intestinale","Défaut d’absorption des nutriments par l’intestin.","Selles molles ou semi-liquides, aspect en bouse de vache. Stéatorrhée modérée (5-10 g/j), créatorrhée modérée (1-2 g/j). Causes : maladie cœliaque, entéropathie infectieuse, maladie de Crohn, entéropathie exsudative, gastroentérite à éosinophiles, entéropathie auto-immune."
"maladie cœliaque","Intolérance permanente au gluten (protéine du blé, seigle, orge).","Marqueur : anticorps anti-transglutaminase positifs. Rare à Madagascar selon le document."
"Ac anti-transglutaminase","Anticorps dirigés contre la transglutaminase tissulaire.","Marqueur sérologique de la maladie cœliaque."
"créatorrhée","Présence de fibres musculaires non digérées dans les selles.","Modérée (1-2 g/j) dans la malabsorption intestinale ; 1-3 g/j dans les colites inflammatoires."
"diarrhée sécrétoire","Diarrhée due à une sécrétion intestinale excessive d’eau et d’électrolytes.","Selles très abondantes et liquides, persistent au repos digestif. Concentration fécale élevée en électrolytes (Na, Cl, K). Causes : diarrhée chlorée/sodée congénitale, tumeurs endocriniennes, mastocytose."
"diarrhée chlorée congénitale","Maladie génétique rare du transport du chlore dans l’intestin.","Forme de diarrhée sécrétoire débutant en période néonatale."
"mastocytose","Prolifération anormale de mastocytes.","Cause rare de diarrhée sécrétoire."
"colites inflammatoires","Maladies inflammatoires chroniques de l’intestin.","Selles peu volumineuses mais fréquentes, +/- afécales, présence de sang et glaires, douleurs abdominales (coliques pré-défécatoires). Calprotectine fécale élevée. La plus fréquente chez le grand enfant : maladie de Crohn."
"calprotectine","Protéine fécale marqueur de l’inflammation intestinale.","Élevée dans les colites inflammatoires."
"maladie de Crohn","Maladie inflammatoire chronique de l’intestin touchant tout le tube digestif.","Colite inflammatoire la plus fréquente chez le grand enfant."
"test de la sueur","Mesure de la concentration en chlorures dans la sueur.","Positif dans la mucoviscidose."
"prick test","Test cutané d’allergie.","Utilisé dans le bilan allergologique des diarrhées chroniques."
"RAST","Recherche d’anticorps IgE spécifiques dans le sang.","Test allergologique."
"entéropathie exsudative","Perte de protéines plasmatiques dans la lumière intestinale.","Cause de malabsorption intestinale."
"gastroentérite à éosinophiles","Inflammation de la muqueuse digestive par infiltration d’éosinophiles.","Cause rare de malabsorption."
"entéropathie auto-immune","Maladie auto-immune touchant l’intestin.","Cause rare de malabsorption chez le nourrisson."
"atrophie microvillositaire","Maladie congénitale rare des entérocytes avec absence ou atrophie des microvillosités.","Cause de diarrhée chronique sévère débutant en période néonatale."
"dysplasie intestinale","Malformation congénitale de l’intestin.","Cause de diarrhée chronique néonatale."
"pullulation intestinale","Prolifération bactérienne excessive dans l’intestin grêle.","Complication d’une sténose anastomotique post-chirurgicale."
