"question","answer","explanation","difficulty"
"Quelle est la définition de la rectocolite ulcéro-hémorragique ?","Maladie inflammatoire chronique intestinale (auto-inflammation) atteignant constamment le rectum, pouvant s'étendre au côlon gauche ou à tout le côlon, sans atteinte de l'iléon, évoluant par poussées.","Document.","Easy"
"Quelles sont les deux particularités constantes de la RCH concernant l'atteinte anatomique ?","1. Atteinte constante du rectum, 2. Pas d'atteinte de l'iléon (grêle).","Document.","Easy"
"Quels sont les trois facteurs déclenchants de poussée de RCH cités ?","Infection, dépression, grossesse.","Document.","Medium"
"Citez quatre manifestations extra-digestives de la RCH.","Érythème noueux (cutané), spondylarthrite ankylosante (articulaire), thromboses (vasculaire), uvéite (oculaire), cholangite sclérosante primitive (hépato-biliaire).","Document.","Medium"
"Quels sont les trois signes généraux de la RCH ?","Amaigrissement, anorexie, asthénie.","Document.","Easy"
"Quel est l'aspect endoscopique typique de la muqueuse rectale dans la RCH ?","Muqueuse congestive, rouge purpurique, saignant au contact (\"pleure le sang\"), tapissée d'exsudats, aspect granité, ulcérations superficielles.","Document.","Medium"
"Quelle est la caractéristique des lésions de la RCH en termes de continuité et de limite ?","Lésions continues (pas d'intervalle de muqueuse saine), débutant à la jonction ano-rectale, avec limite supérieure nette.","Document.","Medium"
"Quelles sont les quatre topographies de la RCH et leurs fréquences ?","Rectite (40%), rectosigmoïdite (30%), atteinte de l'angle gauche (15%), pancolite (15%).","Document.","Medium"
"Quels sont les deux scores de gravité de la RCH cités ?","Score de Mayo et score de Rachmilewitz (et l'indice de Lichtiger, modification de Truelove et Witts).","Document.","Medium"
"Quels sont les cinq critères de Truelove et Witts pour une forme sévère de RCH ?","Nombre de selles > 6/j, température > 37,5°C, fréquence cardiaque > 90, VS > 30, hémoglobine < 10,5 g/L.","Document.","Medium"
"Quels sont les huit paramètres de l'indice de Lichtiger ?","1. Nombre de selles/j, 2. Fréquence des selles nocturnes, 3. Saignement rectal, 4. Incontinence fécale, 5. Douleurs abdominales, 6. État général, 7. Douleur provoquée à la palpation, 8. Nécessité d'anti-diarrhéique.","Document.","Difficult"
"Quelle complication aiguë redoutable de la RCH est définie par une dilatation colique ?","Le mégacôlon toxique (colectasie aiguë).","Document.","Easy"
"Quel examen radiologique confirme un mégacôlon toxique et quel est le seuil ?","ASP (abdomen sans préparation) montrant une dilatation du côlon transverse > 6 cm.","Document.","Medium"
"Quel est le risque de cancer colorectal dans la RCH et après quel délai ?","Risque augmenté après 10 ans d'évolution, surtout sur les zones dystrophiques.","Document.","Easy"
"Quelle est la différence macroscopique entre RCH et maladie de Crohn concernant l'iléon, les fistules et les sténoses ?","RCH : iléon normal, pas de fistule, pas de sténose. Maladie de Crohn : iléon souvent atteint, fistules, sténoses.","Document.","Medium"
"Quelle est la lésion histologique évocatrice de RCH ?","Plasmocytose basale (infiltrat lymphoplasmocytaire de la partie inférieure du chorion).","Document.","Medium"
"Quels sont les deux facteurs protecteurs de la RCH cités ?","Tabac et appendicectomie.","Document.","Easy"
"Quel est le gradient Nord-Sud de la RCH ?","Plus fréquente en Europe du Nord et dans les pays scandinaves, moins fréquente en Afrique et en Europe du Sud.","Document.","Medium"
"Quel est le rôle de la flore digestive dans la physiopathologie de la RCH ?","Rôle primordial ; identification de la bactérie responsable en cours.","Document.","Medium"
"Quelles cytokines sont hyperproduites dans la RCH ?","IL5 et IL10.","Document.","Medium"
"Un patient a une rectorragie, un syndrome dysentérique, une rectoscopie montrant une muqueuse congestive saignant au contact, avec lésions continues. Quel diagnostic ?","Rectocolite ulcéro-hémorragique (RCH).","Document.","Easy"
"Un patient avec RCH depuis 15 ans a une coloscopie montrant une dysplasie de haut grade. Quelle attitude ?","Surveillance rapprochée ou colectomie préventive (risque de cancer colorectal).","Document.","Difficult"
"Un patient avec RCH a une fièvre, 10 selles/j, FC 110, Hb 8 g/L, et un abdomen distendu avec dilatation colique à 8 cm sur l'ASP. Quel diagnostic ?","Mégacôlon toxique (colite aiguë grave).","Document.","Medium"
"Quel est le traitement d'une poussée sévère de RCH selon le document ?","Hospitalisation (document ne détaille pas le traitement).","Difficult"
"Quelle est la particularité de la RCH localisée au rectum (rectite) ?","Forme moins sévère, sans retentissement sur l'état général, rectorragie et faux besoins.","Document.","Medium"
"Quel examen endoscopique est suffisant pour le diagnostic de RCH ?","La rectoscopie (voire rectosigmoïdoscopie).","Document.","Easy"
"Pourquoi la coloscopie totale est-elle parfois nécessaire ?","Pour évaluer l'extension et éliminer une maladie de Crohn (atteinte iléale).","Document.","Medium"
"Quel est l'aspect du toucher rectal dans la RCH ?","Douloureux, doigtier ramène glaire ou sang, muqueuse granitée.","Document.","Medium"
"Quelle est la complication hépato-biliaire de la RCH ?","Cholangite sclérosante primitive (ictère).","Document.","Medium"
"Quel est le risque de perforation lors de l'endoscopie dans les formes sévères de RCH ?","Élevé (en présence d'ulcérations creusantes et de décollement muqueux).","Document.","Medium"
"Quelle est la différence de sex-ratio entre RCH et maladie de Crohn ?","RCH : 3 hommes pour 1 femme ; Crohn : prédominance féminine (non précisé).","Document.","Medium"
"Quel est le pourcentage de rectite dans la RCH ?","40%.","Document.","Easy"
"Quel est le pourcentage de rectosigmoïdite ?","30%.","Document.","Easy"
"Quel est le pourcentage de pancolite ?","15%.","Document.","Easy"
"Quelle est la prévalence de la RCH en France ?","5-6 cas pour 100 000 habitants.","Document.","Easy"
"La RCH est-elle rare à Madagascar ?","Oui, rare.","Document.","Easy"
"Quel est le rôle du tabac dans la RCH ?","Protecteur.","Document.","Easy"
"Quel est le rôle de l'appendicectomie ?","Protecteur.","Document.","Easy"
"Quelle est la principale complication tardive de la RCH ?","Cancer colorectal.","Document.","Easy"
"Quel est le seuil de l'indice de Lichtiger pour la colite aiguë grave ?","10 points sur 21.","Document.","Medium"
"Quelle est la particularité de l'atteinte de la muqueuse dans la RCH à l'endoscopie concernant le saignement ?","Elle saigne au contact (\"pleure le sang\"), très fragile.","Document.","Medium"
"Quelle est la signification de l'absence d'intervalle de muqueuse saine ?","Lésions continues, typique de RCH (contrairement à Crohn).","Document.","Medium"
"Quel est le diagnostic différentiel principal de la RCH ?","Maladie de Crohn.","Document.","Easy"
"Quel examen histologique permet de différencier RCH et Crohn ?","La recherche de granulome épithélioïde (présent dans Crohn, absent dans RCH).","Document.","Medium"
"Quelle est l'évolution de la RCH non compliquée ?","Bénigne/modérée, traitement ambulatoire possible.","Document.","Easy"
"Quels sont les signes de gravité clinique immédiate de la RCH ?","Fièvre, tachycardie, anémie, selles >6/j, altération état général.","Document.","Medium"
"Quelle est la prise en charge d'une poussée modérée de RCH ?","Non détaillée, mais peut être ambulatoire.","Difficult"
"Quel est l'intérêt du score de Mayo ?","Évaluation clinique et endoscopique sur 7 jours, suivi de l'efficacité du traitement.","Document.","Medium"
