"question","answer","explanation","difficulty"
"Quels sont les trois types de kératoplastie décrits dans le document ?","1) Kératoplastie transfixiante (KT). 2) Kératoplastie lamellaire antérieure profonde (KLAP). 3) Kératoplastie endothéliale (KE).","Le document décrit ces trois techniques.","Easy"
"Citez quatre indications de la greffe de cornée mentionnées dans le document.","1) Traumatisme perforant de la cornée. 2) Brûlures chimiques. 3) Dégénérescences cornéennes (kératocône). 4) Kératites (herpétique, bactérienne, amibienne). 5) Dystrophie bulleuse.","Le document liste ces indications.","Easy"
"Qu’est-ce que le kératocône et comment évolue-t-il ?","C’est une affection cornéenne débutant chez l’enfant ou l’adulte jeune, caractérisée par un amincissement progressif de la cornée, un astigmatisme irrégulier, puis secondairement des opacités cornéennes pouvant justifier une greffe.","Le document le décrit ainsi.","Easy"
"Décrivez la technique de la kératoplastie transfixiante (KT).","On prélève par trépanation circulaire une rondelle de cornée pathologique du receveur (diamètre 7-8 mm). On la remplace par une rondelle de diamètre identique de cornée saine provenant d’un donneur. On suture à la cornée du receveur par un surjet ou des points séparés de fil non résorbable (nylon 10.0) sous microscope opératoire.","Le document détaille la technique.","Easy"
"Quelle est la particularité de la kératite herpétique en tant qu’indication de greffe de cornée ?","Elle représente 5% des greffes de cornée au stade de séquelles. Elle est toujours grave car récidivante, nécessitant un traitement antiviral de couverture au long terme chez le receveur.","Le document le précise.","Easy"
"Expliquez la différence entre la KLAP et la KE en termes de structures greffées.","KLAP : on greffe la partie antérieure de la cornée (épithélium, membrane de Bowman et stroma) en laissant en place le Descemet et l’endothélium du receveur. KE : on greffe uniquement la membrane de Descemet et l’endothélium, en laissant le stroma et l’épithélium du receveur.","Le document décrit les deux techniques.","Medium"
"Quels sont les signes cliniques du rejet immunitaire d’une greffe de cornée ?","ORD (œil rouge douloureux), BAV (baisse d’acuité visuelle), PRD (précipité rétro-descemetique), et opacification progressive par défaillance endothéliale.","Le document liste ces signes.","Medium"
"Citez les cinq facteurs de risque de rejet immunitaire d’une greffe de cornée selon le document.","1) Vascularisation cornéenne. 2) Grand diamètre du greffon. 3) Greffes itératives. 4) Jeune âge (< 12 ans). 5) Récidive infectieuse (herpès).","Le document énumère ces facteurs.","Medium"
"Pourquoi les bases sont-elles plus graves que les acides dans les brûlures chimiques de la cornée ?","Le document ne donne pas l’explication physicochimique, mais mentionne que les bases (++) sont plus pourvoyeuses d’opacification cornéenne que les acides.","Le document indique « Brûlures chimiques (base +++) ».","Medium"
"Qu’est-ce que la « cornea guttata » et pourquoi conduit-elle à une greffe ?","C’est une dystrophie endothéliale héréditaire où l’endothélium prend la forme de métal ou fer forgé. Elle est responsable avec l’âge d’une perte progressive des cellules endothéliales, entraînant un œdème cornéen (dystrophie bulleuse) justifiant une greffe endothéliale.","Le document le décrit.","Medium"
"Quelles sont les complications précoces et tardives de la greffe de cornée mentionnées dans le document ?","Précoces : retard d’épithélialisation, défaillance précoce de l’endothélium (œdème cornéen précoce). Tardives : récidive de la maladie causale, hypertonie oculaire, astigmatisme important, rejet immunitaire.","Le document liste ces complications.","Medium"
"Pourquoi la cornée est-elle un site privilégié pour la greffe et quel est le taux de succès ?","La cornée est avasculaire, ce qui lui confère un privilège immunitaire relatif, expliquant le taux de succès élevé de 60 à 90%, supérieur à celui des autres greffes d’organes.","Document : avasculaire, taux 60-90%.","Medium"
"Quelle est l’indication de la chirurgie combinée (cataracte, glaucome) dans le cadre de la greffe de cornée ?","Lorsqu’un patient nécessite à la fois une greffe de cornée et une chirurgie de cataracte ou de glaucome, les deux interventions peuvent être réalisées lors du même temps opératoire pour éviter des interventions itératives délétères pour l’endothélium.","Le document mentionne « Chirurgie combinée : cataracte, glaucome ».","Medium"
"Pourquoi la corticothérapie locale doit-elle être prolongée pendant 1 an après greffe de cornée ?","Pour prévenir le rejet immunitaire, car le risque de rejet est maximal pendant la première année post-greffe, période pendant laquelle la cicatrisation et la revascularisation éventuelle peuvent favoriser l’immunisation.","Basé sur la durée de traitement mentionnée.","Difficult"
"Un patient de 25 ans porteur d’un kératocône sévère bilatéral est candidat à une greffe. Quelle technique est la plus adaptée et pourquoi ?","La kératoplastie lamellaire antérieure profonde (KLAP) est adaptée car elle conserve l’endothélium du receveur (sain dans le kératocône), réduisant le risque de rejet endothélial et préservant une réserve endothéliale.","Document : KLAP indiquée dans kératocône.","Difficult"
"Un patient greffé pour dystrophie bulleuse a un œdème cornéen précoce à J5 post-greffe. Quelle complication suspectez-vous et quel en est le mécanisme ?","Défaillance précoce de l’endothélium du greffon. L’endothélium greffé peut ne pas fonctionner immédiatement (mauvaise conservation, lésions per-opératoires, ou incompatibilité), entraînant un œdème cornéen précoce.","Document : défaillance précoce de l’endothélium.","Difficult"
"Pourquoi la kératite herpétique est-elle une indication grave de greffe avec un pronostic réservé ?","Parce qu’elle est récidivante : le virus herpes peut réactiver sur le greffon, entraînant une nouvelle opacification. De plus, l’herpès est un facteur de risque de rejet immunitaire. Un traitement antiviral de couverture au long terme est nécessaire.","Document : récidivante, traitement antiviral long terme.","Difficult"
