"question","answer","explanation","difficulty"
"Quelle est la définition du purpura fulminans ?","Forme extrêmement sévère de septicémie provoquant coagulation sanguine et nécrose tissulaire, avec au moins un élément nécrotique ≥3mm ou ecchymotique large, associé à une CIVD ou un choc septique.","Document: 'Purpura fulminans = syndrome infectieux, forme extrêmement sévère de la septicémie qui provoque la coagulation du sang et nécrose tissulaire ; Au moins un élément nécrotique supérieur ou égale à 3mm ou ecchymotique large ; CIVD ou choc septique'","Easy"
"Citez les trois sérotypes de méningocoque les plus fréquents dans le purpura fulminans avec leurs pourcentages.","B (55%), C (35%), W135 (6%).","Document: 'sérotype B (55%), C (35%), W135 (6%)'","Easy"
"Quels sont les trois examens biologiques de première intention ?","NFS, CRP, Procalcitonine (bilan inflammatoire et bactériologique).","Document: 'NFS, CRP, Procalcitonine'","Easy"
"Quelle est la prise en charge préhospitalière immédiate d'un enfant suspect de purpura fulminans ?","1. Voie veineuse périphérique ou intra-osseuse ; 2. Remplissage par SSI ou RL 20 ml/kg en 20 minutes ; 3. Ceftriaxone 50 mg/kg IV ou IM ; 4. Transfert en réanimation pédiatrique.","Document: 'CAT immédiate'","Easy"
"Quels sont les signes de gravité surajoutée dans le purpura fulminans ?","Âge < 12 mois, fièvre > 39°C, AEG (teint gris, pâleur, irritabilité, abattement), tachycardie/tachypnée +2DS pour l'âge, choc septique.","Document: 'Signes de gravité surajoutée'","Easy"
"Quelle est la conduite à tenir pour la chimioprophylaxie autour d'un cas de purpura fulminans ?","Rifampicine 10 mg/kg x2/j pendant 2 jours chez l'enfant (5 mg/kg x2/j nouveau-né, 600 mg x2/j adulte). En cas de contre-indication : spiramycine 750.000 UI/kg x2/j pendant 5 jours chez l'enfant, ou ceftriaxone/ciprofloxacine. Vaccination anti-méningococcique avant J10.","Document: 'Traitement préventif'","Medium"
"Pourquoi l'hypotension artérielle dans le purpura fulminans est-elle un signe de traitement très en retard ?","Car l'organisme peut initialement réagir par une vasoconstriction et une réponse corticosurrénale. L'apparition d'une hypotension témoigne d'une défaillance hémodynamique avancée.","Document: 'Dès hypotension : =traitement très en retard. L'organisme a pu réagir par la corticosurrénale'","Medium"
"Quelles sont les contre-indications de la ponction lombaire dans le purpura fulminans ?","État de choc et CIVD (coagulation intravasculaire disséminée).","Document: 'ponction lombaire: contre-indiquée en cas d'état de choc, CIVD'","Medium"
"Quels sont les diagnostics différentiels du purpura fulminans en période néonatale ?","Déficit congénital homozygote en protéine C et S (1er mois de vie), purpura compliqué d'une thrombose vasculaire par déficit acquis en protéine S.","Document: 'Purpura lié à un déficit congénital homozygote en protéine C et S (période néonatale ou 1er mois de vie) ; Purpura compliqué d'une thrombose vasculaire par déficit acquis en protéine S'","Medium"
"Quels sont les trois facteurs de risque d'infection invasive à méningocoque cités ?","Asplénie (anatomique ou fonctionnelle), déficit en properdine/complément/protéine C, traitement par Eculizimab, facteurs génétiques.","Document: 'Facteurs de risque de PF ou Infection Invasive à Méningocoque'","Medium"
