question, answer, explanation, difficulty
"Expliquez le mécanisme de l'hyperoestrogénie relative pendant la péri-ménopause.", "Diminution de la progestérone par insuffisance lutéale, sans baisse équivalente des œstrogènes, d'où déséquilibre en faveur des œstrogènes", "Le document : 'insuffisance lutéale -> hyperoestrogénie relative'", "Difficult"
"Pourquoi les progestatifs sont-ils prescrits du 15ème au 25ème jour du cycle dans la péri-ménopause ?", "Pour mimer un cycle normal et atrophier l'endomètre hyperplasique par effet anti-oestrogénique", "Le document : 'activité anti-oestrogénique -> action atrophiante sur l'endomètre'", "Medium"
"Expliquez pourquoi la FSH augmente à la ménopause.", "Par disparition du rétrocontrôle négatif des œstrogènes sur l'hypophyse, l'hypophyse sécrète massivement FSH", "Le document : 'Elévation des gonadotrophines, surtout FSH'", "Medium"
"Pourquoi l'ostéoporose post-ménopausique survient-elle plusieurs années après la ménopause ?", "Car la perte osseuse est progressive et les fractures n'apparaissent qu'après une diminution significative de la densité minérale osseuse", "Le document : 'Se manifeste 7 à 10 ans après l'arrêt des règles'", "Difficult"
"Quel est le mécanisme de l'atrophie vaginale post-ménopausique ?", "Carence oestrogénique entraînant une diminution de la vascularisation, de l'épaisseur de l'épithélium, et de la sécrétion de mucus", "Le document : 'muqueuse sèche, fragile, saignant facilement au contact'", "Medium"
"Pourquoi la flore vaginale diminue-t-elle à la ménopause ?", "Faute d'œstrogènes, le glycogène vaginal diminue, réduisant la production d'acide lactique par les lactobacilles", "Le document : 'flore de protection vaginale diminue -> sensibilité accrue aux infections'", "Difficult"
"Quels sont les trois troubles urinaires liés à la ménopause ?", "Dysurie, incontinence urinaire, impériosité mictionnelle", "Le document les énumère", "Easy"
"Pourquoi la pilosité de type androgénique peut-elle augmenter à la ménopause ?", "La carence oestrogénique relative majore l'effet des androgènes résiduels sur les follicules pileux", "Le document : 'Pilosité type androgénique (lèvres, joues)'", "Difficult"
"Quelle est la différence entre œstradiol et œstrone à la ménopause ?", "L'œstradiol (E2) s'effondre, l'œstrone (E1) persiste par aromatisation périphérique des androgènes", "Le document : 'Effondrement de la sécrétion d'Estradiol (E2), Sécrétion d'œstrone (E1) par aromatisation périphérique'", "Medium"
"Pourquoi le test aux progestatifs est-il négatif à la ménopause ?", "Car l'endomètre n'est plus imprégné par les œstrogènes, ne peut pas proliférer ni saigner sous progestatif", "Le document : 'test aux progestatifs négatif'", "Medium"
"Quels sont les deux critères paracliniques de la ménopause ?", "Oestradiolémie  50pg/ml", "Le document : 'Oestradiolémie  50pg/ml'", "Easy"
"Pourquoi la prise de poids est-elle fréquente à la ménopause ?", "Modifications métaboliques, baisse de la dépense énergétique, aromatisation périphérique des androgènes", "Le document : 'augmentation de l'IMC (prise de poids)'", "Medium"
"Quel est le risque de l'atrophie du col utérin sur la pratique du frottis cervico-utérin (FCU) ?", "La jonction pavimento-cylindrique recule dans le canal, rendant le frottis difficile", "Le document : 'rendant difficle la pratique de FCU'", "Medium"
"Expliquez le mécanisme des bouffées de chaleur.", "Dysfonctionnement du centre thermorégulateur hypothalamique par carence oestrogénique, entraînant des vasodilatations brutales", "Le document : 'traduction initiale de la carence oestrogénique'", "Difficult"
"Pourquoi les douleurs articulaires apparaissent-elles à la ménopause ?", "L'œstrogène a un effet anti-inflammatoire sur le cartilage ; sa carence favorise l'arthralgie", "Le document : 'Douleurs articulaires et ligamentaires'", "Difficult"
"Quelle est la différence entre ménorragie et métrorragie dans la péri-ménopause ?", "Ménorragie = règles abondantes ; métrorragie = saignement en dehors des règles", "Le document : 'Métrorragie (saignement d'origine utérine en dehors des menstruations) et/ou ménorragie (règles abondantes)'", "Medium"
"Pourquoi l'hyperoestrogénie relative de la péri-ménopause expose-t-elle à l'hyperplasie endométriale ?", "Les œstrogènes stimulent la prolifération endométriale sans opposition progestative suffisante", "Le document : 'hyperplasie endométriale, conséquence de l'hyperoestrogénie relative'", "Medium"
"Quel est l'avantage du DIU au lévonorgestrel (MIRENA) dans la péri-ménopause ?", "Libération locale de progestatif, atrophie endométriale, diminution des saignements", "Le document : 'traitement des ménorragies fonctionnelles de la péri-ménopause'", "Medium"
"Pourquoi la ménopause est-elle confirmée après 12 mois d'aménorrhée ?", "Car des cycles résiduels peuvent survenir jusqu'à un an après la dernière règle", "Le document : 'confirmée après un an (12 mois) d'aménorrhée'", "Easy"
"Quelle est l'action des progestatifs sur l'endomètre hyperplasique ?", "Atrophie endométriale par transformation déciduale puis nécrose", "Le document : 'action atrophiante sur l'endomètre'", "Medium"
