"question","answer","explanation","difficulty"
"L’uvéite est une inflammation de l’uvée.","True","Le document le définit ainsi.","Easy"
"L’iritis est une inflammation de l’iris.","True","Le document le précise.","Easy"
"La pan-uvéite touche uniquement la choroïde.","False","Le document : touche antérieure, intermédiaire et postérieure.","Easy"
"L’uvéite antérieure aiguë se manifeste par un œil rouge douloureux avec baisse d’acuité visuelle.","True","Le document l’indique.","Easy"
"La pupille est en mydriase dans l’uvéite antérieure aiguë.","False","Le document : pupille en myosis.","Easy"
"L’effet Tyndall de la chambre antérieure est pathognomonique de l’uvéite antérieure aiguë.","True","Le document l’affirme.","Easy"
"L’hypopion dans l’uvéite antérieure aiguë est un pus septique.","False","Le document : pus aseptique.","Easy"
"La tension oculaire normale est de 15 +/- 5 mmHg.","True","Le document l’indique.","Easy"
"L’uvéite postérieure se manifeste par un œil rouge douloureux.","False","Le document : œil blanc indolore.","Easy"
"La toxoplasmose est une cause fréquente d’uvéite postérieure.","True","Le document : Toxoplasmose +++.","Easy"
"L’interrogatoire permet de suspecter la cause dans 2/3 des cas.","True","Le document le précise.","Easy"
"Les uvéites idiopathiques représentent 50% des cas.","True","Le document l’indique.","Easy"
"Le HLA B27 est recherché devant une uvéite antérieure chez un homme jeune avec douleur lombaire.","True","Le document le mentionne.","Easy"
"Le traitement de l’uvéite antérieure aiguë associe corticothérapie locale et collyre mydriatique.","True","Le document l’indique.","Easy"
"L’atropine collyre est un collyre mydriatique.","True","Le document le cite.","Easy"
"La posologie des corticoïdes locaux dans l’uvéite antérieure aiguë est de 1 goutte/jour pendant 1 mois.","False","Le document : 1 goutte/heure pendant 2 jours puis diminution sur 10 jours.","Easy"
"Les synéchies irido-cristalliniennes donnent un aspect en trèfle à la pupille.","True","Le document le décrit.","Medium"
"L’herpès peut donner une uvéite hypertensive.","True","Le document le mentionne.","Medium"
"La maladie de Behçet est associée au HLA B27.","False","Le document : Behçet associé à HLA B5+.","Medium"
"La sarcoïdose nécessite une recherche d’enzyme de conversion de l’angiotensine.","True","Le document le cite.","Medium"
"La vascularite rétinienne se manifeste par un engrainement des vaisseaux.","True","Le document le précise.","Medium"
"La hyalite correspond à un trouble du vitré.","True","Le document le définit.","Medium"
"Une uvéite antérieure hypertensive doit faire évoquer un GAFA.","True","Le document met en garde contre ce piège.","Medium"
"Dans l’uvéite antérieure hypertensive, la pupille est en semi-mydriase.","False","Le document : la pupille reste toujours en myosis dans l’UAA.","Medium"
"Le fond d’œil est normal dans l’uvéite antérieure aiguë non compliquée.","True","Le document l’indique.","Medium"
"Les précipités rétrodescemétiques sont pathognomoniques de l’uvéite antérieure.","True","Le document les cite comme signe.","Medium"
"La corticothérapie générale peut être débutée sans bilan infectieux préalable.","False","Le document : traitement étiologique +++, surtout éliminer infection avant corticothérapie.","Medium"
"L’hypotonie oculaire (<10 mmHg) peut être observée dans les uvéites.","True","Le document mentionne hypotonie comme possible.","Medium"
"La radiographie pulmonaire est systématique devant une suspicion de tuberculose.","True","Le document l’indique.","Medium"
"La toxocarose est une cause parasitaire d’uvéite postérieure (chien).","True","Le document le mentionne.","Medium"
"Le lymphome peut se manifester par une uvéite postérieure chez le sujet âgé.","True","Le document le cite.","Medium"
"La maladie de Still (arthrite juvénile) peut donner des uvéites.","True","Le document le mentionne.","Medium"
"Le traitement des uvéites postérieures repose uniquement sur les collyres.","False","Le document : corticothérapie générale le plus souvent, voire immunosuppresseurs.","Medium"
"La kératopathie en bandelette est une complication des uvéites antérieures.","True","Le document la cite.","Medium"
"L’œdème maculaire est une complication des uvéites postérieures.","True","Le document le cite.","Medium"
"Le décollement séreux rétinien peut compliquer une uvéite postérieure.","True","Le document le mentionne.","Medium"
"Le BCG est une vaccination à rechercher dans l’interrogatoire étiologique.","True","Le document mentionne « Vaccination par le BCG ».","Medium"
"L’IDR 10 U est un examen systématique devant une uvéite.","False","Le document : IDR systématique devant suspicion de tuberculose.","Medium"
"L’examen stomatologique et le panoramique dentaire recherchent des foyers dentaires.","True","Le document le précise.","Difficult"
"Le syndrome de Fiessinger-Leroy-Reiter associe uréthrite et arthrite réactionnelle.","True","Le document le mentionne.","Difficult"
"La maladie de Lyme est transmise par une tique.","True","Le document : borréliose, tique.","Difficult"
"Dans l’uvéite postérieure, un foyer chorio-rétinien guéri laisse une cicatrice atrophique.","True","Le document le précise.","Difficult"
"Le myosis persistant dans une uvéite antérieure hypertensive permet de différencier d’un GAFA.","True","Le document : la pupille reste toujours en myosis lors de l’UAA.","Difficult"
"L’hypopion de la maladie de Behçet fait le pronostic de la maladie.","True","Le document l’indique.","Difficult"
"Les uvéites postérieures à candidose sont fréquentes.","False","Le document : « Candidose, histoplasmose possible mais rare ».","Difficult"
"Le traitement des uvéites postérieures graves peut nécessiter des immunosuppresseurs au long cours.","True","Le document : Behçet, maladie de Still.","Difficult"
"Les collyres mydriatiques sont contre-indiqués dans les uvéites antérieures.","False","Le document : collyres mydriatiques sont indiqués pour éviter les synéchies.","Difficult"
