"term","definition","contextual_explanation"
"Diarrhée chronique","Débit fécal >300g/jour, durée >4 semaines (30 jours). En pratique : 3 selles molles ou liquides par jour.","Peut cacher une maladie grave, étiologies nombreuses, démarche diagnostique méthodique."
"Grêle proximal","Duodénum et jéjunum. Lieu d’absorption du fer, folates (B9), calcium, vitamines K et A, acides aminés, acides gras, et de conjugaison des sels biliaires.","Rappel physiologique pour comprendre les carences."
"Test au D-xylose","Test dynamique : ingestion de 25g de D-xylose, dosage sanguin à 2h (normal >25g/L). Diminution : lésion du grêle proximal ou pullulation microbienne.","Utilisé dans le bilan de malabsorption."
"Test de Schilling","Test de malabsorption de vitamine B12 : injection de B12 saturante, administration per os de B12 radioactive, mesure urinaire à 24h (normal >10%). Diminution : lésion iléale ou pullulation microbienne.","Oriente vers une atteinte de l’iléon."
"Test au rouge carmin","Test mesurant le temps de transit digestif : ingestion de rouge carmin, premières selles rouges normalement 18-24h, dernières 24-72h. Accéléré si premières selles <6-10h.","Utile pour diarrhée motrice ou osmotique."
"Fécalogramme","Analyse quantitative des selles sur 3 jours : débit fécal, recherche laxatifs, dosage graisse fécale (>6g/24h = stéatorrhée), clairance alpha-1-antitrypsine (entéropathie exsudative), ionogramme fécal, élastase fécale (insuffisance pancréatique), calprotectine (inflammation).","Examen clé dans la diarrhée chronique."
"Stéatorrhée","Présence de graisses dans les selles >6g/24h (ou >12g/24h pour malabsorption franche). Selles grasses, luisantes, en bouse de vache.","Signe de malabsorption."
"Élastase fécale","Enzyme pancréatique dosée dans les selles. Normal >200 µg/g. Taux bas (<200) : insuffisance pancréatique exocrine.","Diagnostic d’insuffisance pancréatique."
"Calprotectine fécale","Marqueur d’inflammation intestinale (colique et iléale). Augmentée dans les maladies inflammatoires chroniques de l’intestin.","Oriente vers une cause inflammatoire."
"Fausse diarrhée des constipés","Selles liquides avec présence d’un fécalome au toucher rectal. L’évacuation du fécalome fait disparaître la diarrhée.","Diagnostic différentiel de la diarrhée chronique."
"Incontinence fécale","Perte involontaire de selles, à différencier d’une vraie diarrhée. Diagnostic par interrogatoire, examen pelvien, mesure du débit fécal.","Diagnostic différentiel."
"Pathomimie","Simulation de maladie, ici par prise clandestine de laxatifs, souvent dans un contexte psychologique.","Diagnostic différentiel."
"Diarrhée lésionnelle (exsudative)","Diarrhée due à une lésion du côlon ou du rectum (inflammation, infection, tumeur).","Un des quatre types de diarrhée sans malabsorption."
"Diarrhée motrice","Diarrhée par accélération du transit, avec absorption incomplète d’eau et électrolytes. Selles fréquentes, impérieuses, post-prandiales, débris alimentaires, sensible au lopéramide, supprimée par le jeûne.","Type fréquent (80% colopathie fonctionnelle)."
"Diarrhée osmotique","Diarrhée due à la présence de substances hypertoniques peu absorbées dans la lumière intestinale, entraînant un appel d’eau. Selles acides, mousseuses, ballonnement, gaz, supprimée par le jeûne.","Causes : laxatifs, carence en lactase."
"Diarrhée sécrétoire","Diarrhée par stimulation de la sécrétion et/ou malabsorption d’eau et électrolytes. Selles abondantes >500g/j, persistante à jeun, pas d’accélération du transit, hypokaliémie.","Causes : laxatifs irritants, tumeurs endocrines, colite microscopique."
"Colite microscopique","Colite à collagène ou colite lymphocytaire, diagnostiquée par biopsies étagées systématiques (endoscopie normale). Survient souvent chez la personne âgée, parfois post-médicamenteuse.","Cause de diarrhée sécrétoire chronique."
"Malabsorption","Ensemble des phénomènes liés à la digestion et au transport des nutriments de la lumière intestinale vers la circulation. Syndrome : AEG, diarrhée caractéristique, carences.","Cadre des diarrhées chroniques avec malabsorption."
"Hyperphagie paradoxale","Augmentation de l’appétit malgré l’amaigrissement. Signe évocateur de malabsorption.","Observé dans le syndrome de malabsorption."
"Maladie cœliaque de l’adulte","Atrophie villositaire totale ou subtotale du grêle proximal, régressant sous régime sans gluten (régime à base de riz).","Cause fréquente de malabsorption entérocytaire."
"Sprue tropicale","Entéropathie d’origine microbienne chez les sujets ayant séjourné en milieu tropical.","Cause de malabsorption."
"Maladie de Whipple","Infection systémique chronique par Tropheryma whippleii. Infiltrats de macrophages PAS (+) dans le grêle et le mésentère.","Cause post-entérocytaire de malabsorption."
"Lymphangiectasie","Dilatation des vaisseaux lymphatiques intestinaux. Primitive (maladie de Waldmann) ou secondaire (fibrose, tuberculose). Entraîne une entéropathie exsudative.","Cause post-entérocytaire."
"Clairance fécale de l’alpha-1-antitrypsine","Test mesurant les pertes protéiques digestives. Normale 12 ml/24h. Augmentée dans les entéropathies exsudatives.","Confirme une entéropathie exsudative."
"Pullulation microbienne du grêle","Présence dans l’intestin grêle d’une flore microbienne anormale (>10^5 germes/mL). Causes : sténoses, diverticulose, fistules, chirurgie obésité.","Cause pré-entérocytaire de malabsorption."
"Tubages étagés","Examen bactériologique avec prélèvements gastrique, duodénal, iléal pour rechercher une pullulation microbienne.","Mentionné dans les examens bactériologiques."
