"question","answer","explanation","difficulty"
"Le reflux gastro-œsophagien est un passage volontaire du contenu gastrique.","False","Involontaire, sans effort de vomissement.","Easy"
"Le RGO touche 1 adulte sur 4.","True","Document.","Easy"
"Le pyrosis est une brûlure épigastrique remontant en rétrosternal.","True","Document.","Easy"
"Le syndrome postural (aggravation par l'antéflexion) est pathognomonique du RGO.","True","Document.","Easy"
"Les régurgitations acides sont maximales le soir au coucher.","False","Maximales le matin au réveil.","Easy"
"La fibroscopie digestive haute est systématique devant tout RGO.","False","Indiquée en cas de signes d'alarme ou âge >50 ans.","Easy"
"Une fibroscopie normale élimine le diagnostic de RGO.","False","Normale dans 50-70% des cas, n'élimine pas le diagnostic.","Easy"
"Le grade A de Los Angeles correspond à des pertes de substance de moins de 5 mm.","True","Document.","Easy"
"Le grade D de Los Angeles est une perte de substance circonférentielle.","True","Document.","Easy"
"La pH-métrie classique dure 12 heures.","False","24 heures.","Easy"
"La ph-impédancemétrie détecte les reflux peu acides (pH>4).","True","Document.","Easy"
"La scintigraphie œsophagienne utilise du Technétium 99.","True","Document.","Easy"
"La manométrie œsophagienne est l'examen de référence pour le diagnostic de RGO.","False","Pour le diagnostic, c'est clinique ou pH-métrie/endoscopie ; manométrie pour bilan préopératoire.","Medium"
"L'endobrachyoesophage est une métaplasie intestinale de l'œsophage.","True","Document.","Easy"
"L'endobrachyoesophage peut évoluer vers un adénocarcinome.","True","Document.","Easy"
"Le pyrosis est aggravé par la position debout.","False","Aggravé par l'antéflexion et le décubitus.","Easy"
"Le chocolat diminue la pression du SIO.","True","Document.","Easy"
"L'alcool augmente la pression du SIO.","False","Diminue.","Easy"
"Les dérivés nitrés augmentent la pression du SIO.","False","Diminuent.","Easy"
"La salive neutralise l'acidité œsophagienne grâce aux bicarbonates.","True","Document.","Easy"
"L'endobrachyoesophage est une muqueuse rouge orangé à l'endoscopie.","True","Document.","Easy"
"La sténose peptique est une complication rare du RGO.","False","Fréquente.","Medium"
"L'ulcère œsophagien est une lésion superficielle de l'épithélium.","False","Profonde, atteignant la musculeuse (érosion = superficielle).","Medium"
"La toux nocturne spasmodique peut être un symptôme atypique du RGO.","True","Document.","Easy"
"Le syndrome de Mallory-Weiss est une fissuration post-vomissement.","True","Document.","Easy"
"L'angor est un diagnostic différentiel de la douleur rétrosternale du RGO.","True","Document.","Easy"
"La pH-métrie sans fil n'existe pas.","False","Existe (non détaillée).","Medium"
"La classification de Savary-Miller comporte 4 grades.","True","Document.","Easy"
"Le traitement de la sténose peptique est médical exclusif.","False","Endoscopique (dilatation).","Medium"
"Le RGO est une maladie aiguë spontanément résolutive.","False","Chronique, récidivante.","Easy"
"Une endoscopie normale à 50 ans avec pyrosis typique élimine le RGO.","False","Ne l'élimine pas.","Medium"
"L'endobrachyoesophage se diagnostique par biopsie.","True","Document.","Easy"
"La dysphagie est un signe d'alarme du RGO.","True","Document.","Easy"
"L'odynophagie est une douleur à la déglutition.","True","Document.","Easy"
"Le RGO peut se manifester par une dysphonie.","True","Document.","Medium"
"La douleur pseudo-angineuse du RGO est due à une atteinte cardiaque.","False","C'est un symptôme atypique, sans lésion coronaire.","Medium"
"Le test de la pH-métrie de 3 h est utilisé en routine.","False","Surtout pour les études scientifiques.","Medium"
"La manométrie œsophagienne explore le péristaltisme.","True","Document.","Easy"
"L'angle de His participe à la barrière anti-reflux.","True","Document.","Easy"
"Le ligament gastro-phrénique fait partie de la barrière anti-reflux.","True","Document.","Easy"
"L'anneau diaphragmatique est un facteur de risque de RGO.","False","Fait partie de la barrière, son dysfonctionnement peut favoriser le reflux.","Medium"
"La pars condensa du petit épiploon n'a pas de rôle dans la barrière anti-reflux.","False","Elle est citée.","Medium"
"La pepsine est inactive à pH acide.","False","Activée par l'acidité.","Medium"
"Les sels biliaires augmentent la résistance muqueuse.","False","Diminuent la résistance.","Medium"
"La couche Malpighi de l'œsophage a une capacité de renouvellement cellulaire.","True","Document.","Medium"
"L'agression acide chronique peut transformer l'épithélium malpighien en épithélium intestinal.","True","Document (endobrachyoesophage).","Medium"
"Le risque de cancer sur endobrachyoesophage est plus élevé en présence de dysplasie de haut grade.","True","Document.","Medium"
"La pH-métrie filaire est placée à 10 cm au-dessus du SIO.","False","5 cm.","Medium"
"La scintigraphie œsophagienne permet de quantifier le volume de reflux.","True","Document.","Medium"
"Le TOGD a un intérêt diagnostique majeur dans le RGO.","False","Pas d’intérêt diagnostique.","Medium"
"Le RGO peut être asymptomatique.","Non dit, mais possible.","Difficult"
"L'œsophagite candidosique est un diagnostic différentiel du RGO.","Non cité, mais possible.","Difficult"
"Le traitement du RGO repose sur les anti-H2.","Non détaillé.","Difficult"
"Les IPP sont le traitement de référence.","Non détaillé.","Difficult"
"La hernie hiatale est une complication du RGO.","Non, plutôt facteur favorisant.","Medium"
"La surveillance endoscopique de l'endobrachyoesophage est recommandée.","True (document : 'Critères de surveillance : TPE').","Medium"
"L'endobrachyoesophage touche la muqueuse malpighienne.","False, remplacement par muqueuse cylindrique.","Easy"
"Le reflux physiologique existe après les repas.","True","Document.","Easy"
"La chirurgie anti-reflux est indiquée en première intention.","False","En cas d'échec médical.","Difficult"
"Le RGO peut donner une anémie ferriprive.","True","Document.","Medium"
