"term","definition","contextual_explanation"
"omphalocèle","Malformation congénitale de la paroi abdominale à partir de l'anneau ombilical","Non réintégration des viscères recouverts de la membrane amniotique avasculaire. Le cordon ombilical s'insère toujours sur la membrane."
"anneau ombilical","Orifice de la paroi abdominale au niveau de l'ombilic","L'omphalocèle se forme à partir de cet anneau."
"membrane amniotique avasculaire","Membrane sans vaisseaux recouvrant les viscères dans l'omphalocèle","Protège les anses et sert lors du traitement chirurgical."
"gelée de Wharton","Substance gélatineuse présente dans le cordon ombilical","Dans l'omphalocèle, on en trouve entre le péritoine et l'amnios."
"péritoine","Membrane séreuse tapissant la cavité abdominale","Constituant la couche interne de la membrane de l'omphalocèle."
"amnios","Membrane fœtale la plus interne","Constituant la couche externe de la membrane de l'omphalocèle."
"trisomie 18","Anomalie chromosomique (chromosome 18 supplémentaire)","Associée à l'omphalocèle, à rechercher en anténatal."
"trisomie 21","Anomalie chromosomique (syndrome de Down)","Associée à l'omphalocèle."
"échocardiographie fœtale","Échographie du cœur du fœtus","Pour rechercher des malformations cardiaques associées."
"caryotype","Analyse des chromosomes","Pour rechercher des anomalies chromosomiques associées."
"tuméfaction sessile","Gonflement sans pédicule, large base d'implantation","Aspect de l'omphalocèle à l'examen postnatal."
"membrane translucide","Membrane laissant passer la lumière","Recouvre les viscères de l'omphalocèle, à ne pas rompre."
"trajet hélicoïdal","Insertion en spirale","Le cordon ombilical s'implante avec un trajet hélicoïdal sur l'omphalocèle."
"syndrome de Wiedemann-Beckwith","Syndrome congénital","Associe omphalocèle, hypoglycémie, macroglossie, viscéromégalie, parfois translocation 11p15."
"macroglossie","Langue anormalement volumineuse","Composante du syndrome de Wiedemann-Beckwith."
"viscéromégalie","Augmentation de volume des viscères","Composante du syndrome de Wiedemann-Beckwith."
"translocation chromosomique 11p15","Réarrangement du chromosome 11","Associée inconstamment au syndrome de Wiedemann-Beckwith."
"pentalogie de Cantrell","Association malformative rare","Omphalocèle, hernie diaphragmatique antérieure, fente sternale, ectopie cardiaque avec cardiopathie."
"laparoschisis","Malformation de la paroi abdominale (différente de l'omphalocèle)","Dans le document, le laparoschisis est mentionné pour comparaison de prise en charge (voie d'accouchement, perfusion majorée, protection par sac plastique)."
"SNG (sonde nasogastrique)","Sonde passant du nez à l'estomac","Utilisée pour prévenir la distension aérique de l'intestin extériorisé dans le laparoschisis."
"sac à grêle","Sac plastique stérile","Protège la partie inférieure du corps du nouveau-né, évite hypothermie, pertes insensibles, infection, lésions traumatiques."
"décubitus latéral droit","Position allongée sur le côté droit","Pour éviter la plicature de l'artère mésentérique supérieure."
"sonde orogastrique","Sonde passant de la bouche à l'estomac","Utilisée pour l'omphalocèle afin d'éviter la distension aérique des viscères herniés."
"inadéquation contenant-contenu","Défaut de correspondance entre le volume des viscères et la capacité abdominale","Risque majeur lors de la réintégration, pouvant entraîner troubles ventilatoires et syndrome cave inférieur."
"syndrome cave inférieur","Compression de la veine cave inférieure","Complication possible en cas de fermeture abdominale sous tension."
"testing de fermeture pariétale","Manœuvre peropératoire consistant à simuler la fermeture","Permet de mesurer la pression ventilatoire pour décider entre fermeture primitive ou progressive."
"pression ventilatoire","Pression mesurée au niveau ventilatoire","Seuil : <30 cm H2O → fermeture primitive ; ≥30 cm H2O → fermeture progressive."
"fermeture primitive","Fermeture chirurgicale directe en un temps","Possible si pression <30 cm H2O."
"fermeture progressive","Fermeture en plusieurs temps","Utilise la technique du Silo de Schuster lorsque pression ≥30 cm H2O."
"Silo de Schuster","Technique de fermeture progressive par plaque en Silastic","Suture d'une plaque en Silastic aux berges aponévrotiques, affrontement progressif tous les 2 jours par points en U, fermeture obtenue en 15 jours maximum, puis reprise chirurgicale."
"Silastic","Matériau synthétique (silicone élastomère)","Utilisé pour confectionner le silo."
"points en U","Type de suture en forme de U","Utilisés pour la fermeture progressive du silo."
"recouvrement cutané selon Gross","Technique de couverture cutanée sans fermeture aponévrotique","Large décollement cutané, suture de la peau en avant de l'éventration médiane. Nécessite une reprise chirurgicale car éviscération couverte."
"incisions de décharge cutanées","Incision pour relâcher la tension cutanée","Réalisées le plus en arrière possible en cas de défect majeur."
"éviscération couverte","Anses intestinales protégées uniquement par la peau","Conséquence du recouvrement selon Gross, nécessitant reprise chirurgicale."
"rectomyoplastie","Technique de reposition médiane des muscles grands droits","Libération des muscles droits de leurs attaches aponévrotiques en respectant les éléments vasculo-nerveux (artère mammaire interne, artère épigastrique, nerfs intercostaux). Permet rapprochement sans tension."
"gaine des droits","Enveloppe aponévrotique des muscles grands droits de l'abdomen","Incisée verticalement le long du bord externe, puis décollée et retournée."
"mammaire interne","Artère thoracique interne","À respecter lors de la rectomyoplastie."
"épigastrique","Artère épigastrique","À respecter lors de la rectomyoplastie."
"nerfs intercostaux","Nerfs des muscles intercostaux","Leur terminaison innerve les muscles grands droits, à respecter."
"fermeture prothétique","Fermeture par plaque inerte","Suture d'une plaque aux berges du defect pariétal, recouverte par la peau."
"technique de Grob","Technique non chirurgicale (tannage)","Utilisée à Madagascar : épidermisation progressive du défect pariétal par application continue d'éosine aqueuse, puis cure d'éventration à distance. Donne de bons résultats."
"éosine aqueuse","Solution d'éosine dans l'eau","Appliquée en continu sur l'omphalocèle pour provoquer une épidermisation progressive."
"tannage","Autre nom de la technique de Grob (par analogie avec le tannage du cuir)","Donne de bons résultats."
"cure d'éventration","Intervention chirurgicale pour réparer une éventration","Réalisée à distance après épidermisation."
