





"front","back","cognitive_level"
"Qu’est-ce que la DMLA ?","Dégénérescence maculaire liée à l’âge : lésion dégénérative altérant l’aire centrale de la rétine chez un sujet de plus de 50 ans, secondaire à des facteurs génétiques et/ou environnementaux. En général bilatérale mais peut être asymétrique.","Recall"
"Quelle est la différence entre MLA et DMLA ?","MLA (maculopathie liée à l’âge) : stade précoce, sans retentissement fonctionnel, présence de drusens. DMLA : stade tardif (forme exsudative ou atrophique) avec fonction visuelle centrale altérée. La MLA précède la DMLA.","Recall"
"Quelles sont les deux formes de DMLA ?","1) Forme atrophique (« forme sèche ») : évolution lente, altération de l’épithélium pigmentaire, amincissement de la macula. 2) Forme exsudative (« forme humide » ou « néovasculaire ») : évolution rapide, baisse d’acuité visuelle rapidement progressive, néovaisseaux choroïdiens sous la macula.","Recall"
"Quelle est la prévalence de la DMLA après 60 ans ?","8 % après 60 ans.","Recall"
"Quel est le rang de la DMLA parmi les causes de cécité légale toutes causes confondues selon l’OMS ?","3ème rang, après le glaucome et la cataracte.","Recall"
"Quel est le pourcentage de cécité due à la DMLA après 60 ans ?","15 à 40 %.","Recall"
"Quels sont les trois principaux facteurs de risque de la DMLA ?","1) Âge (+++) ; 2) Hérédité (antécédents familiaux : risque x 3 ; gènes favorisants et protecteurs) ; 3) Tabagisme (risque x 3, persiste plusieurs années après l’arrêt ; > 5 chez les grands fumeurs).","Recall"
"Quelles sont les trois circonstances de découverte de la DMLA exsudative ?","1) Baisse progressive de la vision de loin et de près ; 2) Baisse brutale de la vision + métamorphopsies (sensation de déformation des objets, souvent vision angulée des lignes droites) ; 3) Scotome central.","Recall"
"Qu’est-ce qu’une métamorphopsie ?","Sensation de déformation des objets (souvent vision angulée des lignes droites).","Recall"
"Quel test permet de rechercher un scotome central et/ou des métamorphopsies ?","Test de la grille d’Amsler.","Recall"
"Quels sont les signes au fond d’œil d’une forme exsudative de DMLA ?","Hémorragies, exsudats profonds (« exsudats secs »), œdème maculaire et/ou décollement exsudatif de la macula.","Recall"
"À quoi sert l’angiographie rétinienne dans la DMLA ?","Prise de clichés après injection de colorant fluorescent (fluorescéine ou indocyanine) pour rechercher des néovaisseaux choroïdiens.","Recall"
"Qu’est-ce que l’OCT (tomographie à cohérence optique) et à quoi sert-il dans la DMLA ?","Images en coupe de la macula permettant de visualiser les néovaisseaux choroïdiens et les signes associés (œdème maculaire, décollement exsudatif). Souvent utilisé seul pour le suivi thérapeutique.","Recall"
"Qu’est-ce qu’une drusen ?","Petite lésion profonde, blanchâtre ou jaunâtre, de forme et taille variables, visible au fond d’œil. Correspond à l’accumulation de résidus de la phagocytose des photorécepteurs par les cellules de l’épithélium pigmentaire. Précurseur de la DMLA (présent dans 40 % des formes précoces).","Recall"
"Quelle est la prévalence des drusens dans les formes précoces de DMLA ?","40 %.","Recall"
"Quels sont les signes histologiques et au fond d’œil de la forme atrophique de DMLA ?","Histologie : disparition progressive des cellules de l’épithélium pigmentaire, des photorécepteurs sus-jacents et de la choriocapillaire sous-jacente. Fond d’œil : plages d’atrophie de l’épithélium pigmentaire et de la choroïde débutant autour de la fovéa.","Recall"
"Quelle est l’évolution de la forme atrophique de DMLA ?","Inexorable mais très progressive vers une atteinte de la fovéa avec BAV sévère et scotome central.","Recall"
"Quels sont les deux buts du traitement de la DMLA ?","1) Empêcher l’aggravation de la maladie ; 2) Offrir une vision utile aux patients.","Recall"
"Quels oligoéléments peuvent être utilisés dans la DMLA ?","Vitamine E, vitamine C, zinc, lutéine, oméga 3, etc.","Recall"
"Que signifie l’acronyme VEGF ?","Vascular Endothelium Growth Factor (facteur de croissance de l’endothélium vasculaire). C’est le principal stimulus de la néovascularisation choroïdienne.","Recall"
"Quels sont les deux anti-VEGF ayant une AMM dans la DMLA ?","Ranibizumab et aflibercet. (Bevacizumab n’a pas d’AMM mais a une action semblable).","Recall"
"Quelle est la fréquence moyenne des injections d’anti-VEGF dans la DMLA exsudative ?","6 à 12 injections par an.","Recall"
"Quelle est la double action des anti-VEGF ?","Action angiostatique (anti-néovascularisation) et correction de l’hyperperméabilité capillaire des néovaisseaux.","Recall"
"Qu’est-ce que la photothérapie dynamique ?","Technique consistant à illuminer la partie du fond d’œil contenant les néovaisseaux choroïdiens avec un laser infrarouge après perfusion intraveineuse d’un photosensibilisant (vertéporfine). Crée une thrombose des néovaisseaux, empêchant la formation d’œdème et entraînant la régression de l’œdème maculaire existant.","Recall"
"À quoi sert la rééducation orthoptique dans la DMLA ?","Apprendre au patient à utiliser la rétine située en dehors de la lésion.","Recall"
"Quelles sont les indications des oligoéléments dans la DMLA ?","Dans tous les cas, surtout la forme précoce, pour retarder l’évolution.","Recall"
"Quelle est l’indication des anti-VEGF en injections intravitréennes répétées ?","Forme exsudative (humide) de DMLA.","Recall"
"Quand utilise-t-on la rééducation orthoptique et les aides visuelles ?","Quand les autres traitements n’ont pas permis la conservation d’une acuité visuelle satisfaisante, notamment de près.","Recall"
"Existe-t-il un traitement médical pour la forme atrophique de DMLA ?","Non. Aucun traitement médical n’est efficace. La DMLA atrophique peut devenir secondairement exsudative.","Recall"
"Un patient de 65 ans, fumeur, présente une baisse brutale de la vision avec déformation des lignes droites. Le fond d’œil montre des hémorragies maculaires. Quel est le diagnostic et quel traitement doit être proposé ?","DMLA exsudative (forme humide). Traitement : injections intravitréennes d’anti-VEGF (ranibizumab ou aflibercet).","Application"
"Un patient de 70 ans présente une baisse progressive de la vision centrale. Le fond d’œil montre des plages d’atrophie de l’épithélium pigmentaire autour de la fovéa. Quel est le diagnostic ?","DMLA atrophique (forme sèche).","Analysis"
"Pourquoi dit-on que la forme exsudative de DMLA nécessite une prise en charge rapide ?","Parce que son évolution peut être très rapide (baisse d’acuité visuelle rapidement progressive) et que les injections d’anti-VEGF peuvent stabiliser ou améliorer la vision si elles sont débutées précocement.","Understanding"






