"front","back","cognitive_level"
"Quelle est la définition de l’entérocolite ulcéro-nécrosante (ECUN) ?","Processus inflammatoire excessif débutant au sein de la muqueuse intestinale, provoquant une nécrose intestinale et une atteinte généralisée multi-systémique plus ou moins sévère.","Recall"
"Quelle est la place de l’ECUN parmi les urgences néonatales ?","C’est la première urgence chirurgicale néonatale.","Recall"
"Quelle est l’incidence de l’ECUN ?","0,3 à 2,4 % des naissances, soit 1 pour 400 à 3000 naissances.","Recall"
"Quel pourcentage des cas d’ECUN concerne des prématurés ?","90 % des cas sont des prématurés.","Recall"
"Quelle est l’incidence de l’ECUN chez les prématurés de moins de 1500 g ?","0,5 à 15 % des prématurés de moins de 1500 g.","Recall"
"Citez 6 raisons pour lesquelles les prématurés sont à risque d’ECUN.","1. Motilité intestinale et péristaltisme lents et immatures
2. Fonctions digestives et d’absorption immatures
3. Défenses immunitaires immatures
4. Flore intestinale non encore en place
5. Muqueuse intestinale – barrière immature
6. Circulation sanguine pas au point","Recall"
"Quelle est la préoccupation classique concernant l’alimentation entérale et l’ECUN ?","L’alimentation entérale peut favoriser le développement de l’ECUN.","Recall"
"Quelles sont les conséquences de la crainte de l’ECUN dans les centres de néonatologie intensive ?","- Suppression de l’introduction de l’alimentation entérale
- Ralentissement de l’évolution de l’alimentation
- Insuffisance des apports nutritionnels","Recall"
"Quels sont les signes systémiques de l’ECUN ?","- Altération de l’état général et inconfort
- Apnées, bradycardies
- Léthargie
- Altération de la coloration des téguments, gris-pâle “teint d’infecté”
- Troubles thermiques
- Hyperglycémie","Recall"
"Quels sont les signes digestifs de l’ECUN ?","- Ballonnement avec abdomen distendu et douloureux
- Apparition de plaques cutanées rouges, bleutées, parfois anses intestinales visibles
- Hématochézie (sang frais dans les selles)
- Vomissements
- Régurgitation de plus en plus volumineuse, rouge puis jaune puis verte, sanglante, voire fécaloïde","Recall"
"Quelle est l’évolution clinique possible de l’ECUN ?","- Signes cliniques parfois peu spécifiques au début, parfois asymptomatique
- Dégradation clinique parfois très rapide : abdomen aigu, péritonite, hématochézie, AEG, défaillance multi-systémique, décès","Understanding"
"Quels sont les examens de laboratoire à réaliser (contrôles fréquents) ?","- NFS (thrombopénie, neutropénie, anémie)
- Protéines de l’inflammation (CRP)
- Gaz du sang, électrolytes, glycémie (acidose, hyperglycémie, troubles électrolytiques)
- Tests de coagulation (recherche de CIVD)","Recall"
"Quelles cultures doivent être réalisées ?","Hémoculture et coproculture (recherche de bactéries, virus et levures).","Recall"
"Quels sont les signes radiologiques et échographiques confirmant le diagnostic d’ECUN ?","- Pneumatose : bulles d’air dans la paroi intestinale
- Aéroportie : bulles d’air dans les espaces portes
- Ascite de petite quantité mais exsudative (inflammatoire)","Recall"
"Quelles sont les complications possibles de l’ECUN ?","- Péritonite
- Abdomen aigu
- Défaillance multi-systémique
- Décès","Recall"
