"question","answer","explanation","difficulty"
"Le virus de l'hépatite A est un virus à ADN.","False","C'est un virus à ARN sans enveloppe.","Easy"
"Le VHA se transmet par voie orale (péril fécal).","True","Document.","Easy"
"Le VHB est le seul virus des hépatites à ADN.","True","Document.","Easy"
"L'Ag HBs apparaît dans le sang après le début clinique de l'hépatite B.","False","Apparaît 2-6 semaines avant le début clinique.","Easy"
"La persistance de l'Ag HBs dans le sang pendant plus de 6 mois définit un portage chronique.","True","Document.","Easy"
"L'Ag HBe est un marqueur d'infectiosité.","True","Document.","Easy"
"L'Ag HBc est recherché dans le sang en routine.","False","Absent du sang, présent dans les hépatocytes.","Easy"
"Les Ac anti-HBs apparaissent avant la disparition de l'Ag HBs.","False","Apparaissent 1 à 4 mois après la disparition.","Easy"
"Les Ac anti-HBc IgM sont un marqueur d'hépatite B ancienne.","False","Marqueur d'hépatite B actuelle (aiguë).","Easy"
"Le virus mutant pré-C ne produit pas d'Ag HBe.","True","Document.","Easy"
"Le VHC a été découvert en 1989.","True","Document.","Easy"
"Le VHC se transmet principalement par voie sexuelle.","False","Principalement par le sang (transfusion, toxicomanie IV).","Easy"
"Le VHD ne peut exister sans le VHB.","True","Document.","Easy"
"La co-infection VHB-VHD expose à un risque d'hépatite fulminante.","True","Document.","Easy"
"La surinfection par VHD chez un porteur chronique de VHB augmente le risque de chronicité à 90%.","True","Document.","Easy"
"Le VHE est la première cause d'hépatite virale aiguë dans le monde.","True","Document.","Easy"
"Le VHE se transmet uniquement par voie orale.","False","Peut aussi se transmettre par transfusion sanguine.","Easy"
"L'hépatite A peut évoluer vers la chronicité.","False","Jamais de chronicité.","Easy"
"L'hépatite C évolue vers la chronicité dans 50 à 80% des cas.","True","Document.","Easy"
"L'hépatite fulminante a une mortalité de 90%.","True","Document.","Easy"
"Dans l'hépatite B aiguë, le rapport ALAT/ASAT est généralement >1.","True","Document : 'ALAT > ASAT'.","Medium"
"La triade de Caroli associe céphalées, urticaire et arthralgies.","True","Document.","Easy"
"La phase pré-ictérique dure de 3 à 10 jours.","True","Document.","Medium"
"La phase ictérique de l'hépatite B dure environ 3 à 4 semaines.","True","Document.","Easy"
"L'échographie hépatique dans l'hépatite aiguë montre une dilatation des voies biliaires.","False","Normale, pas de dilatation.","Easy"
"La forme asymptomatique de l'hépatite B représente 80-90% des cas.","True","Document.","Easy"
"La forme cholestatique de l'hépatite B se caractérise par un ictère très prononcé.","True","Document.","Medium"
"Une hépatite B prolongée se définit par des anomalies biologiques persistant plus de 4 semaines.","True","Document.","Medium"
"L'hépatite chronique B est définie par une persistance de l'Ag HBs > 3 mois.","False","> 6 mois.","Easy"
