"question","answer","explanation","difficulty"
"Un enfant de 6 mois doit être capable de s'asseoir avec appui.","True","Selon le document, à 6 mois l'enfant est 'assis avec appui ; en tripode'.","Easy"
"La marche automatique est un réflexe archaïque.","True","Le document liste 'Marche automatique' parmi les réflexes archaïques.","Easy"
"À 2 ans, l'absence de phrase est considérée comme un retard de langage.","False","Le document indique qu'à 2 ans, le retard est l'absence d'association de 2 mots; la phrase est attendue à 3 ans.","Easy"
"Le déplacement à quatre pattes à 9-10 mois est considéré comme un retard du développement psychomoteur.","False","Document: 'le déplacement à 4 patte ne fait pas partie de retard de DPM'.","Easy"
"Le signe de Gowers positif indique un problème neuromusculaire.","True","Document: 'Signe de Gowers (+) : problème neuro musculaire'.","Easy"
"L'examen clinique doit se dérouler dans une pièce bruyante pour stimuler l'enfant.","False","Document: conditions de l'examen: 'Pièce calme'.","Easy"
"La toxoplasmose maternelle pendant la grossesse peut affecter le développement psychomoteur de l'enfant.","True","Document: antécédents personnels: 'toxoplasmose' dans le déroulement de la grossesse.","Easy"
"Le réflexe de Moro fait partie des réflexes archaïques.","True","Document: liste des réflexes archaïques inclut 'MORO'.","Easy"
"Une macrocéphalie à +2 DS doit inquiéter selon le document.","False","Document: seuil d'inquiétude pour macrocéphalie est '> +3DS'.","Medium"
"La latéralisation précoce (préférence manuelle avant 6 mois) est un signe de normalité.","False","Document: 'sans préférence D ou G sinon = latéralisation précoce' donc anormal.","Medium"
"En cas de mauvaise interaction sociale, il faut d'abord vérifier l'acuité visuelle et auditive.","True","Document: 'En cas de mauvaise interaction sociale : voit-il ? Entend-il ?'","Medium"
"Le bilan métabolique est indiqué en cas de dysmorphie.","False","Document: dysmorphie -> caryotype, analyse de gène; bilan métabolique pour régression des acquisitions.","Medium"
"L'asphyxie périnatale est une étiologie d'origine post-natale.","False","Document: asphyxie périnatale est dans 'Origine périnatale'.","Medium"
"L'enfant de 12 mois doit pointer du doigt et faire des gestes sociaux comme coucou.","True","Document: 'Absence à 12 mois : Pointage du doigt, Gestes sociaux (Coucou, bye bye)'.","Medium"
"Un enfant de 8 mois qui ne tient pas assis sans appui est dans la norme.","False","Document: repère '8 mois : assis sans appui' - donc absence est anormale.","Medium"
"La souffrance aiguë périnatale sans contexte particulier évoque une origine traumatique.","False","Document: 'évoquer une pathologie constitutionnelle ou infectieuse du fœtus'.","Difficult"
"L'absence de babillage à 12 mois est un signe d'alerte pour le langage.","True","Document: signes d'alertes langage: à 12 mois 'Babillage' - donc absence = alerte.","Difficult"
"La prise en charge du retard psychomoteur vise uniquement à éviter l'aggravation.","False","Document: 'Éviter l'aggravation' et 'Meilleur confort possible' - deux objectifs.","Difficult"
"Le réflexe d'allongement croisé n'est pas un réflexe archaïque.","False","Document: liste inclut 'Allongement croisé'.","Difficult"
"L'environnement socio-familial et le niveau scolaire des parents font partie des antécédents familiaux à recueillir.","True","Document: antécédents familiaux: 'Environnement socio-familial (niveau scolaire des parents)'.","Medium"
