question, answer, explanation, difficulty
"L'aménorrhée primaire est définie par l'absence de ménarche chez les filles de plus de 14 ans.", False, "Le document : 'absence de ménarche chez les filles > 16 ans'", "Easy"
"Une grossesse est possible chez une patiente consultant pour aménorrhée primaire.", True, "Le document : 'Grossesse possible'", "Easy"
"L'anosmie oriente vers un syndrome de Turner.", False, "Le document oriente l'anosmie vers le syndrome de KALLMANN", "Easy"
"Les bouffées de chaleur orientent vers une insuffisance ovarienne primitive.", True, "Le document : 'Bouffée de chaleur (insuffisance ovarienne primitive)'", "Easy"
"La radiographie du poignet gauche permet d'évaluer l'âge osseux.", True, "Le document : 'Radiographie du poignet gauche avec recherche du sésamoïde du pouce (âge osseux)'", "Easy"
"Le premier geste diagnostique devant une aménorrhée primaire est le dosage de la FSH.", False, "Le document : 'Le premier geste est d'éliminer une grossesse'", "Easy"
"Le syndrome de Turner associe un caryotype 46XY.", False, "Le syndrome de Turner est une dysgénésie gonadique avec caryotype anormal (45XO classique)", "Easy"
"Une augmentation du rapport corps-col utérin témoigne d'une sécrétion oestrogénique.", True, "Le document : 'Augmentation du rapport corps-col : témoin de sécrétion oestrogénique'", "Easy"
"Le syndrome de KALLMANN associe un infantilisme et une anosmie.", True, "Le document : 'Syndrome de KALLMAN : Infantilisme, Anosmie'", "Easy"
"L'hyperprolactinémie associe aménorrhée et galactorrhée.", True, "Le document : 'Hyperprolactinémie : (aménorrhée + galactorrhée)'", "Easy"
"Le test au LH-RH est négatif dans le retard pubertaire idiopathique.", False, "Le document : 'Test au LH-RH (+) pour retard pubertaire idiopathique'", "Easy"
"Un âge osseux < 11 ans définit un retard pubertaire.", True, "Le document : 'Âge osseux < 11 ans : Retard pubertaire'", "Easy"
"On pratique systématiquement un toucher vaginal chez toute fille consultant pour aménorrhée primaire.", False, "Le document : 'Pas de TV si vierge'", "Easy"
"Le syndrome de Moris est de caryotype 46XX.", False, "Le document : 'Syndrome de Moris : 46XY'", "Easy"
"L'imperforation de l'hymen peut se révéler par des douleurs pelviennes cycliques.", True, "Le document : 'Imperforation de l'hymen : douleur chronique, hématocolpos'", "Easy"
"Dans les causes ovariennes d'aménorrhée primaire, la FSH et la LH sont basses.", False, "Le document : 'Causes ovariennes : FSH et LH élevées'", "Medium"
"L'absence de caractères sexuels secondaires avec âge osseux >11 ans oriente vers des causes ovariennes ou hypothalamo-hypophysaires.", True, "Le document : 'Âge osseux >11 ans – Absence de caractères sexuels secondaires : Causes ovariennes ou hypothalamo-hypophysaire'", "Medium"
"La tuberculose génitale peut entraîner des synéchies utérines.", True, "Le document : 'Tuberculose génitale : responsable d'une synéchie utérine'", "Medium"
"Une hyperplasie congénitale des surrénales donne des signes de virilisation d'apparition récente.", False, "Le document oppose les causes tumorales (apparition récente) à l'hyperplasie congénitale", "Medium"
"Le syndrome de Rokotansk-Kuster-Hausser associe une imperforation de l'hymen.", False, "Le document : 'Syndrome de Rokotansk-kuster-hausser : aplasie vaginale et utérine'", "Medium"
"Une cause tumorale surrénalienne doit être suspectée devant une virilisation progressive et ancienne.", False, "Le document : 'Causes tumorales : signe de virilisation important et d'apparition récente'", "Medium"
"L'échographie pelvienne 3D permet de mesurer la longueur du corps et du col utérin.", True, "Le document : 'Mesure de la longueur du corps et du col utérin'", "Medium"
"Un antécédent de tuberculose doit être recherché systématiquement devant une aménorrhée primaire.", True, "Le document liste 'Tuberculose' parmi antécédents personnels à rechercher", "Medium"
"Dans l'aménorrhée primaire par anomalie utéro-vaginale, les caractères sexuels secondaires sont absents.", False, "Le document : 'Caractères sexuels secondaires normaux' pour anomalies utéro-vaginales", "Medium"
"La cloison vaginale transversale est diagnostiquée par échographie et spéculum vierge.", True, "Le document : 'Cloison vaginale transversale (Diag : écho et spéculum vierge)'", "Medium"
"Les causes endocriniennes comme l'hypothyroïdie font partie des étiologies hypothalamo-hypophysaires d'aménorrhée primaire.", True, "Le document liste 'Causes endocriniennes : hypothyroïdie' dans causes hypothalamo-hypophysaire", "Medium"
"Expliquez pourquoi l'âge osseux est normal dans les anomalies utéro-vaginales avec caractères sexuels secondaires normaux.", "L'âge osseux est >11 ans car la maturation osseuse dépend des oestrogènes, qui sont sécrétés normalement par les ovaires fonctionnels", "Implication logique du document : caractères sexuels secondaires normaux = imprégnation oestrogénique normale = âge osseux >11 ans", "Difficult"
"Une patiente avec aménorrhée primaire, caractères sexuels secondaires virilisés, et hypertrophie clitoridienne sans autre anomalie génitale externe a nécessairement une hyperplasie congénitale des surrénales.", False, "Le document mentionne aussi les causes tumorales ovariennes ou surrénaliennes, surtout si apparition récente", "Difficult"
"Le syndrome de Moris avec testicules inguinaux expose à un risque de tumeur gonadique justifiant l'ablation.", True, "Implication clinique des testicules intra-abdominaux ou inguinaux dans syndrome 46XY", "Difficult"
"Dans le syndrome de Turner, l'absence de caractères sexuels secondaires s'associe à des FSH et LH élevées, contrairement au syndrome de KALLMANN.", True, "Le document distingue bien ces deux profils hormonaux opposés", "Difficult"
