"term","definition","contextual_explanation"
"cancer de l’œsophage","Tumeur maligne de l’œsophage.","Cancer digestif fréquent, grave par retentissement nutritionnel et extension locorégionale."
"sex‑ratio","Rapport du nombre d’hommes au nombre de femmes atteints.","15 hommes pour 1 femme dans le cancer de l’œsophage."
"endobrachy‑œsophage (EBO)","Condition précancéreuse où la muqueuse du bas‑œsophage est remplacée par une muqueuse de type glandulaire.","Aussi appelé œsophage de Barrett, secondaire à l’agression peptique par reflux."
"œsophage de Barrett","Terme synonyme d’endobrachy‑œsophage.","Muqueuse glandulaire remplaçant l’épithélium malpighien du bas‑œsophage."
"œsophagite peptique","Inflammation de l’œsophage due au reflux acide.","Facteur endogène favorisant le cancer, aboutissant à l’endobrachy‑œsophage."
"sténoses cicatricielles","Rétrécissements secondaires à une cicatrisation.","Après ingestion de caustiques, facteur favorisant."
"méga‑œsophage","Dilatation anormale de l’œsophage.","L’œsophagite de stase du méga‑œsophage est un facteur endogène."
"diverticule de Zenker","Diverticule de l’œsophage cervical.","Peut être le siège d’un cancer."
"œsophagite sidéropénique de Plummer‑Vinson (ou Kelly‑Paterson)","Œsophagite associée à une carence en fer.","Facteur endogène favorisant le cancer de l’œsophage."
"cancer épidermoïde","Carcinome malpighien de l’œsophage.","90‑95% des cas, de la bouche de Killian à la jonction œso‑gastrique."
"adénocarcinome","Tumeur maligne développée à partir de cellules glandulaires.","5% des cancers œsophagiens, siège au segment inférieur, tendance à augmenter jusqu’à 35%."
"bouche de Killian","Zone de faiblesse de l’œsophage cervical.","Limite supérieure des cancers épidermoïdes."
"tumeur polypoïde","Tumeur en forme de polpe.","Aspect macroscopique fréquent (60%), sessile ou pédiculée."
"tumeur ulcéro‑bourgeonnante","Tumeur avec ulcération et bourgeonnement.","Autre aspect fréquent (60%)."
"tumeur infiltrante pure","Forme rare (10%) avec aspect parcheminé, muqueuse ulcérée, peu étendue.","Pas de développement intraluminal."
"ganglions para‑œsophagiens","Ganglions situés le long de l’œsophage.","Site d’extension régionale."
"ganglions inter‑trachéo‑bronchiques","Ganglions entre la trachée et les bronches.","Extension lymphatique régionale."
"ganglions sous‑claviculaires","Ganglions au niveau des creux sous‑claviculaires.","Extension possible."
"ganglion de Troisier","Ganglion sus‑claviculaire gauche.","Signe d’extension métastatique du cancer de l’œsophage."
"odynophagie","Douleur à la déglutition.","Signe d’appel du cancer de l’œsophage."
"dysphagie","Difficulté à déglutir.","Signe de cancer évolué, d’abord aux solides puis aux liquides."
"aphagie","Impossibilité totale de déglutir.","Stade terminal de la dysphagie."
"hypersialorrhée","Augmentation de la production de salive.","Signe de cancer évolué."
"fausses routes alimentaires","Pénétration d’aliments dans les voies aériennes.","Complication de la dysphagie."
"dysphonie","Trouble de la voix.","Par atteinte du nerf récurrent (extension médiastinale)."
"fistule œso‑trachéale","Communication anormale entre œsophage et trachée.","Se manifeste par une toux à la déglutition."
"médiastinite","Inflammation du médiastin.","Signe d’extension évoluée."
"pleurésie purulente","Épanchement pleural infecté.","Complication d’extension."
"fibroscopie digestive haute","Endoscopie de l’œsophage, estomac, duodénum.","Examen de première intention avec biopsies."
"biopsies","Prélèvements tissulaires.","Permettent le diagnostic histologique dans 95% des cas."
"colorants vitaux","Colorants appliqués lors de l’endoscopie.","Bleu de Toluidine, Lugol, pour guider les biopsies des lésions superficielles multifocales."
"transit œsophagien","Radiographie après ingestion de produit de contraste.","Complément de l’endoscopie pour situer la lésion."
"sténose désaxée","Rétrécissement avec déviation de l’axe.","Signe radiologique de tumeur évoluée."
"lacune","Image de défect de remplissage.","Signe radiologique."
"niche","Image d’ulcération.","Signe radiologique."
"fistule médiastinale","Communication anormale vers le médiastin.","Visible au transit."
"examen ORL","Examen des oreilles, nez, gorge.","Bilan d’extension de base."
"fibroscopie trachéo‑bronchique","Endoscopie des voies aériennes.","Recherche une extension trachéo‑bronchique."
"échoendoscopie","Endoscopie avec sonde d’échographie.","Avec le scanner, précision proche de 80% du stade TNM."
"papillome","Tumeur bénigne épithéliale.","Diagnostic différentiel."
"polype fibro‑vasculaire","Tumeur bénigne pédiculée.","Diagnostic différentiel."
"tumeur à cellules granuleuses","Tumeur bénigne rare.","Diagnostic différentiel."
"léiomyome","Tumeur bénigne des muscles lisses.","Diagnostic différentiel."
"stade I (cancer œsophagien)","Strictement pariétal, muqueuse et sous‑muqueuse.","Forme limitée, éligible à un traitement curatif."
"stade II","Atteinte jusqu’à la musculeuse.","Forme limitée."
"stade III","Lésion avec envahissement ganglionnaire de voisinage ou atteinte de l’adventice ou au‑delà.","Tumeur dépassée, traitement palliatif."
"stade IV","Cancer envahissant d’autres parties de l’organisme (métastatique).","Traitement palliatif."
"mucosectomie","Résection endoscopique de la muqueuse.","Traitement curatif des cancers superficiels (muqueuse/sous‑muqueuse sans atteinte musculaire)."
"œsophagectomie","Ablation chirurgicale de l’œsophage.","Passant à 5 cm au‑dessus de la tumeur."
"curage lymphatique","Ablation des ganglions.","Partie de la chirurgie curative."
"gastroplastie","Confection d’un tube gastrique pour remplacer l’œsophage.","Rétablissement de la continuité digestive."
"œso‑coloplastie","Remplacement de l’œsophage par du côlon.","Autre méthode de rétablissement."
"intervention de LEWIS","Technique chirurgicale en deux temps.","Laparotomie puis thoracotomie droite, anastomose œso‑gastrique, pyloroplastie."
"pyloroplastie","Incision du pylore pour faciliter la vidange gastrique.","Systématique après intervention de Lewis (le X est coupé)."
"opération de SWEET","Chirurgie par thoracotomie gauche.","Rarement réalisée."
"opération d’AKIYAMA","Technique avec thoracotomie, laparotomie et incision cervicale.","Permet une anastomose cervicale."
"anastomose intra‑thoracique","Connexion œso‑gastrique dans le thorax.","Pour tumeurs infra‑aortiques."
"anastomose cervicale","Connexion au niveau du cou.","Pour tumeurs sus‑aortiques et cervicales."
"gastrotomie d’alimentation","Ouverture de l’estomac pour mise en place d’une sonde d’alimentation.","Chirurgie palliative de dernier recours."
"intubation endoscopique","Mise en place d’un tube rigide après dilatation.","Permet la descente des aliments en palliatif."
"radiothérapie","Traitement par rayonnements.","Le cancer épidermoïde est radiosensible et théoriquement radiocurable."
"chimiothérapie","Traitement médicamenteux anticancéreux.","Méthode palliative."
"radiochimiothérapie","Association de radiothérapie et chimiothérapie.","Méthode palliative."
"survie à 5 ans","Pourcentage de patients vivants 5 ans après diagnostic.","30‑35% pour les formes curables, 10% pour l’ensemble de la population."
