"term","definition","contextual_explanation"
"abcès du foie","Collection purulente localisée dans le parenchyme hépatique.","Problème diagnostique et thérapeutique, avec deux types principaux : pyogénique et amibien."
"pyogénique","Qui produit du pus, en rapport avec des germes suppuratifs.","Abcès à germes pyogèniques : lobe droit 3 fois plus touché, taille de 1 mm à plusieurs cm, germes aérobies et anaérobies."
"amibiase","Infection due à Entamoeba histolytica.","Abcès amibien provient de l’amibiase intestinale (e.h.h)."
"e.h.h","Entamoeba histolytica (abrégé).","Agent responsable de l’amibiase intestinale donnant secondairement un abcès amibien du foie."
"CMV","Cytomégalovirus.","Rare cause d’abcès du foie, mentionné avec les champignons."
"physiopathologie","Étude des mécanismes aboutissant à la maladie.","Met en jeu la présence des germes et la vulnérabilité du foie."
"parenchyme hépatique","Tissu fonctionnel du foie.","L’envahissement se fait à partir du système porte, des voies biliaires, de l’artère hépatique, d’une extension directe ou d’un traumatisme."
"système porte","Veine porte et ses afférences, drainant le tube digestif vers le foie.","Une des voies d’envahissement du parenchyme hépatique dans l’abcès."
"voies biliaires","Canaux transportant la bile depuis le foie vers l’intestin.","Voie d’entrée des germes dans le foie."
"artère hépatique","Vaisseau sanguin apportant le sang artériel au foie.","Lors d’une septicémie généralisée, peut véhiculer des germes vers le foie."
"septicémie généralisée","Infection sévère avec dissémination hématogène de germes.","Permet l’envahissement du foie par l’artère hépatique."
"sous‑hépatique","Situé en dessous du foie.","Infection sous‑hépatique peut s’étendre directement au foie."
"sous‑diaphragmatique","Situé en dessous du diaphragme, au‑dessus du foie.","Infection sous‑diaphragmatique (= sus‑hépatique) donne une extension directe."
"lobe droit","Partie droite du foie.","Dans l’abcès pyogénique, touché 3 fois plus que le lobe gauche. Dans l’abcès amibien, cavité large dans le lobe droit."
"lobe gauche","Partie gauche du foie.","Moins fréquemment touché dans l’abcès pyogénique."
"Escherichia coli","Bactérie aérobie gram négatif.","Germe le plus rencontré dans les abcès pyogéniques."
"Klebsiella","Bactérie aérobie.","Germe fréquent des abcès pyogéniques."
"entérocoque","Bactérie aérobie ou anaérobie facultative.","Germe des abcès pyogéniques."
"anaérobies","Bactéries se développant sans oxygène.","Dans les abcès pyogéniques : Bacteroides, streptocoque, association Anaérobie‑Fusobacterium."
"Bacteroides","Genre de bactéries anaérobies.","Identifié dans les abcès pyogéniques."
"streptocoque","Bactérie anaérobie (certaines espèces).","Présent dans les abcès pyogéniques."
"Fusobacterium","Genre de bactéries anaérobies.","Possible association Anaérobie‑Fusobacterium dans les abcès pyogéniques."
"pus chocolaté","Pus de couleur brunâtre caractéristique.","Observé dans l’abcès amibien."
"défense de l’hypochondre droit","Contracture ou sensibilité à la palpation de la région sous les côtes droites.","Signe physique de l’abcès du foie."
"matité hépatique","Son mat à la percussion au niveau du foie.","Peut être révélé à l’examen physique."
"ictère","Coloration jaune de la peau et des muqueuses par hyperbilirubinémie.","Signe physique possible mais éventuel seulement."
"échographie","Technique d’imagerie utilisant les ultrasons.","Examen le plus utile en première intention, sensibilité 85‑95 %, permet biopsie échoguidée."
"biopsie échoguidée","Prélèvement tissulaire réalisé sous guidage échographique.","Permise par l’échographie pour confirmer le diagnostic."
"scanner abdominal","Tomodensitométrie de l’abdomen.","Examen le plus sensible (95‑100 %), permet diagnostic et intervention thérapeutique."
"scintigraphie au Technétium","Imagerie utilisant un traceur radioactif (technétium).","Technique sensible, alternative à l’échographie et au scanner."
"IRM","Imagerie par résonance magnétique.","Autre technique d’imagerie mentionnée comme possible."
"drainage externe","Évacuation du pus par un dispositif extérieur.","Traitement standard des abcès pyogéniques, associé à l’antibiothérapie."
"antibiothérapie","Traitement par antibiotiques.","Intra‑veineuse pour les abcès pyogéniques, avec schéma spécifique."
"aminoglycoside","Classe d’antibiotiques (gentamycine, amikacine).","Partie du schéma thérapeutique des abcès pyogéniques."
"gentamycine","Aminoglycoside.","Exemple d’aminoglycoside utilisé."
"amikacine","Aminoglycoside.","Exemple d’aminoglycoside utilisé."
"pénicilline","Antibiotique de la famille des bêta‑lactamines.","Associé dans le schéma thérapeutique des abcès pyogéniques."
"antibiogramme","Test de sensibilité aux antibiotiques.","Permet de corriger le schéma thérapeutique initial."
"voie percutanée","Technique traversant la peau.","Une des méthodes de drainage, alternative à la chirurgie."
"amoebicides","Médicaments tuant les amibes.","Traitement de choix pour l’abcès amibien non compliqué."
"métronidazole","Antiparasitaire et antibactérien.","Meilleur traitement de l’abcès amibien : 750 mg trois fois par jour pendant une à deux semaines, oral ou IV."
"émétine","Médicament amoebicide.","Traitement de recours de l’abcès amibien."
"déhydroémétine","Dérivé de l’émétine, amoebicide.","Médicament de recours."
"chloroquine","Antipaludéen également amoebicide.","Médicament de recours."
"hyperleucocytose","Augmentation du nombre de globules blancs dans le sang.","Critère de réponse clinique : sa disparition indique l’efficacité du traitement."
"surinfection","Infection surajoutée sur une lésion existante.","La mortalité de l’abcès amibien est faible s’il n’y a pas de surinfection."
