question, answer, explanation, difficulty
"La puberté précoce chez la fille est définie par l'apparition des caractères sexuels secondaires avant 9 ans.", False, "Le document : 'avant l'âge de 8 ans'", "Easy"
"Les pubertés précoces centrales sont LH-RH indépendantes.", False, "Le document : 'LH-RH dépendantes'", "Easy"
"Le prémature thélarche correspond à un développement isolé des seins.", True, "Le document : 'développement prématuré isolé des seins (prémature thélarche)'", "Easy"
"Un taux d'estradiol > 25 pg/ml est évocateur d'une activité ovarienne dans les pubertés précoces centrales.", True, "Le document : 'taux plasmatique d'estradiol est souvent élevé, > 25 pg/ml'", "Easy"
"L'échographie pelvienne montre une atrophie utérine dans les pubertés précoces centrales.", False, "Le document : 'augmentation du volume de l'utérus, hauteur utérine > 30 mm'", "Easy"
"Dans le test au LH-RH de type pubertaire, le pic de FSH est supérieur au pic de LH.", False, "Le document : 'un pic de LH > au pic de FSH'", "Easy"
"Le test au LH-RH est plat dans les pseudo-pubertés précoces.", True, "Le document : 'test au LH-RH plat (absence totale de réponse des gonadotrophines)'", "Easy"
"70 à 80% des pubertés précoces centrales chez la fille sont idiopathiques.", True, "Le document : '70 à 80% des pubertés précoces centrales sont idiopathiques'", "Easy"
"Un gliome des voies optiques peut être associé à des tâches café au lait.", True, "Le document : 'multiples tâches café au lait'", "Easy"
"Le traitement d'un gliome des voies optiques est une irradiation à 30 grays.", False, "Le document : 'environ 50 grays'", "Easy"
"Les pseudo-pubertés précoces hétérosexuelles sont liées à une sécrétion excessive d'œstrogènes.", False, "Le document : 'secondaires à une sécrétion excessive d'androgènes surrénaliens'", "Easy"
"Le retard pubertaire est défini par l'absence de développement mammaire à 13 ans.", True, "Le document : 'absence de tout développement mammaire à l'âge de 13 ans'", "Easy"
"Le syndrome de Turner est la cause la plus fréquente d'insuffisance gonadique primitive.", True, "Le document : 'Syndrome de Turner : cause la plus fréquente'", "Easy"
"Les kystes ovariens peuvent être responsables de pseudo-pubertés précoces isosexuelles.", True, "Le document : 'Kystes ovariens' dans étiologies des PPP isosexuelles", "Medium"
"L'absence de réponse des gonadotrophines caractérise les pubertés précoces périphériques.", True, "Le document : 'Absence de réponse des gonadotrophines'", "Medium"
"Une avance de l'âge osseux supérieure à 1 an par rapport à l'âge chronologique est un argument pour une puberté évolutive.", False, "Le document : 'supérieure à 2 ans'", "Medium"
"L'IRM cérébrale n'est pas nécessaire chez une fille ayant une puberté précoce centrale idiopathique.", False, "Le document : 'L'imagerie cérébrale systématique découvre la lésion' – systématique", "Medium"
"Les métrorragies peuvent survenir rapidement dans les pubertés précoces centrales.", True, "Le document : 'Des métrorragies peuvent survenir rapidement'", "Medium"
"Le prémature adrénarche correspond à une pilosité pubienne et axillaire précoce isolée.", True, "Le document : 'pilosité pubienne et axillaire précoce isolée (prémature adrénarche)'", "Easy"
"Les pubertés précoces dissociées correspondent à un développement complet et harmonieux de la puberté.", False, "Le document : 'Développement précoce d'un des caractères sexuels jusqu'à la survenue de la puberté à un âge normal'", "Medium"
"Une hydrocéphalie peut être une cause de puberté précoce centrale.", True, "Le document liste 'Hydrocéphalie' parmi étiologies de PPC", "Medium"
"Les tumeurs surrénaliennes peuvent être responsables de pubertés précoces périphériques.", True, "Le document : 'Tumeurs surrénaliennes'", "Medium"
"L'IGF I est souvent bas dans les pubertés précoces centrales.", False, "Le document : 'Le taux plasmatique d'IGF I est souvent élevé'", "Medium"
"Un déficit en 17-α-hydroxylase peut entraîner un hypogonadisme.", True, "Le document liste déficit en 17-α-hydroxylase parmi étiologies", "Difficult"
"La galactosémie centrale congénitale peut entraîner une insuffisance ovarienne acquise.", True, "Le document : 'Au cours de la galactosémie centrale congénitale'", "Medium"
"Les pubertés précoces périphériques sont plus fréquentes que les pubertés précoces centrales.", False, "Le document : 'Rares par rapport aux pubertés centrales'", "Medium"
"L'index de maturation > 40 sur le frottis vaginal oriente vers une activité gonadique.", True, "Le document : 'index de maturation > 40'", "Medium"
"Une sclérose tubéreuse de Bourneville peut être associée à une puberté précoce centrale.", True, "Le document liste 'Sclérose tubéreuse de Bourneville'", "Medium"
"L'échographie pelvienne dans les pubertés précoces centrales montre un col plus large que le corps utérin.", False, "Le document : 'le corps devient plus large que le col'", "Medium"
"Dans le test au LH-RH de type prépubère, la réponse de FSH est supérieure à celle de LH.", True, "Le document : 'Type prépubère : une réponse de FSH > à celle de LH'", "Difficult"
