"question","answer","explanation","difficulty"
"Pourquoi le cancer du larynx est-il plus fréquent chez l''homme de 45 à 70 ans ?","La prédominance masculine et la tranche d''âge 45-70 ans s''expliquent par l''exposition cumulative au tabac et à l''alcool, principaux facteurs de risque. L''effet carcinogène nécessite plusieurs décennies d''exposition.","Le document associe le cancer du larynx au tabagisme et à l''abus d''alcool avec une prédominance masculine et un pic d''âge à 45-70 ans, correspondant à une exposition prolongée.","Easy"
"Quels sont les trois étages du larynx ?","Les trois étages sont : supra-glottique (épiglotte, replis aryépiglottiques, aryténoïdes, bandes ventriculaires, ventricules), glottique (plis vocaux, commissures antérieure et postérieure), et infra-glottique (du bord inférieur des plis vocaux au premier anneau trachéal).","Le document liste explicitement ces trois localisations anatomiques avec leurs structures.","Easy"
"Citez trois facteurs professionnels favorisant le cancer du larynx.","Acide sulfurique, amiante, formaldéhyde, poussières textiles ou poussières de charbon (trois au choix).","Le document mentionne spécifiquement ces facteurs professionnels.","Easy"
"Quel est l''intérêt de la recherche de cancers métachrones dans le suivi d''un patient traité pour cancer du larynx ?","Les cancers métachrones sont d''autres localisations cancéreuses sur les muqueuses ayant subi les mêmes agressions (tabac, alcool). Leur recherche permet un diagnostic précoce de second cancer primitif, améliorant le pronostic global.","Le document définit les cancers métachrones et souligne l''importance de l''examen des VADS.","Easy"
"Pourquoi la dyspnée laryngée est-elle une bradypnée inspiratoire ?","La dyspnée laryngée est une bradypnée inspiratoire car l''obstruction laryngée ralentit le flux d''air à l''inspiration. La fréquence respiratoire diminue (bradypnée) et l''inspiration est prolongée.","Le document précise ce type respiratoire, relevant de la physiopathologie obstructive laryngée.","Medium"
"Expliquez pourquoi l''étage glottique a un faible risque métastatique ganglionnaire comparé aux autres étages.","L''étage glottique possède un réseau lymphatique quasi-inexistant, contrairement aux étages sus- et sous-glottiques qui drainent vers les chaînes cervicales. Seule l''atteinte de la commissure antérieure peut donner un ganglion prélaryngé.","Le document indique explicitement le faible drainage lymphatique de la glotte.","Medium"
"Quelle est la différence fondamentale entre T3 et T4a dans la classification TNM du larynx ?","T3 est limité au larynx avec fixation glottique ou lyse minimale du cartilage (corticale interne). T4a franchit le cartilage (atteinte complète du thyroïde) ou envahit les tissus extra-laryngés (muscles sous-hyoïdiens, thyroïde, œsophage).","Le document montre que T3 reste laryngé, T4a devient extra-laryngé.","Medium"
"Pourquoi la laryngoscopie directe en suspension est-elle l''examen clé pour le diagnostic ?","Elle permet une biopsie sous anesthésie générale, garantissant des prélèvements de qualité et une exploration complète des trois étages, indispensable pour le diagnostic histologique et le bilan d''extension locorégional.","Le document précise ''LDS sous AG avec biopsie +++'' comme moyen diagnostique de référence.","Medium"
"Quelles sont les deux principales voies d''extension métastatique du cancer du larynx ?","1) Voie lymphatique : adénopathies cervicales (aires II et IV surtout). 2) Voie hématogène : métastases viscérales, d''abord pulmonaires, puis osseuses et hépatiques.","Le document détaille extension ganglionnaire par étage et métastases viscérales par ordre de fréquence.","Medium"
"Quel est le mécanisme expliquant la radio-indiction d''un cancer du larynx ?","Les rayonnements ionisants provoquent des cassures de l''ADN et des mutations sur les cellules souches laryngées. Après un délai de plusieurs années, une cellule mutée peut dégénérer en cancer, d''où le terme ''cancer radio-induit''.","Le document mentionne ''Irradiation cervicale antérieure : cancer radio-induit'' – explication mécanistique requise.","Medium"
"Pourquoi les carcinomes épidermoïdes sont-ils prédominants dans le larynx ?","La muqueuse laryngée est un épithélium malpighien stratifié, exposé directement aux carcinogènes inhalés (tabac, toxiques professionnels). La transformation malpighienne est la réponse naturelle à l''agression chronique, expliquant la prédominance des carcinomes épidermoïdes (90%).","Le document indique 90% de carcinomes épidermoïdes ; le lien avec l''épithélium exposé est à inférer.","Medium"
"Quel est le rôle de la RCP dans la prise en charge ?","La RCP (Réunion de Concertation Pluridisciplinaire) réunit oncologues, ORL, radiothérapeutes, anatomopathologistes pour discuter chaque cas. Elle permet une décision collégiale tenant compte de la localisation, l''extension, l''état général et les souhaits du patient.","Le document indique que les indications sont prises lors d''une RCP.","Medium"
"Comment interpréter un T2 de l''étage supra-glottique avec mobilité normale ?","T2 supra-glottique signifie que la tumeur envahit plus d''une sous-localisation supra-glottique ou s''étend à la glotte ou en extra-glottique, mais les plis vocaux conservent une mobilité normale, ce qui est un élément pronostique favorable.","D''après la définition du document : T2 supra-glottique avec mobilité normale des plis vocaux.","Medium"
"Pourquoi les adénopathies des aires II et IV sont-elles les plus proches du larynx ?","Les aires II (sous-digastriques) et IV (sus-claviculaires) correspondent au drainage des chaînes jugulaires interne et externe, qui collectent la lymphe des étages sus- et sous-glottiques. Leur proximité anatomique explique leur atteinte précoce.","Le document indique que ce sont les plus proches – justification anatomique.","Medium"
"Quelle est la particularité du carcinome à cellules fusiformes ?","C''est une tumeur d''aspect polypoïde, siégeant surtout au niveau de la glotte, avec un haut risque métastatique. Son aspect macroscopique peut mimer une lésion bénigne, d''où un risque de diagnostic tardif.","Le document précise ''aspect polypoïde et à haut risque métastatique''.","Medium"
"Un patient non-fumeur, non-buveur, avec un RGO sévère non traité depuis 20 ans, développe un cancer du larynx. Expliquez le lien.","L''exposition chronique de la muqueuse laryngée aux acides gastriques par le reflux (RGO) entraîne une inflammation persistante, une métaplasie et des lésions de l''ADN. À long terme, cette irritation chronique peut favoriser la dégénérescence maligne, même sans tabac ni alcool.","Le RGO est listé comme facteur favorisant – mécanisme d''inflammation chronique.","Medium"
