"question","answer","explanation","difficulty"
"Citez quatre méthodes d'évaluation de la croissance chez l'enfant.","1. Courbe de croissance (poids, taille, PC) ; 2. Taille cible génétique ; 3. Âge osseux (Greulich et Pyle) ; 4. IMC.","Document: 'Méthodes d'évaluation'","Easy"
"Quels sont les 4 facteurs de contrôle de la croissance ?","Génétiques et raciaux, nutritionnels, psycho-affectifs, hormonaux.","Document: 'Facteurs de contrôle de la croissance'","Easy"
"Quelles sont les 3 phases de la croissance post-natale ?","1. Croissance rapide de 0 à 4 ans ; 2. Phase de croissance linéaire de 4 ans à la puberté (5-6 cm/an) ; 3. Poussée pubertaire (7-9 cm/an) ; 4. Phase post-pubertaire (1 cm/an).","Document: 'Physiologie de la croissance staturale'","Easy"
"Comment calcule-t-on la taille cible génétique chez un garçon et une fille ?","Garçon : (taille père + taille mère)/2 + 6,5 ; Fille : (taille père + taille mère)/2 - 6,5.","Document: 'Taille cible génétique'","Easy"
"Quel est le diagnostic positif d'un retard de croissance ?","Taille < -2 DS ou IMC < 3ème percentile, ralentissement de la vitesse de croissance, croissance staturale inférieure ou égale à -1,5 DS par rapport à la taille cible génétique.","Document: 'DIAGNOSTIC POSITIF'","Easy"
"Citez 5 causes endocriniennes de retard de croissance.","1. Hypothyroïdies (congénitale, acquise) ; 2. Hypercorticisme (iatrogène, endogène) ; 3. Déficit en hormone de croissance (congénital, secondaire) ; 4. Retard simple de puberté ; 5. Craniopharyngiome.","Document: 'Causes endocriniennes'","Easy"
"Quels sont les 4 paramètres à évaluer sur la courbe de croissance ?","Poids, taille, périmètre crânien, IMC.","Document: 'Courbe de croissance : Évaluer les paramètres poids, taille, périmètre crânien'","Easy"
"Quel est le rythme de surveillance de la croissance chez l'enfant de moins de 6 mois ?","Tous les mois.","Document: 'Tous les mois jusqu'à 6 mois'","Easy"
"Quels sont les repères de taille et poids à 1 an ?","Taille : 75 cm, Poids : 10 kg (PN x 3).","Document: 'Tableau : Repères de croissance'","Easy"
"Quel est l'intérêt de l'âge osseux ?","Évaluer la maturation osseuse, rechercher une perte progressive de l'avance de la maturation, comparer à l'âge chronologique.","Document: 'Âge osseux : Évaluation de la maturation osseuse ; Permet de rechercher une perte progressive de l'avance de la maturation'","Easy"
