"term","definition","contextual_explanation"
"détresse respiratoire du nouveau-né (DR du NN)","Toutes difficultés respiratoires survenant à la naissance ou dans les heures ou jours suivant la naissance.","Première cause de mortalité et morbidité néonatale (surtout si associée à prématurité ou hypotrophie). Doit être reconnue précocement."
"polypnée","Fréquence respiratoire > 60 cpm à plusieurs reprises (normale : 40-60 cpm).","Un des trois symptômes de la DR du NN. Risque d’épuisement si rythme irrégulier avec bradypnée ou apnée."
"cyanose","Coloration anormalement bleutée des téguments (visage, lèvres, langue, ongles).","Un des trois symptômes de la DR. Pièges : nouveau-né polyglobulique, anémie importante. Si cyanose isolée non améliorée par O2 → suspecter cardiopathie congénitale cyanogène."
"signes de lutte","Signes cliniques de difficulté respiratoire évalués par le score de Silverman.","Troisième symptôme de la DR."
"score de Silverman","Score clinique évaluant les signes de lutte respiratoire chez le nouveau-né.","Permet de quantifier la sévérité de la DR."
"épuisement respiratoire","Détérioration de l’effort respiratoire menant à l’arrêt.","Signes : irrégularité respiratoire, gasping, apnée. Nécessite assistance respiratoire immédiate."
"bradycardie","Fréquence cardiaque < 100 battements par minute.","Signe de gravité cardiaque dans la DR."
"tachycardie","Fréquence cardiaque > 180 battements par minute.","Signe de gravité cardiaque."
"TRC","Temps de recoloration cutanée.","Allongé dans les troubles hémodynamiques (signe de gravité)."
"gasping","Respiration agonique, irrégulière, avec efforts inspiratoires rares et profonds.","Signe d’épuisement respiratoire."
"désobstruction des VAS","Aspiration des sécrétions des voies aériennes supérieures (oro-pharynx et narines).","Mesure générale d’urgence devant une DR."
"sonde gastrique","Sonde placée dans l’estomac pour vidanger le contenu gastrique.","Ne jamais ventiler sur un estomac plein. Mesure d’urgence."
"ventilation au masque","Ventilation manuelle avec un insufflateur de type Ambu.","Contre-indiquée en cas d’inhalation méconiale, pneumothorax, hernie diaphragmatique congénitale."
"intubation","Placement d’une sonde endotrachéale pour ventilation assistée.","Indiquée si DR sévère persistante à M3-M4, score IS>5, épuisement, désaturation, bradycardie."
"hyperoxie","Excès d’oxygène dans les tissus.","Chez le prématuré, l’hyperoxie (SpO2 >98%) entraîne un risque de rétinopathie du prématuré et de cécité."
"rétinopathie du prématuré","Maladie oculaire liée à l’hyperoxie chez le prématuré.","Complication grave de l’oxygénothérapie excessive. Cécité possible."
"maladie des membranes hyalines (MMH)","Détresse respiratoire liée à un déficit fonctionnel en surfactant.","Survient surtout chez le prématuré (<32 SA : 30-50%, <35 SA : 5-10%). Prévention par corticothérapie anténatale avant 34 SA. Traitement : surfactant exogène intratrachéal."
"surfactant exogène","Substance tensio-active administrée par voie intratrachéale.","Traitement spécifique de la MMH."
"geignement expiratoire","Bruit expiratoire audible à distance, témoin d’un freinage glottique.","Signe clinique de la MMH."
"bronchogramme aérien","Signe radiologique : visualisation des bronches aériques au sein d’un poumon opaque.","Présent dans la MMH (syndrome alvéolaire diffus)."
"opacités en microgranite","Opacités fines, diffuses, bilatérales et symétriques.","Signe radiologique de la MMH."
"infection materno-fœtale (IMF)","Infection transmise de la mère au fœtus.","Évoquée devant prématurité inexpliquée, rupture prématurée des membranes, portage streptocoque B, hyperthermie maternelle ou chorioamniotite."
"chorioamniotite","Infection des membranes et du liquide amniotique.","Facteur de risque d’IMF chez le nouveau-né."
"inhalation méconiale","Inhalation de liquide amniotique méconial par le nouveau-né.","Nouveau-né à terme. Contre-indication formelle de la ventilation au masque. Traitement : aspiration oro-pharyngée et trachéo-bronchique."
"liquide amniotique méconial","Liquide amniotique teinté par le méconium (premières selles du fœtus).","Signe de souffrance fœtale, facteur de risque d’inhalation."
"opacités en mottes","Images radiologiques d’opacités bilatérales diffuses non confluentes.","Caractéristique de l’inhalation méconiale."
"retard de résorption du liquide pulmonaire (DR transitoire)","Cause de DR par persistance anormale du liquide pulmonaire.","Diagnostic d’élimination. Survient surtout après césarienne. Évolution favorable en 1-2 jours sous oxygénothérapie."
"images interstitielles hilifuges","Stries rayonnant à partir des hiles pulmonaires.","Aspect radiologique du retard de résorption."
"pneumothorax","Présence d’air dans la cavité pleurale.","Complication de MMH ou de réanimation néonatale. Se manifeste par distension thoracique unilatérale. Traitement : exsufflation et drain si compressif."
"exsufflation à l’aiguille","Ponction évacuatrice d’urgence d’un pneumothorax sous pression.","Réaliser en urgence devant un pneumothorax compressif."
"drain thoracique","Tube placé dans la cavité pleurale pour évacuer l’air ou le liquide.","Après exsufflation, mise en place d’un drain thoracique."
"hernie diaphragmatique congénitale","Passage des viscères abdominaux dans le thorax par un orifice du diaphragme.","Souvent gauche. Abdomen plat, déviation des bruits du cœur, DR immédiate sévère. Contre-indication de la ventilation au masque. Radiographie : aérations digestives dans le thorax."
"atrésie de l’œsophage","Malformation avec interruption de la continuité de l’œsophage.","Cause malformative de DR."
"atrésie des choanes","Malformation avec obstruction des choanes (orifices postérieurs des fosses nasales).","Cause malformative ORL."
"syndrome de Pierre Robin","Triade : glossoptose, fente palatine, microrétrognatisme.","Cause malformative de DR par obstruction des voies aériennes."
"glossoptose","Position anormalement reculée de la langue.","Élément du syndrome de Pierre Robin, pouvant obstruer les voies aériennes."
"microrétrognatisme","Mâchoire inférieure anormalement petite et reculée.","Élément du syndrome de Pierre Robin."
"rhinite obstructive","Obstruction nasale par inflammation ou sécrétions.","Cause de DR chez le nouveau-né."
"causes centrales","Atteinte du système nerveux central responsable d’une DR.","Exemples : nouveau-né de mère ayant reçu des sédatifs, maladie neuromusculaire."
