"front","back","cognitive_level"
"Quelle est la définition d’un ulcère gastroduodénal ?","Perte de substance circonscrite atteignant la musculeuse, remplacée par une sclérose.","Recall"
"Quels sont les deux types d’ulcères et leur fréquence relative à Madagascar ?","Ulcère duodénal et ulcère gastrique. À Madagascar, c’est la première pathologie digestive.","Recall"
"Quels sont les facteurs d’agression et les facteurs de défense de la muqueuse gastroduodénale ?","Facteurs d’agression : acide chlorhydrique, pepsine. Facteurs de défense : mucus riche en bicarbonate, microvascularisation, prostaglandines E1/E2 (stimulent mucus), sécrétion bicarbonatée biliaire et pancréatique.","Understanding"
"Quel est le principal facteur infectieux responsable des ulcères gastroduodénaux ?","Helicobacter pylori : bacille Gram négatif, mobile (flagelle), sécrète l’uréase, adhère à la muqueuse gastrique (surtout antre). Responsable de 90% des ulcères duodénaux et 70% des ulcères gastriques.","Recall"
"Quels sont les modes de transmission d’Helicobacter pylori ?","Transmission interhumaine : oro-orale (salive) et oro-fécale (selles).","Recall"
"Quelle est la prévalence d’Helicobacter pylori à Madagascar ?","82% (étude 5ème année médecine 2008). En France : 30%.","Recall"
"Quels sont les mécanismes physiopathologiques d’Helicobacter pylori sur la muqueuse ?","Altération des défenses muqueuses : inhibition de la synthèse de mucine, stimulation de cytokines pro-inflammatoires (IL-8). Augmentation de la sécrétion acide.","Recall"
"Citez trois facteurs exogènes favorisant l’ulcère en dehors d’Helicobacter pylori.","Tabac (vasoconstriction → altération microvascularisation), médicaments (AINS surtout), et plus rarement syndrome de Zollinger-Ellison, hyperparathyroïdie, hypercalcémie, insuffisance rénale chronique, pancréatite alcoolique, cirrhose éthylique.","Recall"
"Quelles sont les caractéristiques de la douleur ulcéreuse typique ?","Épigastrique haute, irradiation dorsale, type crampe/torsion/brûlure. Rythmée par le repas : aggravée par la faim, calmée par les repas et antiacides, survenant 2-4 heures après le repas, parfois nocturne. Périodique (poussées de quelques jours/semaines, accalmies de quelques semaines/mois).","Recall"
"Quel est l’examen clé pour le diagnostic d’ulcère gastroduodénal ?","L’endoscopie digestive haute (fibroscopie). Permet le diagnostic, précise la taille, permet les biopsies (recherche HP).","Recall"
