question, answer, explanation, difficulty
"Le taux de mortalité maternelle à Madagascar est de 498 pour 100.000 naissances vivantes.", True, "Le document : 'Taux à Madagascar : 498/100.000'", "Easy"
"La principale cause de mortalité maternelle à Madagascar est l'infection.", False, "Le document : 'Causes : hémorragie (au cours de l'accouchement)'", "Easy"
"Le besoin en fer élément chez la femme enceinte est de 60-120 mg/j.", True, "Le document : 'Fer : 60 - 120 mg de Fer élément/j'", "Easy"
"La supplémentation en FAF dure 9 mois.", False, "Le document : 'Durée : 06 mois'", "Easy"
"Le TPI débute à 20 SA.", True, "Le document : 'à partir de la 20è SA'", "Easy"
"Le TPI est une prise unique de 3 cp de Sulfadoxine-Pyriméthamine par mois.", True, "Le document : '03 cp en une prise tous les mois'", "Easy"
"La Pyriméthamine est tératogène chez l'humain.", False, "Le document : 'tératogène chez l'animal'", "Medium"
"La VAT2 protège à 80% pendant 3 ans.", True, "Le document : 'VAT2 : 80% protection pendant 03 Ans'", "Easy"
"La VAT3 protège à 90% pendant 5 ans.", True, "Le document : 'VAT3 : 90% protection pendant 05 ans'", "Easy"
"La VAT4 protège à 99% pendant 10 ans.", True, "Le document : 'VAT4 : 99% protection pendant 10 ans'", "Easy"
"Le Mebendazole à 400 mg en dose unique est utilisé pour le déparasitage.", True, "Le document : 'Mebendazole 400 mg, 1 dose'", "Easy"
"Le Misoprostol est administré par voie orale pour l'hémorragie du post-partum.", False, "Le document : 'en Intra-rectal'", "Easy"
"La vaccination VAT commence au 2ème trimestre.", False, "Le document : 'Au T1 : début calendrier vaccinal VAT (10 - 15SA)'", "Easy"
"La supplémentation en FAF commence à 28 SA.", True, "Le document : 'Supplémentation FAF dès 28 SA'", "Easy"
"Le déparasitage est indiqué au 1er trimestre.", False, "Le document : 'Au T3 : Déparasitage'", "Easy"
"La 3ème dose de TPI est indiquée chez la femme VIH positive.", True, "Le document : '3ème si VIH (+)'", "Medium"
"Le tétanos néonatal entre par le cordon ombilical.", True, "Le document : 'Porte d'entrée : cordon ombilical'", "Easy"
"L'anémie pendant la grossesse peut entraîner un faible poids de naissance.", True, "Le document : 'RCIU, faible poids de naissance'", "Easy"
"Le paludisme gestationnel peut entraîner un avortement.", True, "Le document : 'Complications foetales : Avortement'", "Easy"
"Le Misoprostol en intra-rectal est efficace contre l'atonie utérine.", True, "Le document : 'Arrête l'hémorragie en cas d'atonie utérine'", "Medium"
"L'alopécie est un effet secondaire du Mebendazole en traitement prolongé.", True, "Le document : 'alopécie en traitement prolongé'", "Medium"
"Les effets secondaires du FAF sont essentiellement digestifs.", True, "Le document : 'Effets secondaires : digestifs +++'", "Easy"
"Le tétanos maternel n'existe plus à Madagascar.", False, "Le document : 'Existe encore'", "Easy"
"L'OMD 5 vise à réduire la mortalité infantile.", False, "Le document : 'OMD 5 : améliorer la santé maternelle'", "Easy"
"L'OMD 4 vise à réduire la mortalité infantile.", True, "Le document : 'OMD 4 : Réduire la mortalité infantile'", "Easy"
"La VAT1 confère une protection de 80% dès la première dose.", False, "Le document : 'VAT1 : NEANT, 0% protection'", "Easy"
"Le Mebendazole a un effet tératogène établi chez l'humain.", False, "Le document : 'effet tératogène non établi'", "Medium"
"Le Misoprostol provoque des contractions utérines.", True, "Le document : 'car provoque un effet de contraction plus ou moins permanente de l'utérus'", "Easy"
"Les femmes enceintes doivent recevoir du FAF pendant 6 mois.", True, "Le document : 'Durée : 06 mois'", "Easy"
"Le TPI est administré à 20, 24 et 28 SA.", True, "Le document : 'à partir de la 20è SA (20, 24, 28)'", "Easy"
