question, answer, explanation, difficulty
"La grossesse est considérée comme une maladie dans 95% des cas.", False, "Le document : 'La grossesse n'est pas une maladie : 95% des grossesses sont à bas risque'", "Easy"
"Le suivi prénatal comprend 7 consultations.", True, "Le document : '7 consultations'", "Easy"
"L'échographie du 1er trimestre permet de mesurer la clarté nucale.", True, "Le document : 'avec mesure de clarté nucale'", "Easy"
"L'échographie du 2ème trimestre est une échographie biométrique.", False, "Le document : 'échographie morphologique du 2ème trimestre'", "Easy"
"L'échographie du 3ème trimestre est une échographie biométrique.", True, "Le document : 'échographie obstétricale du 3ème trimestre (échographie biométrique)'", "Easy"
"La déclaration de grossesse doit être faite avant 20 SA.", False, "Le document : 'avant 16 SA'", "Easy"
"La vaccination antigrippale est recommandée pendant la grossesse.", True, "Le document : 'Vaccination antigrippale maternelle (recommandée quel que soit le stade de la grossesse)'", "Easy"
"Le dépistage du diabète gestationnel est systématique pour toutes les femmes.", False, "Le document : 'si FDR de diabète gestationnel'", "Easy"
"La supplémentation en acide folique est recommandée jusqu'à 12 SA.", True, "Le document : 'Supplémentation en acide folique jusqu'à 12 SA'", "Easy"
"Les rapports sexuels sont interdits pendant la grossesse.", False, "Le document : 'Rapports sexuels autorisés (sans excès, sans danger)'", "Easy"
"La consultation post-natale doit avoir lieu dans les 8 semaines suivant l'accouchement.", True, "Le document : 'Doit avoir lieu dans les 8 semaines suivant l'accouchement'", "Easy"
"Le terme de la grossesse à Madagascar est 41 SA.", False, "Le document : 'Terme Malagasy : 40SA (DPA)'", "Easy"
"Le dépassement de terme commence à 42 SA.", False, "Le document : '41SA (début de la période de dépassement de terme)'", "Easy"
"La prophylaxie de la carence martiale débute à 28 SA avec 60 mg/j de fer.", True, "Le document : 'Systématique à partir de 28 SA : traitement prophylactique : 60mg/j'", "Medium"
"Les femmes Rh négatif avec RAI négative et fœtus Rh positif reçoivent des gammaglobulines anti-D à 28 SA.", True, "Le document : 'injection IV de Rophylac* 300µg à 28 SA'", "Medium"
"Le frottis cervico-utérin est obligatoire à chaque grossesse.", False, "Le document : 'FCU si dernier FCU > 3 ans'", "Medium"
"La toxoplasmose est dépistée par sérologie tous les mois chez les femmes séronégatives.", True, "Le document : 'répétée tous les mois'", "Easy"
"Les fromages non pasteurisés sont autorisés pendant la grossesse.", False, "Le document : 'Eviter les fromages non pasteurisés'", "Easy"
"La consommation d'alcool est autorisée avec modération pendant la grossesse.", False, "Le document : 'Arrêt de l'alcool'", "Easy"
"Les mouvements actifs fœtaux sont perçus vers 20 SA.", True, "Le document : 'mouvements actifs foetaux (MAF) perçus le plus souvent à partir de 20 SA'", "Easy"
"L'embryon a une activité cardiaque visible à 6 SA.", False, "Le document : '7SA : embryon avec activité cardiaque'", "Medium"
"Le groupe sanguin et RAI sont déterminés une seule fois pendant la grossesse.", False, "Le document : '1ère détermination à la 1ère consultation, 2ème détermination à la 5ème consultation (28-32 SA)'", "Medium"
"Le prélèvement vaginal pour streptocoque B se fait au 8ème mois.", True, "Le document : 'Prélèvement vaginal : dépistage du portage vaginal de Streptocoque B' au 8ème mois", "Easy"
"Le traitement du streptocoque B est systématique dès la découverte.", False, "Le document : 'qu'il faut traiter uniquement lors de la mise en travail ou en cas de RPM'", "Medium"
"Les bas de contention sont prescrits pendant le 3ème trimestre.", True, "Le document : 'Prescription de bas de contention à porter pendant le 3ème trimestre de la grossesse'", "Easy"
"La préparation à l'accouchement est proposée à la 6ème consultation.", True, "Le document : 'Information sur les cours de préparation à l'accouchement' à la 6ème consultation", "Medium"
"La consultation préanesthésique (pour péridurale) est prévue au 8ème mois.", True, "Le document : 'Prévoir une consultation préanesthésique (pour la péridurale)' au 8ème mois", "Easy"
"Le congé de maternité débute à 35 SA.", True, "Le document : 'Début du congé de maternité à 35 SA'", "Easy"
"La radiopelvimétrie (Previscan) est systématique au 8ème mois.", False, "Le document : 'pas d'indication de Previscan sauf présentation de siège'", "Medium"
"La grossesse normale peut être suivie par un médecin ou une sage-femme.", True, "Le document : 'prise en charge peut être assurée par un médecin ou une sage-femme'", "Easy"
