"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition du reflux gastro-œsophagien (RGO) selon le document ?","Passage volontaire du contenu gastrique dans l'œsophage","Passage involontaire du contenu gastrique dans l'œsophage à travers le cardia sans effort de vomissement","Remontée de bile dans l'estomac","Contraction anormale de l'œsophage","2","Document : 'Passage involontaire du contenu gastrique dans l’œsophage à travers le cardia sans effort de vomissement'.","Easy"
"Quelle est la prévalence du RGO dans la population adulte ?","1/10","1/4","1/3","1/2","2","Document : 'Fréquente : 1/4 des adultes'.","Easy"
"Quels sont les trois éléments de la triade clinique du RGO ?","Pyrosis, régurgitations acides, syndrome postural","Dysphagie, odynophagie, amaigrissement","Nausées, vomissements, douleur","Fièvre, toux, dyspnée","1","Document : 'TRIADE = Pyrosis, régurgitations acides, syndrome postural'.","Easy"
"Qu'est-ce que le pyrosis ?","Sensation de remontée acide","Brûlure épigastrique remontant en rétrosternal","Douleur thoracique","Goût métallique","2","Document : 'Pyrosis : Brûlure, Point de départ : épigastrique, Trajet rétrosternal ascendant'.","Easy"
"Quel signe clinique est pathognomonique du RGO ?","Régurgitation acide","Pyrosis aggravé par l'antéflexion (syndrome postural)","Dysphagie","Odynophagie","2","Document : 'Aggravé par l’antéflexion : syndrome postural (signe du lacet) ; Pathognomonique'.","Easy"
"Quand les régurgitations acides sont-elles maximales ?","Après les repas","Le matin au réveil","La nuit","En position debout","2","Document : 'Maximales le matin au réveil'.","Easy"
"Quel examen complémentaire est indiqué en première intention devant des signes d'alarme ?","pH-métrie","Fibroscopie digestive haute","Manométrie","Scintigraphie","2","Document : 'Si 1 ou plusieurs éléments : Fibroscopie digestive (FDH)'.","Easy"
"Quels sont les signes d'alarme du RGO ? (Citez trois)","Pyrosis, régurgitations, syndrome postural","Hémorragie digestive, anémie, dysphagie, odynophagie, amaigrissement, résistance au traitement","Brûlures, nausées, vomissements","Toux, dyspnée, enrouement","2","Document : 'Signes d’alarme : Hémorragie digestive, Anémie, dysphagie, Odynophagie, Amaigrissement, Résistance à des traitements symptomatiques antérieurs'.","Easy"
"Quel est le grade A de la classification de Los Angeles pour l'œsophagite peptique ?","Perte de substance circonférentielle","Une ou plusieurs pertes de substance de moins de 5 mm","Une ou plusieurs pertes de substance de plus de 5 mm","Perte de substance s'étendant entre 2 plis muqueux","2","Document : 'Œsophagite Grade A : une ou plusieurs pertes de substance moins de 5 mm'.","Easy"
"Quel est le grade B de la classification de Los Angeles ?","Pertes de substance <5 mm","Pertes de substance >5 mm","Pertes de substance entre 2 plis","Pertes circonférentielles","2","Document : 'Grade B : Une ou plusieurs pertes de substance plus de 5 mm'.","Easy"
