"front","back","cognitive_level"
"Quelle est la définition du cancer de l’estomac ?","Tumeur maligne développée à partir de la paroi gastrique. Il faut exclure les métastases gastriques d’une autre origine et les envahissements par contiguïté.","Recall"
"Quel est le type histologique le plus fréquent du cancer gastrique (en pourcentage) ?","Adénocarcinome (90%).","Recall"
"Quel est le seul traitement potentiellement curatif du cancer de l’estomac ?","La chirurgie d’exérèse.","Recall"
"Quels sont les rangs du cancer gastrique comme cancer digestif en France et à Madagascar ?","3ème cancer digestif en France, 2ème à Madagascar.","Recall"
"Quelle est la survie à 5 ans pour l’ensemble des cancers gastriques, et pour les tumeurs superficielles ?","15% de survie à 5 ans pour l’ensemble ; 90% à 5 ans pour les tumeurs superficielles.","Recall"
"Citez les quatre couches de la paroi gastrique.","Muqueuse, sous-muqueuse, musculeuse, séreuse.","Recall"
"Quelles sont les trois voies d’extension tumorale du cancer gastrique ?","Par contiguïté, par voies lymphatiques, par voie sanguine (métastases).","Recall"
"Où se situe le ganglion de Troisier ?","C’est un ganglion à distance, métastatique, situé sus-claviculaire gauche (non précisé dans le document, mais le document mentionne ""ganglion de Troisier"" comme métastase lymphatique à distance).","Recall"
"Quel est le principal organe des métastases hématogènes du cancer gastrique ?","Le foie (90%).","Recall"
"Qu’est-ce que la tumeur de Krukenberg ?","Métastase ovarienne du cancer gastrique.","Recall"
"Quel est le tableau clinique typique du cancer antro-pylorique ?","Syndrome ulcéreux atypique (douleur non rythmée par le repas), altération de l’état général (amaigrissement, anorexie, anémie), complications (hémorragie, perforation, sténose, métastases), syndrome paranéoplasique, ou découverte fortuite.","Recall"
"Décrivez l’acanthosis nigricans.","Peau noire, rugueuse, crasselée siégeant au niveau des plis (cou et creux axillaires). C’est un syndrome paranéoplasique.","Recall"
"Quel examen paraclinique est primordial pour le diagnostic du cancer gastrique ?","La fibroscopie digestive haute avec biopsies multiples et examen anatomo-pathologique.","Recall"
"Quelles sont les quatre formes macroscopiques du cancer gastrique à la fibroscopie ?","Bourgeonnante, ulcérée, infiltrante, linite gastrique (dure, friable, hémorragique).","Recall"
"Citez quatre types histologiques possibles du cancer gastrique (autres que l’adénocarcinome).","Lymphome non Hodgkinien (3-5%), sarcome, GIST (gastro-intestinal stromal tumor), linite plastique (cellules en ""bague à chaton"").","Recall"
"Dans la classification TNM, que signifie T1 ?","Atteinte du chorion muqueux et de la sous-muqueuse.","Recall"
"Dans la classification TNM, que signifie N2 ?","7 à 15 ganglions envahis.","Recall"
"Quels sont les signes cliniques du cancer du cardia ?","Symptomatologie œsophagienne : dysphagie, éructation, douleur rétrosternale à la déglutition, hoquet.","Recall"
"Pourquoi le cancer de la grosse tubérosité est-il souvent découvert tard ?","Longtemps muet.","Recall"
"Quels sont les trois facteurs environnementaux favorisant le cancer gastrique ?","Alimentation riche en sel, aliments séchés/fumés/riches en nitrate ; reflux biliaire duodéno-gastrique ; tabac, alcool.","Recall"
"Citez trois facteurs gastriques prédisposant au cancer de l’estomac.","Ulcère gastrique, gastrites chroniques atrophiques (due à H. pylori ou maladie de Biermer), maladie de Ménétrier, polypes adénomateux gastriques, moignon de gastrectomie.","Recall"
"Quelle est la séquence évolutive de la gastrite atrophique vers le cancer invasif ?","Gastrite atrophique -> métaplasie intestinale -> dysplasie modérée puis sévère -> cancer in-situ -> cancer invasif.","Recall"
"Quel est le diagnostic différentiel principal du cancer gastrique ?","Ulcère gastrique bénin (épigastralgies à répétition). La fibroscopie avec anatomo-pathologie est nécessaire.","Recall"
"Quels sont les quatre buts du traitement du cancer gastrique ?","Soulager le malade, enlever la tumeur, assurer une bonne continuité digestive, prolonger la survie.","Recall"
"Quelles sont les deux types de gastrectomie curative ?","Gastrectomie des 4/5 (il reste 1/5 supérieur) + anastomose gastro-jéjunale + curage ; gastrectomie totale + anastomose œso-jéjunale + curage.","Recall"
"Qu’est-ce que la gastro-entérostomie de dérivation ?","Anastomose entre l’estomac et le jéjunum permettant au repas de passer directement dans le jéjunum sans passer par le duodénum. C’est une chirurgie palliative.","Recall"
"À quoi correspond le curage D1 ?","Grand épiploon + ganglions 1 à 6 en cas de gastrectomie totale, et groupes 3 à 6 en cas de gastrectomie des 4/5.","Recall"
"Quel est le résultat thérapeutique comparé entre curage D1 et D2 ?","Le résultat après curage D1 n’est pas meilleur que D2.","Recall"
"Quel traitement préventif est nécessaire après gastrectomie totale ?","Vitaminothérapie B12 (1000 µg/mois à vie).","Recall"
"Quelle est l’indication de la mucosectomie endoscopique ?","Tumeur superficielle (T1N0M0).","Recall"
"Pour un cancer antro-pylorique résécable, quelle est la chirurgie standard ?","Gastrectomie des 4/5 + anastomose gastro-jéjunale + curage.","Recall"
"Pour un cancer du 1/3 moyen ou supérieur, ou une linite gastrique, quelle chirurgie ?","Gastrectomie totale + anastomose œso-jéjunale + curage + vitaminothérapie B12.","Recall"
"Quelle est la survie à 5 ans après gastrectomie en général, et pour un cancer superficiel ?","35% après gastrectomie ; >90% si cancer superficiel.","Recall"
"Quelle est la survie spontanée sans traitement d’un cancer gastrique ?","4 mois.","Recall"
"Quelle est la mortalité opératoire du cancer gastrique ?","10% (élevée).","Recall"
"Quelle est la conclusion principale du document concernant l’amélioration du pronostic ?","Importance du dépistage et du traitement préventif des lésions pré-cancéreuses pour un diagnostic précoce.","Recall"
