"front","back","cognitive_level"
"Quelle est la définition des suites de couches ?","Période qui s’étend de l’accouchement au retour de couches (première menstruation normale), vers J45 (42-45) en l’absence d’allaitement maternel.","Recall"
"Quelle est la particularité des premiers cycles après l’accouchement ?","Les premiers cycles sont souvent anovulatoires, mais parfois il y a une ovulation avant le retour de couches.","Recall"
"Quelle est l’évolution de l’involution utérine après l’accouchement ?","Très rapide les 2/3 premières semaines, puis plus lente. L’utérus retrouve sa taille et son poids initiaux 2 mois après l’accouchement.","Recall"
"Quels sont les 9 éléments à surveiller cliniquement dans les premiers jours des suites de couches ?","1) Constantes. 2) Seins. 3) Utérus. 4) Lochies. 5) Périnée (épisiotomie, hémorroïdes). 6) Paroi si césarienne. 7) Mollets (TVP). 8) Signes fonctionnels urinaires. 9) Transit.","Recall"
"Quelles sont les caractéristiques normales des lochies ?","Premiers jours : noirâtres, incoagulables, puis diminution de quantité, deviennent roses, puis claires, puis absentes.","Recall"
"Que sont les tranchées et quel est leur rôle ?","Contractions utérines inévitables permettant la rétraction utérine et l’oblitération des vaisseaux (évitent les hémorragies du post-partum).","Recall"
"Quel est le traitement des tranchées et quel médicament éviter ?","Traitement : paracétamol. Éviter Spasfon.","Recall"
"Pourquoi les tranchées augmentent-elles au moment de l’allaitement ?","Car l’allaitement entraîne une décharge d’ocytocine → augmentation de la contraction utérine.","Understanding"
"Quel est le traitement de l’incontinence urinaire du post-partum ?","Kinésithérapie (rééducation périnéale péri-partum).","Recall"
"Quel est le traitement de la rétention d’urine post-partum ?","Sondage vésical.","Recall"
"Pourquoi la constipation est-elle fréquente après l’accouchement ?","Car le fœtus comprimait le tube digestif pendant la grossesse, et il y a une appréhension (douleur) en cas d’épisiotomie.","Recall"
"Citez quatre traitements de la constipation post-partum.","1) Levers précoces. 2) Aliments riches en fibres. 3) Laxatifs : Lansoyl* gelée. 4) Suppositoires de glycérine, Eductyl*.","Recall"
"Pourquoi les hémorroïdes surviennent-elles pendant la grossesse et l’accouchement ?","Par compression du système veineux au niveau pelvien.","Recall"
"Citez trois traitements des hémorroïdes post-partum.","1) Éviter la constipation. 2) Titanoreine* (suppo ou pommade). 3) Proctolog* (suppo ou pommade). Incision uniquement si thrombose.","Recall"
"Qu’est-ce que le baby blues ?","Syndrome dépressif apparaissant vers J3, dû à la fatigue, aux petits ennuis et aux problèmes affectifs. Souvent chez les femmes à haut niveau socio-économique et intellectuel.","Recall"
"Quels sont les traitements des varices du post-partum ?","1) Activité physique. 2) Douches froides. 3) Surélévation des jambes. 4) Bas de contention.","Recall"
"Citez sept signes cliniques de phlébite post-partum.","1) Douleur unilatérale à type de crampe. 2) Discrète augmentation de la chaleur du mollet. 3) Diminution du ballotement du mollet. 4) Signe de Hommans. 5) Augmentation du pouls. 6) Diminution du périmètre de marche. 7) Œdème dur.","Recall"
"Quelle est la définition d’une hémorragie du post-partum (HPP) ?","Perte sanguine par la filière génitale > 500 ml pendant les premières 24h après l’accouchement. Sévère si > 1000 ml, quelle que soit la voie d’accouchement.","Recall"
"Quelles sont les 4 causes d’hémorragie du post-partum (mnémotechnique 4T) ?","1) Tonus : atonie utérine (cause la plus fréquente). 2) Tissus : rétention placentaire, inversion utérine. 3) Trou : rupture utérine, déchirure cervicale, lésions vaginales/périnéales. 4) Trouble : trouble de la coagulation.","Recall"
"Quelle est la cause la plus fréquente d’HPP ?","L’atonie utérine (Tonus).","Recall"
"Quelle est la porte d’entrée des infections puerpérales ?","Voie vaginale (sauf en cas de césarienne).","Recall"
"Quand administre-t-on des antibiotiques en prévention des infections puerpérales ?","En cas de délivrance artificielle, de révision utérine ou de césarienne.","Recall"
"Quels sont les signes de l’endométrite puerpérale ?","Lochies fétides, hyperthermie, utérus un peu gros, mou et douloureux.","Recall"
"Quel est le traitement de l’endométrite puerpérale ?","Antibiotiques à forte dose.","Recall"
"Quelles sont les trois méthodes contraceptives possibles après l’accouchement ?","1) Contraception locale (barrière : préservatif). 2) Contraception hormonale orale (microprogestatifs si allaitante, œstroprogestatifs minidosés). 3) Stérilet (hormonal ou cuivre – immédiatement ou à 1 mois). 4) Stérilisation (ligature des trompes dans les 7 jours).","Recall"
"Quelle contraception est recommandée chez une femme allaitante ?","Microprogestatifs (Microval, Cézarette).","Recall"
"Quand peut-on poser un stérilet après l’accouchement ?","Immédiatement ou 1 mois après lors de la visite post-natale.","Recall"
"Quand peut-on réaliser une stérilisation (ligature des trompes) après l’accouchement ?","Dans les 7 jours après l’accouchement, sous anesthésie locale ou générale.","Recall"
"Quelle complication de l’endométrite négligée peut survenir ?","Péritonite (risque de septicémie) ou abcès pelvien.","Recall"
"Quels sont les signes d’un abcès pelvien ?","Ballonnement abdominal, signes urinaires, constipation.","Recall"
"Quel est le traitement de la thrombose hémorroïdaire ?","Incision uniquement si thrombose.","Recall"
