"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Selon le document, comment définit-on les glaucomes ?","Toute maladie oculaire avec PIO > 21 mmHg","Toute maladie oculaire où la PIO est supérieure à 21 mmHg associée à un retentissement sur le nerf optique","Toute maladie oculaire avec excavation papillaire","Toute hypertonie oculaire isolée","2","Le document définit : « les glaucomes regroupent toutes maladies oculaires où la pression intra-oculaire est supérieure à 21 mmHg associées à un retentissement sur le nerf optique ».","Easy"
"Quelle est la deuxième cause de cécité dans le monde selon l’OMS d’après le document ?","La cataracte","Le glaucome chronique à angle ouvert","La DMLA","La rétinopathie diabétique","2","Le document précise : « Constitue la 2è cause de la cécité dans le monde selon l’OMS (GCAO), après la cataracte ».","Easy"
"Combien de types de glaucomes existe-t-il selon le document ?","2 types","3 types","4 types","5 types","3","Le document indique : « Il existe 4 types de glaucomes ».","Easy"
"Quelle est la PIO normale chez l’adulte selon le document ?","10 +/- 3 mmHg","15 +/- 5 mmHg","20 +/- 2 mmHg","21 mmHg fixe","2","Le document précise : « La PIO normale chez l’adulte mesure 15 +/- 5 mmHg ».","Easy"
"Quel est le terrain typique décrit pour le glaucome ?","Hypermétrope, femme de la cinquantaine, stressée","Myope, homme de la quarantaine","Hypermétrope, homme âgé","Emétrope, enfant","1","Le document indique : « Terrain : hypermétrope, femme de la cinquantaine, stressée ».","Easy"
"Quelle est la cause rare d’hypertonie oculaire par augmentation de la sécrétion ciliaire ?","Glaucome chronique","Uvéites antérieures aiguës compliquées d’HTO au cours d’une uvéite hypertensive","Glaucome congénital","GAFA","2","Le document précise : « Augmentation de la sécrétion ciliaire : rare dans les uvéites antérieures aiguës compliquées d’HTO au cours d’une uvéite hypertensive ».","Easy"
"Quel est le mécanisme du glaucome chronique à angle ouvert selon le document ?","Obstruction par membrane de Barkan","Sclérose du trabéculum liée à l’âge","Blocage pupillaire","Augmentation de la sécrétion ciliaire","2","Le document indique : « Sclérose du trabéculum liée à l’âge : c’est le mécanisme du glaucome chronique à angle ouvert ».","Easy"
"Quelle est la conséquence d’une PIO > 60 mmHg pendant 12 heures selon le document ?","Cécité réversible","Perte fonctionnelle totale et irréversible","Douleurs intenses sans séquelle","Atrophie optique partielle","2","Le document précise : « Une TO > 60 mmHg pendant 12 h entraîne une perte fonctionnelle totale et irréversible ».","Easy"
"Où l’humeur aqueuse se jette-t-elle après le canal de Schlemm ?","Dans la chambre antérieure","Dans les veines conjonctivales et la circulation générale","Dans la chambre postérieure","Dans le corps vitré","2","Le document indique : « Drainée dans le canal de Schlemm. Elle se jette dans les veines conjonctivales et la circulation générale ».","Easy"
"Quels sont les facteurs de risque vasculaire du glaucome chronique à angle ouvert cités ?","Myopie, astigmatisme","HTA, diabète, tabac, hypercholestérolémie","Âge, sexe","Ménopause, grossesse","2","Le document liste : « Les facteurs de risque vasculaire, d’artériosclérose (HTA, diabète, tabac, hypercholestérolémie) ».","Medium"
"Par quel mécanisme l’âge peut-il provoquer un blocage pupillaire ?","Le cristallin se luxe","Le cristallin s’opacifie et augmente de volume, pouvant provoquer un blocage de l’orifice pupillaire en cas de semi-mydriase","La pupille se rétrécit","L’iris s’atrophie","2","Le document explique : « Avec l’âge, le cristallin s’opacifie et augmente de volume et peut alors provoquer un blocage de l’orifice pupillaire en cas d’association avec un semi-mydriase ».","Medium"
"Quel est le mécanisme de fermeture de l’AIC dans le GAFA chez l’hypermétrope ?","L’œil est trop long en antéro-postérieur","L’œil est trop court en antéro-postérieur, la chambre antérieure est trop plate, et l’angle constitutionnellement étroit","Le trabéculum est sclérosé","Il existe une membrane de Barkan","2","Le document précise : « Fermeture de l’AIC au cours d’un GAFA comme chez l’hypermétrope où l’œil est trop court en antéro-postérieur, la chambre antérieure est trop plate, et l’angle constitutionnellement étroit ».","Medium"
"Comment l’humeur aqueuse circule-t-elle depuis sa sécrétion jusqu’à l’angle ?","Sécrétion par les procès ciliaires → chambre postérieure → pupille → chambre antérieure → angle irido-cornéen → trabéculum → canal de Schlemm","Sécrétion par le trabéculum → chambre antérieure → pupille → canal de Schlemm","Sécrétion par le corps ciliaire → canal de Schlemm → chambre antérieure","Sécrétion par l’iris → chambre postérieure → angle","1","Le document décrit ce trajet complet.","Medium"
"Quelles sont les synéchies irido-cristalliniennes et quelle est leur conséquence ?","Adhérences entre l’iris et la cornée, elles ferment l’angle","Adhérences entre l’iris et le cristallin, compliquant une uvée antérieure aiguë mal traitée, pouvant provoquer un blocage pupillaire","Adhérences entre le cristallin et la zonule, bloquant la sécrétion","Adhérences entre l’iris et la rétine","2","Le document mentionne : « Synéchies irido-cristalliniennes compliquant une uvéite antérieure aiguë mal traitée » parmi les causes de blocage pupillaire.","Medium"
"Pourquoi l’hypertonie oculaire chronique est-elle délétère pour le nerf optique ?","Par compression directe du globe","Par compression des artères de la tête du nerf optique, d’autant plus grave qu’elle est élevée, agissant sur la microcirculation","Par inflammation du nerf","Par dégénérescence axonale primitive","2","Le document indique : « Compression des artères de la tête du nerf optique. L’HTO chronique agit sur la qualité de la microcirculation du nerf optique ».","Difficult"
"Un patient hypertendu, diabétique, tabagique, avec hypercholestérolémie, présente un glaucome chronique à angle ouvert. Quel est le risque surajouté ?","Majoration de l’hypertonie","Aggravation plus rapide de la neuropathie optique par facteurs vasculaires indépendants de la PIO","Risque de fermeture aiguë de l’angle","Risque hémorragique","2","Le document mentionne les facteurs vasculaires comme facteurs de risque du GCAO.","Difficult"
