question, option1, option2, option3, option4, answer, explanation, difficulty
"Quel est le pourcentage de grossesses à 'bas risque' de complications ?", "85%", "90%", "95%", "98%", "3", "Le document : '95% des grossesses sont à "bas risque" de complications maternelle et/ou fœtale'", "Easy"
"Quelle est la définition du 1er trimestre de la grossesse ?", "Avant 12 SA", "Avant 14 SA", "Avant 16 SA", "Avant 18 SA", "3", "Le document : '1er trimestre de la grossesse : avant 16 semaines d'aménorrhées (SA)'", "Easy"
"Quelle est la définition du 2ème trimestre de la grossesse ?", "Entre 12 et 26 SA", "Entre 14 et 28 SA", "Entre 16 et 28 SA", "Entre 18 et 30 SA", "3", "Le document : '2ème trimestre de la grossesse : entre 16 et 28 SA'", "Easy"
"Quelle est la définition du 3ème trimestre de la grossesse ?", "À partir de 26 SA", "À partir de 28 SA", "À partir de 30 SA", "À partir de 32 SA", "2", "Le document : '3ème trimestre de la grossesse : à partir de 28 SA'", "Easy"
"Combien de consultations prénatales (CPN) sont prévues ?", "5", "6", "7", "8", "3", "Le document : 'Le suivi prénatal ou consultation prénatale (CPN) comprend 7 consultations'", "Easy"
"Quel examen de prévention des anomalies du tube neural est prescrit en préconceptionnel ?", "Vitamine B12", "Acide folique", "Vitamine D", "Fer", "2", "Le document : 'La prévention des anomalies du tube neural par prescription d'acide folique'", "Easy"
"À quelle période doit être réalisée l'échographie du 1er trimestre dite 'de datation' ?", "8-10 SA", "10-12 SA", "11 SA - 13 SA 6j", "12-14 SA", "3", "Le document : 'entre 11 SA et 13SA 6j, avec mesure de clarté nucale'", "Easy"
"À quelle période doit être réalisée l'échographie du 2ème trimestre ?", "20 SA", "22 SA (+/- 1 SA)", "24 SA", "26 SA", "2", "Le document : 'échographie du 2ème trimestre à réaliser vers 22SA (+/- 1 SA)'", "Easy"
"À quelle période doit être réalisée l'échographie du 3ème trimestre ?", "28 SA", "30 SA", "32 SA", "34 SA", "3", "Le document : 'échographie obstétricale du 3ème trimestre(échographie biométrique), à réaliser vers 32 SA'", "Easy"
"À quel âge gestationnel les mouvements actifs fœtaux (MAF) sont-ils perçus le plus souvent ?", "16 SA", "18 SA", "20 SA", "22 SA", "3", "Le document : 'mouvements actifs foetaux (MAF) perçus le plus souvent à partir de 20 SA'", "Easy"
"Quels sont les trois types d'échographies pendant la grossesse ?", "Datation, biométrique, Doppler", "Datation, morphologique, biométrique", "Morphologique, Doppler, 3D", "Cardiaque, cérébrale, abdominale", "2", "Le document : 'Echographie : 1 : datation, 2 : morphologique, 3 : biométrique'", "Easy"
"Quel traitement prophylactique est systématique à partir de 28 SA ?", "Acide folique", "Fer (60mg/j) pour prévenir la carence martiale", "Vitamine D", "Calcium", "2", "Le document : 'Systématique à partir de 28 SA : traitement prophylactique : 60mg/j'", "Easy"
"Quel est le terme de la grossesse à Madagascar (DPA) ?", "38 SA", "39 SA", "40 SA", "41 SA", "3", "Le document : 'Terme Malagasy : 40SA (DPA)'", "Easy"
"À partir de quel âge gestationnel parle-t-on de dépassement de terme ?", "40 SA", "41 SA", "42 SA", "43 SA", "2", "Le document : 'donner un RDV à la patiente le jour du terme, à 41SA (début de la période de dépassement de terme)'", "Easy"
