"question","answer","explanation","difficulty"
"Quels sont les deux types de lymphocytes T impliqués dans l'eczéma de contact et quelles sont leurs principales cytokines ?","LT CD8+ sécrètent des cytokines Tc1 (IL2, IFNg, lymphotoxine, TNF) responsables de l'apoptose des kératinocytes. LT CD4+ sécrètent des cytokines Th1 (IL2, INFg, TNF) pour le recrutement des PNN et Th2 (IL10) pour la régulation négative.","Document phase de déclenchement.","Medium"
"Décrivez la topographie évocatrice d'une allergie au nickel.","Eczéma du lobe des oreilles, du poignet et de l'ombilic.","'Valeur d’orientation +++ : Eczéma du lobe des oreilles, du poignet et de l’ombilic : sensibilisation au nickel'.","Easy"
"Quelle est la différence fondamentale entre la photo-allergie et la phototoxicité ?","La photo-allergie est une réaction immunologique où l'antigène est modifié par les UV et devient immunogène, alors que la phototoxicité est une brûlure excessive non immunologique due à des métabolites proactifs dans la peau (ex: quinolones).","Document sections 'Photosensibilité' et 'Photo toxicité'.","Medium"
"Quels sont les quatre diagnostics différentiels de l'œdème du visage dans l'eczéma de contact ?","Erysipèle, œdème de Quincke, zona, et photo toxicité (ou d'autres). Le document cite : érysipèle, œdème de Quincke, zona. La photo toxicité est aussi un diagnostic différentiel dans une autre section.","'Œdème du visage : Erysipèle, Œdème de Quincke, Zona' et plus loin 'Photo toxicité'.","Medium"
"Expliquez le mécanisme de la phase de sensibilisation dans l'eczéma de contact allergique.","Un haptène (agent externe) se couple à un peptide pour former un allergène. Les cellules de Langerhans captent l'allergène, migrent vers le ganglion lymphatique, présentent le complexe allergène+CMH aux LT CD8+ (via CMH1) et LT CD4+ (via CMH2), entraînant leur différenciation en lymphocytes effecteurs et mémoires circulants.","Document phase de sensibilisation.","Medium"
"Quels sont les trois types de lecture des patch-tests positifs et leur signification ?","+ : faiblement positif (érythème, infiltration). ++ : fortement positif (érythème, infiltration, vésicules). +++ : violemment positif (vésicules coalescentes aboutissant à une bulle).","Document lecture des patch-tests.","Easy"
"Citez quatre professions et leurs allergènes spécifiques selon le document.","Bâtiment : sels de chrome, cobalt, résines époxy, formaldéhyde. Coiffeurs : paraphénylène diamine, thioglycolate, caoutchouc, nickel. Professionnels de santé : latex, antiseptiques, pénicilline, anesthésiques. Horticulteurs : lactones sesquiterpéniques, pesticides.","Section 'Allergène professionnels'.","Medium"
"Quel est le rôle des cytokines Th2 dans l'eczéma de contact ?","Les cytokines Th2, notamment IL10, assurent une régulation négative (anti-inflammatoire) du processus.","'type Th2 (= IL10) : régulation négative'.","Difficult"
"Comparez l'eczéma de contact allergique et la dermite d'irritation selon cinq critères (bords, topographie, symptôme, épidémiologie, histologie).","Eczéma : bords émiettés, peut déborder, prurit, atteint quelques sujets, spongiose. Dermite : bords nets, limitée à la zone de contact, brûlure, atteint majorité, nécrose épidermique.","Tableau comparatif.","Medium"
"Quelles sont les deux complications infectieuses ou générales de l'eczéma de contact ?","Surinfection (impétiginisation : croûtes jaunâtres, adénopathie, fièvre) et érythrodermie (généralisation des lésions).","Sections 'Surinfection' et 'Erythrodermie'.","Easy"
