"term","definition","contextual_explanation"
"asthme","Maladie inflammatoire chronique des bronches.","Entraîne une obstruction bronchique et un bronchospasme réversible spontanément ou sous traitement. C'est la maladie chronique la plus fréquente chez l'enfant (10% de la population pédiatrique)."
"crise d'asthme","Difficulté expiratoire, accès paroxystique de durée brève.","Manifestation aiguë de l'asthme, distincte de l'exacerbation qui dure plus de 24h."
"exacerbation d'asthme","Signes respiratoires persistant au-delà de 24h, quel que soit le mode de début (brutal ou progressif).","Forme prolongée de la crise d'asthme."
"asthme aigu grave (AAG)","Crise ne répondant pas au traitement habituel ou d'intensité inhabituelle.","Urgence thérapeutique, nécessite une prise en charge rapide. Peut survenir sur terrain à risque (âge <4 ans, antécédent de réanimation, corticodépendance)."
"maladie asthmatique","Caractérise l'asthme dans sa chronicité et son évolution.","Nécessite un traitement de fond à long terme pour préserver le capital pulmonaire."
"hyperréactivité bronchique (HRB)","Sensibilité excessive des bronches à multiples stimuli.","Mécanisme physiopathologique central de l'asthme, déclenché par infections virales, allergies, tabagisme passif, stress, effort, changement climatique."
"bronchospasme","Spasme des muscles lisses bronchiques.","Entraîne une réduction du calibre bronchique et une limitation du débit aérien."
"hypersécrétion bronchique","Production excessive de mucus par la réaction inflammatoire œdémateuse locale.","Contribue à l'obstruction bronchique."
"sibilances","Râles sifflants entendus à l'auscultation.","Signe clinique caractéristique de la crise d'asthme, peut être audible à distance (wheezing)."
"wheezing","Sifflement audible à distance sans stéthoscope.","Signe de gravité potentielle dans l'asthme."
"freinage expiratoire","Allongement anormal de l'expiration.","Signe auscultatoire de la crise d'asthme."
"toux équivalent d'asthme","Toux à répétition à prédominance nocturne ou à l'effort, sans sibilances ni freinage.","Forme clinique particulière de l'asthme."
"asthme du nourrisson","Diagnostic retenu devant : 2 épisodes de bronchiolite + atopie avant 12 mois, ou 3 épisodes de bronchiolite avant 12 mois.","Forme clinique selon l'âge."
"score de PRAM","Cotation de sévérité de la crise d'asthme (Pediatric Respiratory Assessment Measure).","Évalue la saturation O2, le tirage sous-costal (TSS?), la contraction des scalènes, le murmure vésiculaire, les sibilances. Score 0-3 léger, 4-7 modéré, 8-12 sévère."
"VEMS","Volume expiratoire maximal par seconde.","Paramètre d'EFR, diminué (<80%) dans le syndrome obstructif de l'asthme."
"DEP","Débit expiratoire de pointe.","Diminué par rapport à la valeur théorique dans l'asthme. La variation nycthémérale du DEP (>30%) est un critère de sévérité."
"test de réversibilité","Augmentation du VEMS >12% après administration de β-2-mimétiques.","Argument diagnostique et thérapeutique de l'asthme."
"bilan allergologique","Tests cutanés et dosage des IgE spécifiques.","Réalisé à distance de la crise pour identifier les facteurs déclenchants."
"corticostéroïdes inhalés (CSI)","Traitement de fond de l'asthme (ex: béclometasone).","Doses : faibles 250µg/j, moyennes 500µg/j, fortes >500µg/j. Indiqués dans l'asthme persistant."
"antileucotriènes","Médicaments anti-inflammatoires.","Utilisés en association dans l'asthme persistant sévère (CSI + BDLA + antileucotriènes)."
"BDLA","Bronchodilatateur de longue durée d'action.","Associé aux CSI dans l'asthme persistant modéré et sévère."
"β-2-mimétiques","Bronchodilatateurs de courte durée d'action, traitement de secours.","Leur utilisation quotidienne est un signe de mauvais contrôle (asthme persistant sévère)."
"capital pulmonaire","Réserve fonctionnelle respiratoire.","L'objectif du traitement de fond est de préserver le capital pulmonaire pour éviter un « asthme à vie »."
"atopie","Prédisposition génétique à développer des allergies.","Atopie familiale ou personnelle est un argument anamnestique pour le diagnostic d'asthme."
"prodromes","Signes précurseurs de la crise d'asthme (quelques heures à 2 jours avant).","Prurit nasal/oculaire, rhinorrhée, accès de toux."
"polypnée","Augmentation de la fréquence respiratoire.","Signe d'inspection lors de la crise d'asthme."
"bradypnée expiratoire","Ralentissement anormal de la fréquence respiratoire avec allongement de l'expiration.","Peut être observé dans la crise d'asthme."
"signes de lutte (SDL)","Mise en jeu des muscles respiratoires accessoires.","Témoin de la sévérité de la dyspnée."
"silence auscultatoire","Absence de murmure vésiculaire à l'auscultation.","Signe de gravité dans l'asthme aigu grave, traduit un très faible débit aérien."
"cyanose","Coloration bleutée des téguments par hypoxie.","Signe d'hypoxie dans l'AAG."
"hypercapnie","Augmentation de la pression partielle de CO2 dans le sang.","Dans l'AAG, on trouve normo- ou hypercapnie (PaCO2)."
"hypoxie","Diminution de l'oxygénation tissulaire (baisse de PaO2).","Présente dans l'AAG."
"pneumomédiastin","Présence d'air dans le médiastin.","Complication possible de l'asthme, recherchée par radiographie thoracique."
"atélectasie","Affaissement d'une partie du poumon.","Complication à rechercher sur la radiographie thoracique."
"pneumothorax (PNO)","Présence d'air dans la cavité pleurale.","Complication de l'asthme."
"dyskinésie ciliaire","Anomalie du battement des cils respiratoires.","Diagnostic différentiel de l'asthme."
"DDB","Dilatation des bronches.","Diagnostic différentiel."
"mucoviscidose","Maladie génétique avec sécrétions épaisses.","Diagnostic différentiel de l'asthme."
"dysplasie broncho-pulmonaire","Pathologie pulmonaire du prématuré oxygéno-dépendant >28 jours.","Diagnostic différentiel."
"RGO","Reflux gastro-œsophagien.","Peut mimer ou aggraver l'asthme."
"corticodépendance","Nécessité d'un traitement corticoïde continu.","Facteur de risque d'asthme aigu grave."
"sevrage récent de corticoïdes","Arrêt récent d'un traitement corticoïde.","Facteur de risque d'AAG."
