"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la fréquence des cardiopathies congénitales ?","1-2/1000 naissances","4-8/1000 naissances","10-15/1000 naissances","20/1000 naissances","2","Le document indique : 'Épidémiologie : malformations congénitales les plus fréquentes . 4 à 8/1000 naissances'.","Easy"
"Dans quel pourcentage des cas n'y a‑t‑il pas de cause évidente de cardiopathie congénitale ?","50%","70%","90%","95%","3","Le document : 'Pas de cause évidente dans 90% des cas'.","Easy"
"Quelle cardiopathie est fréquemment associée à la trisomie 21 ?","Tétralogie de Fallot","Coarctation de l'aorte","Canal atrio-ventriculaire (CAV)","Transposition des gros vaisseaux","3","Le document : 'Trisomie 21 (CAV +++)' et 'Canal atrio-ventriculaire (CAV) : Trisomie 21 associée +++'.","Easy"
"Quel syndrome est associé à la tétralogie de Fallot ?","Turner","Di George","Marfan","Noonan","2","Le document : 'syndrome de DI GEORGE (tétralogie de Fallot)'.","Easy"
"Quelle cardiopathie est associée au syndrome de Turner ?","Canal atrio-ventriculaire","Tétralogie de Fallot","Coarctation de l'aorte","Transposition des gros vaisseaux","3","Le document : 'Syndrome de Turner (coarctation aortique)'.","Easy"
"Quels sont les trois shunts physiologiques de la circulation fœtale ?","Canal d'Arantius, foramen ovale, canal artériel","Canal de Botallo, ductus venosus, foramen magnum","Veine ombilicale, artère ombilicale, canal artériel","Foramen ovale, canal d'Arantius, sinus coronaire","1","Le document liste ces trois shunts.","Easy"
"Quel est le rôle du foramen ovale dans la circulation fœtale ?","Relie l'aorte et l'artère pulmonaire","Crée une communication entre les deux oreillettes","Relie la veine ombilicale à la veine cave","Court-circuite le foie","2","Le document : 'Foramen ovale (crée une communication entre les deux oreillettes)'.","Easy"
"Après la naissance, que devient la circulation sanguine ?","En parallèle","En série","En dérivation","En circuit fermé","2","Le document : 'Après la naissance : circulation sanguine en série'.","Easy"
"Quelle classification physiopathologique des cardiopathies congénitales est donnée ?","Cyanogènes, non cyanogènes, complexes","Gauche-droit, droit-gauche, obstructives","Symptomatiques, asymptomatiques","Simples, complexes","1","Le document : 'Classification physiopathologique : Cardiopathies congénitales cyanogènes, non cyanogènes, Cardiopathies complexes'.","Easy"
"Quelles sont les quatre anomalies de la tétralogie de Fallot ?","CIV, sténose pulmonaire, dextroposition aortique, hypertrophie VD","CIA, sténose aortique, dextroposition, hypertrophie VG","CIV, CIA, canal artériel, coarctation","Transposition, CIV, sténose pulmonaire, dextroposition","1","Le document liste ces 4 anomalies.","Easy"
"Dans la transposition des gros vaisseaux, que devient l'aorte ?","Naît du ventricule gauche","Naît du ventricule droit","Naît de l'artère pulmonaire","Naît des deux ventricules","2","Le document : 'L’aorte naît du VD et l’artère pulmonaire naît du VG'.","Easy"
"Quel type de CIA est le plus fréquent (90%) ?","CIA ostium primum","CIA ostium secundum","CIA sinus venosus","CIA sinus coronaire","2","Le document : 'CIA ostium secundum (90%)'.","Easy"
"Quel souffle est typique de la communication inter-auriculaire (CIA) ?","Souffle holosystolique","Souffle continu sous-claviculaire","Souffle systolique au foyer pulmonaire avec dédoublement fixe de B2","Souffle diastolique","3","Le document : 'Souffle systolique au foyer pulmonaire, typiquement associé à un dédoublement fixe de B2, persistant en expiration'.","Easy"
"Quel est le souffle typique de la communication inter-ventriculaire (CIV) ?","Souffle systolique au foyer pulmonaire","Souffle holosystolique, frémissant, intense, en jet de vapeur","Souffle continu sous-claviculaire gauche","Souffle diastolique","2","Le document : 'Souffle holosystolique, frémissant, intense, en jet de vapeur, précordial et irradiant en rayant de roue'.","Easy"
"Quel est le souffle typique de la persistance du canal artériel (PCA) ?","Souffle systolique","Souffle diastolique","Souffle continu sous-claviculaire gauche","Souffle holosystolique","3","Le document : 'Souffle continu sous-claviculaire gauche'.","Easy"
"Quel signe clinique est caractéristique de la coarctation de l'aorte ?","Souffle continu","Cyanose","Abolition des pouls fémoraux","Hippocratisme digital","2","Le document : 'Abolition des pouls fémoraux' et 'Coarctation de l’aorte : Abolition des pouls fémoraux'.","Easy"
"Quel signe radiologique est caractéristique de la tétralogie de Fallot ?","Cœur en sabot","Cardiomégalie globale","Hypervascularisation pulmonaire","Cœur en tourne","1","Le document : 'Cœur en sabot : apex cardiaque surélevé et un arc moyen gauche concave'.","Easy"
"Quel est le signe principal de la tétralogie de Fallot ?","Cyanose intermittente","Cyanose permanente","Absence de cyanose","Cyanose des extrémités","2","Le document : 'Signe principale : cyanose permanente'.","Easy"
"Quel examen confirme le diagnostic de cardiopathie congénitale ?","Radiographie thoracique","ECG","Echodoppler cardiaque","Scanner","3","Le document : 'Echodoppler cardiaque : précise le type de cardiopathie' et 'confirme le diagnostic'.","Easy"
"Quel est le risque de la CIV large ?","Fermeture spontanée","HTAP (hypertension artérielle pulmonaire)","Cyanose","Endocardite","2","Le document : 'CIV large : HTAP'.","Easy"
"Quel signe biologique est fréquent dans la tétralogie de Fallot ?","Anémie","Polyglobulie","Leucopénie","Thrombopénie","2","Le document : 'Examens biologiques : Polyglobulie'.","Easy"
"Quelle complication neurologique peut survenir dans la tétralogie de Fallot ?","Méningite","Abcès cérébral","Hydrocéphalie","Encéphalite","2","Le document cite 'Abcès cérébral' comme complication.","Easy"
"Quel signe fonctionnel est décrit dans la tétralogie de Fallot à l'effort ?","Dyspnée inspiratoire","Accroupissement (squatting)","Toux","Palpitations","2","Le document : 'accroupissement à l’effort (squatting)'.","Easy"
"Quelle est la particularité de la transposition des gros vaisseaux (TGV) ?","Cyanose néonatale intense et isolée, réfractaire à l'oxygène","Cyanose apparaissant après 1 mois","Absence de cyanose","Cyanose variable","1","Le document : 'Cyanose néonatale intense et isolée, réfractaire à l’oxygène'.","Easy"
