"front","back","cognitive_level"
"Qu'est-ce qu'une omphalocèle ?","Malformation congénitale de la paroi abdominale à partir de l'anneau ombilical, caractérisée par une non réintégration des viscères recouverts de la membrane amniotique avasculaire. Le cordon ombilical s'insère toujours sur la membrane.","Recall"
"Quelles sont les trois couches de la membrane recouvrant l'omphalocèle ?","Péritoine à l'intérieur, amnios à l'extérieur, et gelée de Wharton entre les deux.","Recall"
"Comment se fait le diagnostic anténatal de l'omphalocèle ?","Par échographie : absence de fermeture de l'orifice ombilical, préciser les viscères herniés (foie, tube digestif), rechercher des malformations associées (cardiaques, chromosomiques – trisomie 18 ou 21) avec échocardiographie fœtale et caryotype.","Recall"
"Quels sont les signes diagnostiques postnataux de l'omphalocèle ?","Tuméfaction sessile de volume variable, viscères recouverts d'une membrane translucide (à ne pas rompre, car elle protège les anses et servira au traitement chirurgical), cordon ombilical s'implante avec un trajet hélicoïdal. La rupture de la membrane est exceptionnelle.","Recall"
"Quelle est la classification de l'omphalocèle selon le diamètre ?","Type 1 : diamètre inférieur à 4 cm, le plus grand diamètre du sac inférieur à 8 cm. Type 2 : dimensions supérieures (avec hernie du foie et autres organes).","Recall"
"Quelles sont les malformations associées à l'omphalocèle ?","Anomalies chromosomiques (trisomie 13-15, 16-18, 21), éventration ou hernie diaphragmatique, malformations cardiaques, syndrome de Wiedemann-Beckwith (omphalocèle, hypoglycémie, macroglossie, viscéromégalie, parfois translocation 11p15), malformations génito-urinaires, pentalogie de Cantrell (omphalocèle, hernie diaphragmatique antérieure, fente sternale, ectopie cardiaque avec cardiopathie).","Recall"
"Quels sont les composants du syndrome de Wiedemann-Beckwith ?","Omphalocèle, hypoglycémie, macroglossie, viscéromégalie, associée inconstamment à une translocation chromosomique 11p15.","Recall"
"Qu'est-ce que la pentalogie de Cantrell ?","Association : omphalocèle, hernie diaphragmatique antérieure, fente sternale, ectopie cardiaque avec cardiopathie.","Recall"
"Quelle est la prise en charge obstétricale de l'omphalocèle par rapport au laparoschisis ?","Omphalocèle : voie naturelle. Laparoschisis : discuter d'une césarienne.","Recall"
"Quelles sont les mesures de prise en charge néonatale du laparoschisis ?","Perfusion avec apports hydrosodés supérieurs (80-60 ml/kg/jour × 1,5), SNG pour prévenir la distension aérique de l'intestin extériorisé, antibiothérapie, protection du corps dans un sac plastique stérile (sac à grêle) pour éviter hypothermie, pertes insensibles, infection et lésions traumatiques, décubitus latéral droit pour éviter la plicature de l'artère mésentérique supérieure.","Recall"
"Quelles sont les mesures de prise en charge néonatale spécifiques à l'omphalocèle ?","Mise en place d'une sonde orogastrique pour éviter la distension aérique des viscères herniés, protection dans un sac plastique stérile, mise en place d'une voie veineuse pour apports hydrosodés et glucidiques.","Recall"
"Quels sont les principes de la chirurgie pour laparoschisis/omphalocèle ?","Réintégrer le contenu hernié dans la paroi abdominale, réfection pariétale, éviter une hyperpression intra-abdominale.","Recall"
"Quels sont les risques en cas de fermeture abdominale avec inadéquation contenant-contenu ?","Troubles ventilatoires et syndrome cave inférieur par compression de la veine cave inférieure.","Recall"
"Quel test peropératoire permet de décider entre fermeture primitive et fermeture progressive ?","Testing de fermeture pariétale avant fermeture définitive, avec mesure de la pression ventilatoire. Si pression < 30 cm H2O : fermeture primitive. Si pression ≥ 30 cm H2O : fermeture progressive.","Recall"
"Quelles sont les étapes de la fermeture primitive pour omphalocèle ?","Incision circonscrivant la plaque avec sacrifice cutané minimal, ligature des artères ombilicales en bas et de la veine ombilicale en haut, résection de la plaque, vérification des anomalies intestinales associées, manoeuvres de distension de la paroi, fermeture pariétale en deux plans (musculo-aponévrotique et cutané).","Recall"
"Qu'est-ce que la technique du Silo de Schuster ?","Technique de fermeture progressive lorsque la fermeture primitive est impossible. Suture aux deux berges aponévrotiques d'une plaque en Silastic réunie en haut et en bas. Affrontement des deux plaques devant les viscères herniés. Fermeture progressive tous les 2 jours par points en U. Obtention de l'affrontement en 15 jours maximum, puis reprise en salle d'opération pour ôter les plaques et refermer la paroi.","Recall"
"Qu'est-ce que le recouvrement cutané selon Gross ?","Large décollement cutané de chaque côté de l'incision, poursuivi le plus loin possible en avant des muscles larges de l'abdomen, suture de la peau en avant de l'éventration médiane. Si défect majeur, incisions de décharge cutanées en arrière. Reprise chirurgicale nécessaire car c'est une éviscération couverte (anses protégées seulement par la peau).","Recall"
"Qu'est-ce que la rectomyoplastie ?","Technique permettant la reposition médiane des muscles grands droits de l'abdomen. On incise verticalement le feuillet antérieur de la gaine des droits le long de son bord externe, on le décolle du muscle et on le retourne vers la ligne médiane. On libère les muscles droits de leurs attaches aponévrotiques en respectant les éléments vasculo-nerveux (mammaire interne, épigastrique, nerfs intercostaux). Permet un rapprochement sans tension.","Recall"
"Qu'est-ce que la technique de Grob (utilisée à Madagascar) pour l'omphalocèle ?","Épidermisation progressive du défect pariétal par application continue d'éosine aqueuse au niveau de l'omphalocèle, puis cure d'éventration à distance.","Recall"
"Quelle est la conclusion du document sur la prise en charge de l'omphalocèle ?","Malformations fréquentes de la paroi abdominale, diagnostic prénatal par échographie, chirurgie importante. Omphalocèle type II : Schuster dans les pays développés. Tannage (Grob) donne de bons résultats.","Recall"
