"term","definition","contextual_explanation"
"Purpura","Érythème ou tache violacée, punctiforme, ne s'effaçant pas à la vitropression.","Lésion cutanée élémentaire."
"Purpura infectieux","Syndrome infectieux (fièvre ou hypothermie) + au moins un élément purpurique.","Forme de purpura associée à une infection."
"Purpura infectieux sévère","Purpura rapidement extensif en taille et en nombre, associé à un sepsis sévère (hypotension, trouble de conscience, défaillance multiviscérale), accompagnant une méningite.","Stade de gravité intermédiaire."
"Purpura fulminans","Syndrome infectieux, forme extrêmement sévère de la septicémie qui provoque la coagulation du sang et nécrose tissulaire.","Caractérisé par au moins un élément nécrotique ≥3mm ou ecchymotique large, avec CIVD ou choc septique persistant après 2 remplissages."
"Vitropression","Pression avec une lame de verre sur une lésion cutanée.","Permet de différencier un purpura (ne s'efface pas) d'un érythème (s'efface)."
"Sepsis sévère","Sepsis associé à une défaillance d'organe (hypotension, trouble de conscience, défaillance multiviscérale).","Critère du purpura infectieux sévère."
"CIVD","Coagulation intravasculaire disséminée.","Critère du purpura fulminans, provoque des thromboses et nécroses."
"Choc septique","Sepsis sévère persistant après remplissage vasculaire (2 remplissages).","Critère du purpura fulminans."
"Nécrose tissulaire","Mort cellulaire locale par ischémie.","Conséquence de la CIVD dans le purpura fulminans, nécessitant parfois amputation."
"TRC","Temps de recoloration cutanée.","Allongé dans le sepsis sévère (signe de mauvaise perfusion)."
"Marbrures","Aspect marbré de la peau (zones violacées).","Signe de sepsis sévère."
"Procalcitonine (PCT)","Marqueur biologique d'infection bactérienne.","Utilisée avec NFS et CRP pour orienter vers une origine bactérienne."
"Hémoculture","Prélèvement sanguin pour culture bactérienne.","Ne doit jamais retarder l'antibiothérapie."
"Biopsie cutanée","Prélèvement de peau pour analyse histologique et microbiologique.","En dernière intention si diagnostic difficile."
"Purpura pétéchial","Purpura fait de petites pétéchies (points rouges).","S'il n'est pas extensif et associé à exanthème avec état général conservé, peut évoquer une origine virale."
"Déficit congénital homozygote en protéine C et S","Maladie génétique de la coagulation.","Diagnostic différentiel chez le nouveau-né (premier mois de vie)."
"Méningocoque (Neisseria meningitidis)","Bactérie à Gram négatif, principale cause de purpura fulminans.","Sérotypes : B (55%), C (35%), W135 (6%)."
"Asplénie","Absence de rate fonctionnelle (anatomique ou fonctionnelle : drépanocytaire homozygote).","Facteur de risque d'infection invasive à méningocoque."
"Properdine","Protéine du complément alternative.","Son déficit est un facteur de risque."
"Eculizimab","Anticorps monoclonal anti-C5.","Traitement qui augmente le risque d'infection à méningocoque."
"VVP","Voie veineuse périphérique.","Doit être de bon calibre ; voie intra-osseuse possible."
"Remplissage vasculaire","Perfusion de soluté pour restaurer la volémie.","20 ml/kg de SSI 0,9% ou Ringer lactate en 20 minutes."
"Ceftriaxone","Céphalosporine de 3ème génération.","Antibiothérapie probabiliste : 50 mg/kg IV/IM en préhospitalier, puis 50 mg/kg/j."
"Céfotaxime","Céphalosporine de 3ème génération.","Alternative : 100 mg/kg/j en 3-4 fois (200 mg/kg/j si méningite associée)."
"Amoxicilline","Pénicilline.","Alternative à 100 mg/kg IV/IM en préhospitalier."
"Inotropes","Médicaments augmentant la contractilité cardiaque (adrénaline, noradrénaline, dopamine).","Traitement du choc septique."
"Hémisuccinate d'hydrocortisone","Corticoïde.","Utilisé dans le choc septique."
"Chimioprophylaxie","Antibiothérapie préventive chez les sujets contacts.","Rifampicine 10 mg/kg x2/j enfant pendant 2 jours, entre H48 et J10."
"Rifampicine","Antibiotique antituberculeux.","Chimioprophylaxie de référence."
"Spiramycine","Macrolide.","Alternative en cas d'insuffisance hépatocellulaire sévère : 750.000 UI/kg x2/j enfant pendant 5 jours."
"Vaccination anti-méningococcique","Vaccin contre les sérotypes A, C, Y, W135.","À débuter avant J10 chez l'entourage familial justifiant une chimioprophylaxie."
