"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelles sont les deux pathologies proctologiques fréquentes citées dans le document ?","Thrombose hémorroïdaire et fissure anale","Hémorroïdes et cancer anal","Fistule et abcès","Prolapsus et rectite","1","Le document : '2 pathologies fréquents : Thrombose hémorroïdaire ; Fissure anale'","Easy"
"L’examen proctologique comprend :","Interrogatoire, inspection, toucher rectal","Interrogatoire, examen de la marge anale, anuscopie","Anuscopie seule","Toucher rectal et biopsie","2","Le document : 'L’examen proctologique comprend : Interrogatoire ; Examen soigneux de la marge anale ; Anuscopie'","Easy"
"Quelle est la localisation des hémorroïdes internes ?","Sous la ligne pectinée","Au-dessus de la ligne pectinée, dans la sous-muqueuse","Dans le tissu sous-cutané","Dans le canal anal externe","2","Le document : 'Interne : localisés dans la sous muqueuse du rectum/canal anal, située au dessus de la ligne pectinée'","Easy"
"Les hémorroïdes externes se drainent dans :","Le système porte","Le système cave","Les lymphatiques inguinaux","La veine mésentérique","2","Le document : 'Externe : sous-cutanée, située sous la ligne pectinée, se draine dans le système cave'","Easy"
"Quel est le pourcentage d’hémorroïdes qui font des poussées de thrombose ?","5%","10%","15%","20%","3","Le document : '15% des hémorroïdes font des poussées de thromboses'","Easy"
"Quelle est la caractéristique de la thrombose hémorroïdaire externe ?","Tuméfaction violacée et douloureuse extériorisée","Douleur intra-canalaire sans tuméfaction","Prolapsus sous tension","Rectorragie abondante","1","Le document : 'Thrombose hémorroïdaire externe -> tuméfaction violacée et douloureuse. Extériorisée au niveau de l’anus'","Easy"
"Quel traitement instrumental peut être réalisé pour une thrombose hémorroïdaire sans œdème majeur ?","Injection sclérosante","Courte incision pour évacuer le caillot sous anesthésie locale","Ligature élastique","Photocoagulation","2","Le document : 'Si pas d’oedème majeur, courte incision pour évacuer le caillot (sous AL)'","Easy"
"Quelles sont les caractéristiques de la rectorragie hémorroïdaire ?","Sang rouge, en jet éclaboussant, spontanée ou après selles","Sang noir, mélangé aux selles","Sang occulte","Rectorragie avec douleur intense","1","Le document : 'Rectorragie rarement spontanée, faite de sang rouge, en jet éclaboussant'","Easy"
"Dans le prolapsus hémorroïdaire, quel est le stade où la procidence est spontanée et permanente ?","Stade 1","Stade 2","Stade 3","Stade 4","4","Le document : '4 stades : ... 4. Procidence spontanée et permanente'","Easy"
"Quel diagnostic différentiel doit être évoqué devant un prolapsus ?","Cancer colo-rectal","Prolapsus recto-anal","Anite","Fissure anale","2","Le document : 'Devant un prolapsus : Prolapsus recto-anal'","Easy"
"Quel est un des traitements instrumentaux des hémorroïdes ?","Injection sclérosante","Hémorroïdectomie","Bain de siège","Veinotoniques","1","Le document : 'Traitement instrumental : Injection sclérosante, Photocoagulation, Ligature élastique'","Easy"
"Quelle est l’opération chirurgicale qui résèque les 3 paquets hémorroïdaires en laissant les plaies ouvertes ?","Opération de Ferguson","Opération de Milligan-Morgan","Anopexie de Longo","Sphinctérotomie interne","2","Le document : 'Opération de MILLIGAN-MORGAN : Résection des 3 paquets hémorroïdaires. Les plaies sont laissées ouvertes'","Easy"
"Quel facteur physiologique contribue à la survenue des hémorroïdes chez la femme enceinte ?","Hyperapport artériel","Hypotonie du sphincter interne","Hyperpression intra-abdominale avec obstacle veineux","Dégénérescence du tissu de soutien","3","Le document : 'Grossesse ++ (Hyperpression intra-abdominale avec obstacle : le sang veineux reste en bas)'","Medium"
"Quels sont les trois paquets d’hémorroïdes internes ?","Gauche, antérieur droit, postérieur droit","Droit, antérieur gauche, postérieur gauche","Supérieur, inférieur, latéral","Antérieur, postérieur, médian","1","Le document : 'Il y a 3 paquets : gauche, antérieur droit, postérieur droit'","Medium"
"Quelle est l’évolution naturelle d’une thrombose hémorroïdaire externe ?","Nécrose de la paroi puis évacuation du thrombus, résorption lente avec cicatrisation","Résorption rapide sans cicatrice","Suppuration","Fistulisation","1","Le document : 'Evolution : nécrose de la paroi (muqueuse) puis évacuation du thrombus; résorption lente avec cicatrisation possible'","Medium"
"Dans la thrombose hémorroïdaire interne, comment se manifeste la douleur ?","Douleur superficielle","Douleur intra-canalaire très vive, avec prolapsus sous tension et œdème","Douleur à la défécation uniquement","Douleur irradiant dans les jambes","2","Le document : 'Thrombose hémorroïdaire interne : douleur intra-canalaire très vive, lors de l’anuscopie, ou extériorisée sous forme de prolapsus sous tension avec réaction oedémateuse importante'","Medium"
"Quel est le traitement médical recommandé pour une poussée hémorroïdaire ?","Anti-inflammatoire + phlébotonique per os, topique, antalgiques si besoin","Antibiotiques","Corticostéroïdes seuls","Laxatifs seuls","1","Le document : 'Traitement médical : Anti-inflammatoire + phébotonique per os ; Topique ; Si persistance de la douleur : antalgique (PCT)'","Medium"
"Quelles mesures hygiéno-diététiques sont recommandées pour les hémorroïdes ?","Ne pas rester longtemps aux toilettes, éviter épices et alcool, traiter constipation, bains de siège","Rester assis longtemps, alimentation riche en épices","Éviter les bains de siège, privilégier la position assise","Alimentation riche en graisses","1","Le document : 'Mesures hygiéno-diététiques : Ne pas rester trop longtemps aux toilettes ; Régime sans piment, épices, abus d’alcool ; Traiter une constipation ; Bain de siège à l’eau chaude ou tiède'","Medium"
"Quel est le traitement de la rectorragie hémorroïdaire ?","Coloscopie obligatoire","Chirurgie d’urgence","Injection sclérosante","Ligature élastique","1","Le document : 'Rectorragie hémorroïdaire -> Celioscopie obligatoire' (coloscopie)","Medium"
"Dans le prolapsus hémorroïdaire, quel est le stade où la réduction est manuelle ?","Stade 1","Stade 2","Stade 3","Stade 4","3","Le document : '3. Procidence à l’effort et réduction manuelle nécessaire'","Medium"
"Quel est le diagnostic différentiel devant une douleur anale ?","Cancer colo-rectal","Anite, fissure anale, abcès péri-anal","Prolapsus recto-anal","Bilharziose","2","Le document : 'Devant une douleur anale : Anite ; Fissure anale ; Abcès péri-anal'","Medium"
"Quel veinotonique est cité dans le traitement médical ?","Daflon","Proctolog","Cicactril","Lidocaïne","1","Le document : 'Veinotoniques : Daflon*'","Medium"
"Dans l’opération de Milligan-Morgan, pourquoi la sphinctérotomie interne n’est-elle pas systématique ?","Parce qu’elle est dangereuse","Pour lutter contre la douleur post-opératoire en cas de contractions","Parce que les plaies sont suturées","Parce qu’elle est remplacée par l’anopexie","2","Le document : 'Sphinctérotomie interne (non systématique) : section du sphincter interne, pour lutter contre la douleur car il y aura des contractions après'","Medium"
"Quelle est la différence entre l’opération de Milligan-Morgan et celle de Ferguson ?","MM laisse les plaies ouvertes, Ferguson suture les plaies","MM suture, Ferguson laisse ouvert","MM résèque 2 paquets, Ferguson 3","MM est pour les hémorroïdes externes, Ferguson pour les internes","1","Le document : 'Opération de FERGUSON : résections des paquets, respect du sphincter interne, les plaies sont suturées'","Medium"
"Qu’est-ce que l’anopexie circulaire de Longo ?","Résection de 2-3 cm de muqueuse anale à l’aide d’une pince mécanique circulaire","Ligature élastique des paquets","Sclérose des veines","Excision des hémorroïdes externes","1","Le document : 'Anopexie circulaire de LONGO en utilisant une pince mécanique circulaire réséquant 2 à 3 cm de muqueuse anale'","Medium"
"Quels sont les soins post-opératoires après chirurgie hémorroïdaire ?","Bain de siège, toucher rectal régulier, laxatif systématique","Alitement strict, antibiotiques, régime sans résidu","Compresses froides, antalgiques IV","Repos absolu 1 mois","1","Le document : 'Soins post-opératoires : Bain de siège ; TR régulier ; Laxatif systématique'","Medium"
"Pourquoi faut-il pratiquer un toucher rectal régulier après chirurgie hémorroïdaire ?","Pour vérifier la cicatrisation","Pour éviter la sténose anale","Pour retirer les drains","Pour évaluer la douleur","2","Le document : 'TR régulier (après 1 ou 2 semaines par le médecin, puis auto-toucher par le patient pour éviter la sténose anale)'","Medium"
