"question","answer","explanation","difficulty"
"Pourquoi le surfactant est‑il essentiel à l'adaptation respiratoire du nouveau‑né ?","Le surfactant confère des propriétés tensio‑actives aux alvéoles, les aidant à ne pas se collaber lors de l'expiration, ce qui maintient une capacité résiduelle fonctionnelle et permet une hématose efficace.","Le document indique que le surfactant libéré par les pneumocytes de type II donne des propriétés tensio‑actives et aide les alvéoles à ne pas se collaber.","Easy"
"Citez les trois shunts de la circulation fœtale.","Foramen ovale (trou de Botale), canal artériel, canal d'Arantius (ductus venosus).","Le document liste ces trois shunts comme caractéristiques de la circulation fœtale.","Easy"
"Quels sont les quatre mécanismes de pertes thermiques chez le nouveau‑né ?","Conduction, convection, radiation, évaporation.","Le document détaille ces quatre mécanismes de pertes thermiques.","Easy"
"À quel âge gestationnel la succion‑déglutition devient‑elle mature ?","Entre 34 et 36 semaines d'aménorrhée.","Le document précise : mature à 34‑36 SA -> tétée.","Easy"
"Quelle est la valeur seuil de glycémie que le nouveau‑né à terme doit maintenir après clampage du cordon ?","Supérieure à 0,4 g/l (soit 2,3 mmol/l).","Le document indique que le nouveau‑né à terme maintient la glycémie > 0,4 g/l.","Easy"
"Que se passe‑t‑il au niveau du canal d'Arantius après le clampage du cordon ?","Il se ferme en raison de la disparition du retour veineux ombilical.","Le document : clampage du cordon -> disparition du retour veineux ombilical -> fermeture du canal d'Arantius.","Easy"
"Comment le nouveau‑né produit‑il de la chaleur en postnatal ?","Par thermogenèse via la lipolyse de la graisse.","Le document mentionne la thermogenèse par lipolyse de la graisse.","Easy"
"La motricité intestinale de jeûne est harmonieuse et efficace à partir de quel âge ?","À plus de 34 semaines d'aménorrhée.","Le document : harmonieuse et efficace à >34 SA.","Easy"
"Expliquez pourquoi l'évacuation du liquide pulmonaire est ralentie chez les nouveau‑nés prématurés et par césarienne.","Chez le prématuré, les mécanismes de résorption veineuse et lymphatique sont immatures. Par césarienne, l'absence de compression thoracique lors du passage dans la filière génitale réduit l'expulsion mécanique du liquide pulmonaire.","Le document indique que l'évacuation est ralentie en cas de prématurité et de césarienne, et que la compression thoracique participe à l'évacuation.","Medium"
"Décrivez la séquence des événements circulatoires après le clampage du cordon menant à la fermeture du foramen ovale.","Clampage du cordon -> disparition du retour veineux ombilical (fermeture canal d'Arantius). L'aération alvéolaire diminue les résistances pulmonaires, augmentant le retour veineux dans l'oreillette gauche, ce qui élève la pression OG au‑dessus de la pression OD, entraînant la fermeture fonctionnelle du foramen ovale.","Basé sur les sections adaptation circulatoire et respiratoire du document.","Medium"
"Pourquoi un nouveau‑né à terme a‑t‑il un risque d'hypothermie malgré la thermogenèse ?","Les pertes thermiques par conduction, convection, radiation et évaporation sont importantes du fait de la grande surface corporelle relative, de la minceur de la couche graisseuse sous‑cutanée et de l'humidité cutanée. La thermogenèse par lipolyse peut être insuffisante si l'environnement est froid.","Le document décrit les quatre mécanismes de pertes et la thermogenèse, mais le risque d'hypothermie est explicitement mentionné.","Medium"
"Comment la glycémie du nouveau‑né évolue‑t‑elle dans les premières heures de vie et quels mécanismes la régulent ?","La glycémie chute pour atteindre son nadir à 1 heure de vie, puis se normalise entre 4 et 6 heures. La glycogénolyse hépatique et la néoglucogenèse assurent cette normalisation, relayées par une alimentation précoce.","Le document donne ces informations dans la section régulation glycémique.","Medium"
"Quel est l'effet de l'aération alvéolaire sur les pressions intracardiaques et la fermeture des shunts ?","L'aération alvéolaire diminue les résistances vasculaires pulmonaires, ce qui augmente le retour veineux pulmonaire et la pression dans l'oreillette gauche (OG). La pression OG devient supérieure à la pression OD, fermant le foramen ovale. Par ailleurs, l'augmentation de la pression systémique et de l'oxygénation ferme le canal artériel.","Synthèse des sections adaptation respiratoire et circulatoire.","Medium"
"Pourquoi la prématurité à 30 SA est‑elle un facteur de risque de détresse respiratoire néonatale ?","À 30 SA, l'évacuation du liquide pulmonaire est ralentie (immaturité des voies lymphatiques et veineuses), la production de surfactant est insuffisante (pneumocytes de type II immatures), et les mouvements respiratoires sont désordonnés. Ces trois facteurs altèrent l'adaptation respiratoire.","Le document mentionne le ralentissement de l'évacuation en cas de prématurité, la destruction possible du surfactant, et le caractère désordonné de la motricité avant 31 SA.","Medium"
"Comparez la motricité intestinale de jeûne et la motricité postprandiale en termes d'apparition au cours de la gestation.","La motricité postprandiale est détectable à partir de 31 SA, tandis que la motricité de jeûne est très désordonnée avant 31 SA et devient harmonieuse et efficace à >34 SA. La succion‑déglutition mature à 34‑36 SA permet la tétée.","Données issues de la section adaptation digestive.","Medium"
