"front","back","cognitive_level"
"Quelle est la définition de la prématurité ?","Toute naissance vivante survenue entre la 22ème et 37ème semaine d’aménorrhée (SA) en comptant depuis le premier jour de la date des dernières règles (DDR).","Recall"
"Quelles sont les prévalences de la prématurité et de la grande prématurité ?","Prématurité : 5 % ; grande prématurité : 1 à 1,5 %.","Recall"
"Quelles sont les classifications de la prématurité selon le terme ?","Prématurité légère : 34-36 SA ; modérée : 32-33 SA ; grande prématurité : 28-31 SA 6j ; extrême prématurité (prématurissime) : 22-27 SA 6j (22-24 : soins palliatifs, pas de réanimation).","Recall"
"Quelle est la classification selon la trophicité ?","Prématurité hypotrophique et prématurité eutrophique.","Recall"
"Quels sont les différents âges utilisés pour déterminer l’âge gestationnel ?","Âge de datation (date des dernières règles), âge échographique (12-14 SA), âge morphologique (score de FARR ou Finnstrom), âge neurologique (score de BALLARD ou Dubowitz), examens électrophysiologiques (EEG, PEA).","Recall"
"Quels sont les signes cliniques du prématuré ?","Petite taille, bien proportionné (mensurations harmonieuses), peau érythrosique fine transparente de consistance gélatineuse, œdème des extrémités, lanugo abondant et épais.","Recall"
"Qu’est-ce que la courbe de Leroy et Lefort permet de déterminer ?","Eutrophie ou hypotrophie (<10ème percentile). Si toutes les mensurations sont touchées : RCIU harmonieux. Si seulement une (ex. poids) : RCIU dysharmonieux.","Recall"
"Quels sont les critères de gravité de la prématurité ?","Âge gestationnel <28 SA ; prématurité avec mauvaise adaptation à la naissance ; prématurité + hypotrophie ; prématurité inexpliquée = infection bactérienne précoce jusqu’à preuve du contraire ; complications (quelle que soit la complication).","Recall"
"Quel est le diagnostic différentiel de la prématurité ?","Nouveau-né à terme hypotrophe : poids de naissance <10ème percentile rapporté à l’âge gestationnel sur la courbe de Leroy et Lefort.","Recall"
"Citez cinq facteurs favorisants la prématurité.","Primiparité, multiparité, âge maternel <18 ans ou >35 ans, antécédents de prématurité (fratrie), travail/trajets pénibles, conditions socio-économiques défavorables, grossesse non désirée ou déni de grossesse.","Recall"
"Quelles sont les causes maternelles de prématurité ?","Anomalies utérines (malformation utérine, béance cervico-isthmique) ; rupture prématurée des membranes ; infections (cervico-vaginales, urinaires, générales : grippe, listériose, streptocoque B).","Recall"
"Quelles sont les causes médicales de prématurité ?","Pathologie vasculaire placentaire (prééclampsie, RCIU sévère) ; accidents hémorragiques (décollement placentaire, hématome rétro-placentaire, placenta praevia hémorragique) ; hypoxie intra-utérine sévère ; pathologie maternelle amenant à une extraction rapide (décision médicale).","Recall"
"Quelles sont les causes ovulaires de prématurité ?","Grossesses multiples, chorioamniotite, hydramnios.","Recall"
"Quelles sont les complications respiratoires de la prématurité ?","Apnées du prématuré ; maladie des membranes hyalines (défaut de surfactant, surtout grands prématurés) ; dysplasie broncho-pulmonaire (prématuré oxygéno-dépendant >28 jours).","Recall"
"Quelles sont les complications métaboliques et rénales ?","Hypothermie, hypoglycémie, hypocalcémie, déshydratation, tubulopathie du grand prématuré (perte de sodium urinaire), toxicité médicamenteuse, ictère (risque d’ictère nucléaire ++++), anémie.","Recall"
"Quels sont les seuils de l’hypoglycémie et de l’hypocalcémie chez le prématuré ?","Hypoglycémie : glycémie <0,3 g/l. Hypocalcémie : calcémie <80 mg/l.","Recall"
"Quelles sont les complications digestives de la prématurité ?","Reflux gastro-œsophagien, iléus fonctionnel, entérocolites ulcéro-nécrosantes.","Recall"
"Quelles sont les complications cardiovasculaires ?","Persistance du canal artériel (risque décompensation cardiaque, HTAP), hyperréflectivité vagale, hypertension artérielle pulmonaire (HTAP), hypotension.","Recall"
"Quelles sont les complications neurologiques ?","Hémorragies intra-ventriculaires (HIV), leucomalacie périventriculaire (LPV) → retard de développement psychomoteur et épilepsie secondaire.","Recall"
"Quelle est la complication ophtalmologique majeure du prématuré ?","Rétinopathie du prématuré (par immaturité rétinienne, surtout chez l’extrême prématuré et en cas d’oxygénodépendance prolongée).","Recall"
"Pourquoi les prématurés sont-ils très sujets aux infections ?","Très facilement sujets à la septicémie +++, infections localisées (poumons, urines, méninges). Risque accru par la présence de prothèses (sonde d’intubation, cathéter central, SNG, cathéter périphérique).","Recall"
"Quels sont les facteurs de mauvais pronostic de la prématurité ?","Âge gestationnel bas ; association à une hypotrophie ; présence de détresses respiratoires sévères ou infections sévères ; présence de lésions cérébrales sévères.","Recall"
"Quels sont les moyens thérapeutiques en néonatologie pour le prématuré ?","Incubateur, monitoring cardio-respiratoire/saturation/température, prise en charge des urgences, méthode Kangourou (alternative à la couveuse, sans coût, naturelle, possible quel que soit le niveau de soin).","Recall"
"Quels sont les traitements médicamenteux ou nutritionnels cités ?","Alimentation (lait maternel, lait lyophilisé, lait thérapeutique pour prématuré) ; antibiothérapie ; vitaminothérapie (A, D, E, K) ; caféine (pour éviter les apnées).","Recall"
"Quelles sont les trois niveaux de prévention de la prématurité ?","1) Prévention de la survenue (planning familial, CPN ≥8, décision médicale). 2) Prise en charge correcte de la menace d’accouchement prématuré (MAP) : tocolyse, corticothérapie, antibioprophylaxie. 3) Prévention du décès (réanimation, alimentation correcte, méthode Kangourou, gestion des complications).","Recall"
"Un nouveau-né à 30 SA présente une détresse respiratoire avec besoin d’oxygène depuis 25 jours. Quelle complication respiratoire est à craindre ?","Dysplasie broncho-pulmonaire (oxygénodépendance >28 jours).","Application"
"Un prématuré de 26 SA développe une rétinopathie. Quel est le principal facteur de risque ?","Extrême prématurité et oxygénodépendance prolongée.","Application"
